TIME,CH1,CH2,,TIME,MATH
0.00E+00,-0.54,-0.19,,0.00E+00,0.0103906
6.25E+02,-0.54,-0.19,,1.25E+04,0.0109375
1.25E+03,-0.54,-0.19,,2.50E+04,0.0115625
1.88E+03,-0.54,-0.19,,3.75E+04,0.302031
2.50E+03,-0.54,-0.21,,5.00E+04,0.592578
3.13E+03,-0.54,-0.21,,6.25E+04,1.18805
3.75E+03,-0.54,-0.21,,7.50E+04,1.78352
4.38E+03,-0.5,-0.23,,8.75E+04,1.35875
5.00E+03,-0.54,-0.21,,1.00E+05,0.933984
5.63E+03,-0.54,-0.19,,1.13E+05,0.475625
6.25E+03,-0.54,-0.19,,1.25E+05,0.0173437
6.88E+03,-0.54,-0.21,,1.38E+05,0.00921875
7.50E+03,-0.58,-0.21,,1.50E+05,0.00109375
8.13E+03,-0.54,-0.21,,1.63E+05,0.00367187
8.75E+03,-0.58,-0.21,,1.75E+05,0.00632813
9.38E+03,-0.54,-0.19,,1.88E+05,0.00367187
1.00E+04,-0.58,-0.21,,2.00E+05,0.00109375
1.06E+04,-0.54,-0.21,,2.13E+05,0.00976562
1.13E+04,-0.58,-0.21,,2.25E+05,0.0185156
1.19E+04,-0.58,-0.21,,2.38E+05,0.0129687
1.25E+04,-0.58,-0.21,,2.50E+05,0.0075
1.31E+04,-0.58,-0.21,,2.63E+05,0.00601562
1.38E+04,-0.58,-0.21,,2.75E+05,0.00460938
1.44E+04,-0.58,-0.21,,2.88E+05,0.0034375
1.50E+04,-0.58,-0.21,,3.00E+05,0.00226562
1.56E+04,-0.58,-0.21,,3.13E+05,0.00195312
1.63E+04,-0.58,-0.19,,3.25E+05,0.00171875
1.69E+04,-0.58,-0.21,,3.38E+05,0.00171875
1.75E+04,-0.58,-0.19,,3.50E+05,0.00171875
1.81E+04,-0.58,-0.21,,3.63E+05,0.00257812
1.88E+04,-0.58,-0.21,,3.75E+05,0.0034375
1.94E+04,-0.58,-0.21,,3.88E+05,0.00515625
2.00E+04,-0.58,-0.21,,4.00E+05,0.006875
2.06E+04,-0.58,-0.23,,4.13E+05,0.00398437
2.13E+04,-0.58,-0.21,,4.25E+05,0.00109375
2.19E+04,-0.58,-0.21,,4.38E+05,0.00140625
2.25E+04,-0.58,-0.21,,4.50E+05,0.00171875
2.31E+04,-0.58,-0.23,,4.63E+05,0.00109375
2.38E+04,-0.58,-0.23,,4.75E+05,0.000546875
2.44E+04,-0.58,-0.23,,4.88E+05,0.000546875
2.50E+04,-0.58,-0.21,,5.00E+05,0.000546875
2.56E+04,-0.58,-0.21,,5.13E+05,0.000546875
2.63E+04,-0.62,-0.21,,5.25E+05,0.000546875
2.69E+04,-0.58,-0.21,,5.38E+05,0.000546875
2.75E+04,-0.62,-0.21,,5.50E+05,0.000546875
2.81E+04,-0.58,-0.21,,5.63E+05,0.000546875
2.88E+04,-0.62,-0.21,,5.75E+05,0.000546875
2.94E+04,-0.58,-0.21,,5.88E+05,0.000546875
3.00E+04,-0.62,-0.21,,6.00E+05,0.000546875
3.06E+04,-0.62,-0.21,,6.13E+05,0.000234375
3.13E+04,-0.62,-0.21,,6.25E+05,0
3.19E+04,-0.58,-0.21,,6.38E+05,0.000546875
3.25E+04,-0.62,-0.21,,6.50E+05,0.00109375
3.31E+04,-0.62,-0.21,,6.63E+05,0.00078125
3.38E+04,-0.62,-0.21,,6.75E+05,0.000546875
3.44E+04,-0.62,-0.21,,6.88E+05,0.000546875
3.50E+04,-0.62,-0.21,,7.00E+05,0.000546875
3.56E+04,-0.62,-0.21,,7.13E+05,0.00078125
3.63E+04,-0.58,-0.21,,7.25E+05,0.00109375
3.69E+04,-0.62,-0.21,,7.38E+05,0.00140625
3.75E+04,-0.62,-0.21,,7.50E+05,0.00171875
3.81E+04,-0.62,-0.21,,7.63E+05,0.00171875
3.88E+04,-0.62,-0.21,,7.75E+05,0.00171875
3.94E+04,-0.62,-0.21,,7.88E+05,0.00109375
4.00E+04,-0.62,-0.21,,8.00E+05,0.000546875
4.06E+04,-0.62,-0.23,,8.13E+05,0.00078125
4.13E+04,-0.62,-0.21,,8.25E+05,0.00109375
4.19E+04,-0.62,-0.23,,8.38E+05,0.00078125
4.25E+04,-0.62,-0.21,,8.50E+05,0.000546875
4.31E+04,-0.62,-0.23,,8.63E+05,0.00109375
4.38E+04,-0.62,-0.21,,8.75E+05,0.00171875
4.44E+04,-0.62,-0.21,,8.88E+05,0.00171875
4.50E+04,-0.62,-0.21,,9.00E+05,0.00171875
4.56E+04,-0.62,-0.23,,9.13E+05,0.00109375
4.63E+04,-0.66,-0.23,,9.25E+05,0.000546875
4.69E+04,-0.62,-0.23,,9.38E+05,0.00078125
4.75E+04,-0.66,-0.23,,9.50E+05,0.00109375
4.81E+04,-0.62,-0.23,,9.63E+05,0.00109375
4.88E+04,-0.62,-0.23,,9.75E+05,0.00109375
4.94E+04,-0.62,-0.21,,9.88E+05,0.00140625
5.00E+04,-0.62,-0.23,,1.00E+06,0.00171875
5.06E+04,-0.66,-0.21,,1.01E+06,0.000859375
5.13E+04,-0.66,-0.21,,1.03E+06,0
5.19E+04,-0.62,-0.21,,1.04E+06,0.000546875
5.25E+04,-0.62,-0.23,,1.05E+06,0.00109375
5.31E+04,-0.62,-0.21,,1.06E+06,0.00078125
5.38E+04,-0.62,-0.21,,1.08E+06,0.000546875
5.44E+04,-0.66,-0.21,,1.09E+06,0.00078125
5.50E+04,-0.66,-0.23,,1.10E+06,0.00109375
5.56E+04,-0.66,-0.23,,1.11E+06,0.00140625
5.63E+04,-0.66,-0.23,,1.13E+06,0.00171875
5.69E+04,-0.66,-0.23,,1.14E+06,0.00109375
5.75E+04,-0.66,-0.23,,1.15E+06,0.000546875
5.81E+04,-0.66,-0.23,,1.16E+06,0.00078125
5.88E+04,-0.66,-0.23,,1.18E+06,0.00109375
5.94E+04,-0.62,-0.21,,1.19E+06,0.00109375
6.00E+04,-0.66,-0.23,,1.20E+06,0.00109375
6.06E+04,-0.62,-0.23,,1.21E+06,0.00078125
6.13E+04,-0.62,-0.23,,1.23E+06,0.000546875
6.19E+04,-0.66,-0.21,,1.24E+06,0.00109375
6.25E+04,-0.66,-0.23,,1.25E+06,0.00171875
6.31E+04,-0.66,-0.23,,1.26E+06,0.00140625
6.38E+04,-0.66,-0.23,,1.28E+06,0.00109375
6.44E+04,-0.66,-0.23,,1.29E+06,0.00109375
6.50E+04,-0.66,-0.23,,1.30E+06,0.00109375
6.56E+04,-0.66,-0.23,,1.31E+06,0.00109375
6.63E+04,-0.66,-0.23,,1.33E+06,0.00109375
6.69E+04,-0.66,-0.21,,1.34E+06,0.00109375
6.75E+04,-0.66,-0.23,,1.35E+06,0.00109375
6.81E+04,-0.66,-0.23,,1.36E+06,0.00078125
6.88E+04,-0.66,-0.21,,1.38E+06,0.000546875
6.94E+04,-0.66,-0.23,,1.39E+06,0.00078125
7.00E+04,-0.66,-0.23,,1.40E+06,0.00109375
7.06E+04,-0.66,-0.23,,1.41E+06,0.00140625
7.13E+04,-0.66,-0.21,,1.43E+06,0.00171875
7.19E+04,-0.66,-0.23,,1.44E+06,0.00109375
7.25E+04,-0.7,-0.23,,1.45E+06,0.000546875
7.31E+04,-0.7,-0.23,,1.46E+06,0.00078125
7.38E+04,-0.66,-0.23,,1.48E+06,0.00109375
7.44E+04,-0.66,-0.23,,1.49E+06,0.00109375
7.50E+04,-0.66,-0.23,,1.50E+06,0.00109375
7.56E+04,-0.7,-0.25,,1.51E+06,0.00109375
7.63E+04,-0.7,-0.23,,1.53E+06,0.00109375
7.69E+04,-0.7,-0.25,,1.54E+06,0.00109375
7.75E+04,-0.7,-0.23,,1.55E+06,0.00109375
7.81E+04,-0.7,-0.23,,1.56E+06,0.00109375
7.88E+04,-0.7,-0.23,,1.58E+06,0.00109375
7.94E+04,-0.7,-0.23,,1.59E+06,0.00140625
8.00E+04,-0.74,-0.23,,1.60E+06,0.00171875
8.06E+04,-0.7,-0.23,,1.61E+06,0.00140625
8.13E+04,-0.7,-0.23,,1.63E+06,0.00109375
8.19E+04,-0.7,-0.23,,1.64E+06,0.00109375
8.25E+04,-0.7,-0.23,,1.65E+06,0.00109375
8.31E+04,-0.7,-0.23,,1.66E+06,0.00078125
8.38E+04,-0.7,-0.23,,1.68E+06,0.000546875
8.44E+04,-0.7,-0.23,,1.69E+06,0.00109375
8.50E+04,-0.7,-0.25,,1.70E+06,0.00171875
8.56E+04,-0.7,-0.25,,1.71E+06,0.00109375
8.63E+04,-0.7,-0.25,,1.73E+06,0.000546875
8.69E+04,-0.7,-0.23,,1.74E+06,0.00078125
8.75E+04,-0.7,-0.23,,1.75E+06,0.00109375
8.81E+04,-0.7,-0.23,,1.76E+06,0.00109375
8.88E+04,-0.74,-0.23,,1.78E+06,0.00109375
8.94E+04,-0.7,-0.23,,1.79E+06,0.00109375
9.00E+04,-0.74,-0.23,,1.80E+06,0.00109375
9.06E+04,-0.7,-0.23,,1.81E+06,0.00109375
9.13E+04,-0.74,-0.23,,1.83E+06,0.00109375
9.19E+04,-0.7,-0.23,,1.84E+06,0.00078125
9.25E+04,-0.74,-0.23,,1.85E+06,0.000546875
9.31E+04,-0.7,-0.23,,1.86E+06,0.00109375
9.38E+04,-0.74,-0.23,,1.88E+06,0.00171875
9.44E+04,-0.7,-0.23,,1.89E+06,0.00109375
9.50E+04,-0.74,-0.25,,1.90E+06,0.000546875
9.56E+04,-0.7,-0.25,,1.91E+06,0.00078125
9.63E+04,-0.74,-0.23,,1.93E+06,0.00109375
9.69E+04,-0.7,-0.23,,1.94E+06,0.00109375
9.75E+04,-0.74,-0.23,,1.95E+06,0.00109375
9.81E+04,-0.74,-0.23,,1.96E+06,0.00078125
9.88E+04,-0.74,-0.25,,1.98E+06,0.000546875
9.94E+04,-0.74,-0.25,,1.99E+06,0.00078125
1.00E+05,-0.74,-0.23,,2.00E+06,0.00109375
1.01E+05,-0.74,-0.25,,2.01E+06,0.00140625
1.01E+05,-0.74,-0.23,,2.03E+06,0.00171875
1.02E+05,-0.74,-0.23,,2.04E+06,0.00140625
1.03E+05,-0.74,-0.23,,2.05E+06,0.00109375
1.03E+05,-0.74,-0.25,,2.06E+06,0.00078125
1.04E+05,-0.74,-0.23,,2.08E+06,0.000546875
1.04E+05,-0.74,-0.23,,2.09E+06,0.00078125
1.05E+05,-0.74,-0.23,,2.10E+06,0.00109375
1.06E+05,-0.74,-0.23,,2.11E+06,0.00140625
1.06E+05,-0.74,-0.23,,2.13E+06,0.00171875
1.07E+05,-0.74,-0.25,,2.14E+06,0.00109375
1.08E+05,-0.78,-0.25,,2.15E+06,0.000546875
1.08E+05,-0.74,-0.25,,2.16E+06,0.00109375
1.09E+05,-0.78,-0.23,,2.18E+06,0.00171875
1.09E+05,-0.74,-0.25,,2.19E+06,0.00109375
1.10E+05,-0.78,-0.23,,2.20E+06,0.000546875
1.11E+05,-0.74,-0.25,,2.21E+06,0.000546875
1.11E+05,-0.78,-0.23,,2.23E+06,0.000546875
1.12E+05,-0.74,-0.25,,2.24E+06,0.00078125
1.13E+05,-0.78,-0.23,,2.25E+06,0.00109375
1.13E+05,-0.74,-0.23,,2.26E+06,0.00078125
1.14E+05,-0.78,-0.23,,2.28E+06,0.000546875
1.14E+05,-0.74,-0.25,,2.29E+06,0.00078125
