TIME,CH1,CH2,,TIME,MATH
0.00E+00,-0.82,0.045,,0.00E+00,0.00403125
2.50E+03,-0.82,0.047,,5.00E+04,0.00490625
5.00E+03,-0.86,0.047,,1.00E+05,0.00578125
7.50E+03,-0.82,0.047,,1.50E+05,0.0381875
1.00E+04,-0.82,0.047,,2.00E+05,0.0705938
1.25E+04,-0.82,0.047,,2.50E+05,0.261844
1.50E+04,-0.82,0.047,,3.00E+05,0.453125
1.75E+04,-0.82,0.049,,3.50E+05,0.444719
2.00E+04,-0.82,0.047,,4.00E+05,0.436344
2.25E+04,-0.82,0.047,,4.50E+05,0.243031
2.50E+04,-0.82,0.045,,5.00E+05,0.04975
2.75E+04,-0.82,0.047,,5.50E+05,0.0291875
3.00E+04,-0.86,0.047,,6.00E+05,0.00865625
3.25E+04,-0.86,0.051,,6.50E+05,0.0075
3.50E+04,-0.86,0.049,,7.00E+05,0.00634375
3.75E+04,-0.86,0.049,,7.50E+05,0.0089375
4.00E+04,-0.86,0.049,,8.00E+05,0.0115625
4.25E+04,-0.86,0.049,,8.50E+05,0.0106875
4.50E+04,-0.82,0.047,,9.00E+05,0.0098125
4.75E+04,-0.86,0.047,,9.50E+05,0.0274687
5.00E+04,-0.86,0.047,,1.00E+06,0.045125
5.25E+04,-0.86,0.047,,1.05E+06,0.0419375
5.50E+04,-0.86,0.047,,1.10E+06,0.03875
5.75E+04,-0.86,0.049,,1.15E+06,0.02225
6.00E+04,-0.86,0.049,,1.20E+06,0.00578125
6.25E+04,-0.86,0.049,,1.25E+06,0.00578125
6.50E+04,-0.86,0.045,,1.30E+06,0.00578125
6.75E+04,-0.86,0.047,,1.35E+06,0.00634375
7.00E+04,-0.86,0.047,,1.40E+06,0.0069375
7.25E+04,-0.86,0.049,,1.45E+06,0.00578125
7.50E+04,-0.86,0.049,,1.50E+06,0.004625
7.75E+04,-0.86,0.049,,1.55E+06,0.00375
8.00E+04,-0.86,0.049,,1.60E+06,0.002875
8.25E+04,-0.86,0.049,,1.65E+06,0.01125
8.50E+04,-0.86,0.047,,1.70E+06,0.0196562
8.75E+04,-0.82,0.049,,1.75E+06,0.013875
9.00E+04,-0.86,0.047,,1.80E+06,0.00809375
9.25E+04,-0.86,0.049,,1.85E+06,0.00634375
9.50E+04,-0.86,0.047,,1.90E+06,0.004625
9.75E+04,-0.86,0.049,,1.95E+06,0.00403125
1.00E+05,-0.86,0.049,,2.00E+06,0.00346875
1.03E+05,-0.86,0.051,,2.05E+06,0.004625
1.05E+05,-0.9,0.049,,2.10E+06,0.00578125
1.08E+05,-0.86,0.049,,2.15E+06,0.0043125
1.10E+05,-0.86,0.049,,2.20E+06,0.002875
1.13E+05,-0.82,0.051,,2.25E+06,0.00259375
1.15E+05,-0.86,0.049,,2.30E+06,0.0023125
1.18E+05,-0.86,0.051,,2.35E+06,0.0069375
1.20E+05,-0.86,0.049,,2.40E+06,0.0115625
1.23E+05,-0.86,0.049,,2.45E+06,0.006625
1.25E+05,-0.86,0.049,,2.50E+06,0.00171875
1.28E+05,-0.86,0.049,,2.55E+06,0.00259375
1.30E+05,-0.86,0.049,,2.60E+06,0.00346875
1.33E+05,-0.86,0.049,,2.65E+06,0.00346875
1.35E+05,-0.86,0.049,,2.70E+06,0.00346875
1.38E+05,-0.86,0.049,,2.75E+06,0.00375
1.40E+05,-0.86,0.049,,2.80E+06,0.00403125
1.43E+05,-0.86,0.049,,2.85E+06,0.0034375
1.45E+05,-0.9,0.051,,2.90E+06,0.002875
1.48E+05,-0.86,0.051,,2.95E+06,0.00228125
1.50E+05,-0.9,0.051,,3.00E+06,0.00171875
1.53E+05,-0.86,0.051,,3.05E+06,0.00403125
1.55E+05,-0.86,0.049,,3.10E+06,0.00634375
1.58E+05,-0.86,0.049,,3.15E+06,0.00459375
1.60E+05,-0.86,0.047,,3.20E+06,0.002875
1.63E+05,-0.86,0.049,,3.25E+06,0.002875
1.65E+05,-0.86,0.049,,3.30E+06,0.002875
1.68E+05,-0.86,0.051,,3.35E+06,0.002875
1.70E+05,-0.9,0.051,,3.40E+06,0.002875
1.73E+05,-0.86,0.053,,3.45E+06,0.002875
1.75E+05,-0.86,0.051,,3.50E+06,0.002875
1.78E+05,-0.9,0.051,,3.55E+06,0.00228125
1.80E+05,-0.86,0.047,,3.60E+06,0.00171875
1.83E+05,-0.86,0.049,,3.65E+06,0.00259375
1.85E+05,-0.86,0.049,,3.70E+06,0.00346875
1.88E+05,-0.86,0.051,,3.75E+06,0.00315625
1.90E+05,-0.86,0.049,,3.80E+06,0.002875
1.93E+05,-0.86,0.051,,3.85E+06,0.002875
1.95E+05,-0.86,0.049,,3.90E+06,0.002875
1.98E+05,-0.9,0.051,,3.95E+06,0.00228125
2.00E+05,-0.9,0.051,,4.00E+06,0.00171875
2.03E+05,-0.9,0.051,,4.05E+06,0.00228125
2.05E+05,-0.9,0.051,,4.10E+06,0.002875
2.08E+05,-0.9,0.051,,4.15E+06,0.00228125
2.10E+05,-0.9,0.051,,4.20E+06,0.00171875
2.13E+05,-0.9,0.049,,4.25E+06,0.002
2.15E+05,-0.9,0.049,,4.30E+06,0.0023125
2.18E+05,-0.9,0.051,,4.35E+06,0.0023125
2.20E+05,-0.9,0.051,,4.40E+06,0.0023125
2.23E+05,-0.9,0.051,,4.45E+06,0.00171875
2.25E+05,-0.9,0.051,,4.50E+06,0.00115625
2.28E+05,-0.9,0.049,,4.55E+06,0.00171875
2.30E+05,-0.9,0.049,,4.60E+06,0.0023125
2.33E+05,-0.9,0.051,,4.65E+06,0.00259375
2.35E+05,-0.9,0.051,,4.70E+06,0.002875
2.38E+05,-0.86,0.053,,4.75E+06,0.00259375
2.40E+05,-0.9,0.051,,4.80E+06,0.0023125
2.43E+05,-0.9,0.053,,4.85E+06,0.002
2.45E+05,-0.9,0.051,,4.90E+06,0.00171875
2.48E+05,-0.9,0.051,,4.95E+06,0.00171875
2.50E+05,-0.9,0.049,,5.00E+06,0.00171875
2.53E+05,-0.9,0.049,,5.05E+06,0.00228125
2.55E+05,-0.9,0.049,,5.10E+06,0.002875
2.58E+05,-0.9,0.051,,5.15E+06,0.002
2.60E+05,-0.9,0.051,,5.20E+06,0.00115625
2.63E+05,-0.9,0.051,,5.25E+06,0.00171875
2.65E+05,-0.86,0.051,,5.30E+06,0.0023125
2.68E+05,-0.9,0.051,,5.35E+06,0.002
2.70E+05,-0.9,0.049,,5.40E+06,0.00171875
2.73E+05,-0.9,0.049,,5.45E+06,0.00228125
2.75E+05,-0.9,0.051,,5.50E+06,0.002875
2.78E+05,-0.86,0.051,,5.55E+06,0.00228125
2.80E+05,-0.86,0.049,,5.60E+06,0.00171875
2.83E+05,-0.86,0.051,,5.65E+06,0.002
2.85E+05,-0.9,0.051,,5.70E+06,0.0023125
2.88E+05,-0.86,0.051,,5.75E+06,0.002
2.90E+05,-0.9,0.049,,5.80E+06,0.00171875
2.93E+05,-0.9,0.047,,5.85E+06,0.00171875
2.95E+05,-0.9,0.049,,5.90E+06,0.00171875
2.98E+05,-0.9,0.051,,5.95E+06,0.0014375
3.00E+05,-0.9,0.051,,6.00E+06,0.00115625
