TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
0.00E+00,0.34,0.3,0.7,0.7,,0.00E+00,0.002875
7.81E+01,0.34,0.34,0.7,0.7,,1.56E+03,0.0980625
1.56E+02,0.34,0.3,0.7,0.7,,3.13E+03,0.193281
2.34E+02,0.34,0.34,0.7,0.74,,4.69E+03,0.533844
3.13E+02,0.34,0.3,0.7,0.7,,6.25E+03,0.874406
3.91E+02,0.34,0.34,0.7,0.7,,7.81E+03,0.776031
4.69E+02,0.34,0.3,0.7,0.7,,9.38E+03,0.677656
5.47E+02,0.34,0.34,0.7,0.7,,1.09E+04,0.358781
6.25E+02,0.34,0.3,0.7,0.7,,1.25E+04,0.0399062
7.03E+02,0.34,0.34,0.7,0.7,,1.41E+04,0.0248437
7.81E+02,0.34,0.3,0.7,0.7,,1.56E+04,0.0098125
8.59E+02,0.3,0.34,0.7,0.74,,1.72E+04,0.012125
9.38E+02,0.34,0.3,0.7,0.66,,1.88E+04,0.0144375
1.02E+03,0.34,0.34,0.7,0.74,,2.03E+04,0.013
1.09E+03,0.34,0.3,0.7,0.7,,2.19E+04,0.0115625
1.17E+03,0.34,0.34,0.7,0.7,,2.34E+04,0.0115625
1.25E+03,0.3,0.3,0.7,0.7,,2.50E+04,0.0115625
1.33E+03,0.34,0.34,0.7,0.7,,2.66E+04,0.01125
1.41E+03,0.34,0.3,0.7,0.66,,2.81E+04,0.0109687
1.48E+03,0.34,0.34,0.66,0.7,,2.97E+04,0.010375
1.56E+03,0.34,0.3,0.7,0.7,,3.13E+04,0.0098125
1.64E+03,0.3,0.34,0.7,0.7,,3.28E+04,0.00921875
1.72E+03,0.34,0.3,0.7,0.7,,3.44E+04,0.00865625
1.80E+03,0.34,0.34,0.7,0.7,,3.59E+04,0.00865625
1.88E+03,0.34,0.3,0.7,0.7,,3.75E+04,0.00865625
1.95E+03,0.34,0.34,0.7,0.7,,3.91E+04,0.008375
2.03E+03,0.34,0.3,0.7,0.7,,4.06E+04,0.00809375
2.11E+03,0.34,0.34,0.7,0.7,,4.22E+04,0.00809375
2.19E+03,0.3,0.3,0.7,0.7,,4.38E+04,0.00809375
2.27E+03,0.34,0.34,0.7,0.7,,4.53E+04,0.0075
2.34E+03,0.34,0.3,0.66,0.66,,4.69E+04,0.0069375
2.42E+03,0.34,0.34,0.7,0.7,,4.84E+04,0.006625
2.50E+03,0.34,0.3,0.7,0.7,,5.00E+04,0.00634375
2.58E+03,0.34,0.34,0.7,0.7,,5.16E+04,0.0060625
2.66E+03,0.34,0.3,0.7,0.7,,5.31E+04,0.00578125
2.73E+03,0.34,0.34,0.7,0.7,,5.47E+04,0.00578125
2.81E+03,0.34,0.3,0.7,0.7,,5.63E+04,0.00578125
2.89E+03,0.3,0.34,0.7,0.7,,5.78E+04,0.00578125
2.97E+03,0.34,0.3,0.7,0.7,,5.94E+04,0.00578125
3.05E+03,0.34,0.34,0.7,0.74,,6.09E+04,0.0051875
3.13E+03,0.34,0.3,0.7,0.7,,6.25E+04,0.004625
3.20E+03,0.34,0.34,0.7,0.7,,6.41E+04,0.0051875
3.28E+03,0.34,0.3,0.7,0.7,,6.56E+04,0.00578125
3.36E+03,0.34,0.34,0.7,0.7,,6.72E+04,0.00546875
3.44E+03,0.34,0.3,0.7,0.7,,6.88E+04,0.0051875
3.52E+03,0.34,0.34,0.7,0.7,,7.03E+04,0.0051875
3.59E+03,0.34,0.3,0.7,0.66,,7.19E+04,0.0051875
3.67E+03,0.3,0.34,0.66,0.7,,7.34E+04,0.00490625
3.75E+03,0.34,0.3,0.7,0.7,,7.50E+04,0.004625
3.83E+03,0.34,0.34,0.7,0.7,,7.66E+04,0.004625
