t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0,-1.49925E-06,4.49775E-06,1.49925E-06,-2.9985E-06,-1.49925E-06,7.04648E-06,-4.49775E-06,1.49925E-06,-5.997E-06,-1.49925E-06
0.0667,0,-7.49625E-06,0,2.9985E-06,-1.49925E-06,0,0,0,-1.49925E-06,0
0.133,4.49775E-06,7.49625E-06,0,0,0,0,0,0,7.49625E-06,-8.9955E-06
0.2,-1.04948E-05,-2.9985E-06,0,0,4.49775E-06,5.54723E-06,0,0,-1.04948E-05,0
0.267,4.49775E-06,-1.49925E-06,-1.49925E-06,2.9985E-06,0,0,1.49925E-06,-2.9985E-06,-7.49625E-06,0
0.333,-1.49925E-06,1.49925E-06,2.9985E-06,1.49925E-06,0,0,0,0,1.49925E-06,0
0.4,-4.49775E-06,1.49925E-06,2.9985E-06,2.9985E-06,-2.9985E-06,-5.54723E-06,-1.49925E-06,0,-1.49925E-06,0
0.467,5.997E-06,-1.49925E-06,2.9985E-06,1.49925E-06,0,0,-1.49925E-06,0,0,1.1994E-05
0.533,-5.997E-06,4.49775E-06,8.9955E-06,1.04948E-05,0,0,0,0,0,0
0.6,0,-1.1994E-05,-5.997E-06,-5.997E-06,0,0,4.49775E-06,2.9985E-06,1.49925E-06,-7.49625E-06
0.667,0,1.7991E-05,-5.997E-06,-4.49775E-06,-4.49775E-06,0,0,0,8.9955E-06,4.49775E-06
0.733,2.9985E-06,0,4.49775E-06,1.49925E-06,0,0,-1.49925E-06,0,-5.997E-06,5.997E-06
0.8,4.49775E-06,-1.04948E-05,0,0,0,0,-7.49625E-06,-1.49925E-06,-1.49925E-06,1.49925E-06
0.867,-2.9985E-06,0,-1.49925E-06,1.49925E-06,0,0,0,0,4.49775E-06,-7.49625E-06
0.933,0,0,-2.9985E-06,0,-5.997E-06,1.34933E-06,0,0,1.49925E-06,0
1,-7.49625E-06,-4.49775E-06,-4.49775E-06,0,0,0,0,0,8.9955E-06,4.49775E-06
1.07,2.9985E-06,1.49925E-06,0,0,8.9955E-06,4.1979E-06,5.997E-06,-1.49925E-06,2.9985E-06,0
1.13,0,0,-2.9985E-06,-1.34933E-05,-1.49925E-06,0,-1.49925E-06,0,2.9985E-06,-1.49925E-06
1.2,0,0,5.997E-06,8.9955E-06,0,0,-1.49925E-06,0,1.49925E-06,0
1.27,2.9985E-06,1.49925E-06,0,0,8.9955E-06,0,0,0,-1.49925E-06,0
1.33,2.9985E-06,-8.9955E-06,1.49925E-06,0,0,1.49925E-06,0,0,-5.997E-06,0
1.4,-1.49925E-06,1.49925E-06,0,2.9985E-06,-4.49775E-06,4.1979E-06,1.49925E-06,0,1.49925E-06,1.04948E-05
1.47,-4.49775E-06,-1.49925E-06,1.49925E-06,4.49775E-06,0,2.84858E-06,0,0,-2.9985E-06,-1.49925E-06
1.53,-5.997E-06,2.9985E-06,8.9955E-06,0,0,4.1979E-06,0,0,0,1.49925E-06
1.6,5.997E-06,5.997E-06,-2.9985E-06,-7.49625E-06,2.9985E-06,-1.49925E-06,-1.49925E-06,0,0,0
1.67,0,-2.9985E-06,-1.49925E-06,1.49925E-06,2.9985E-06,0,0,0,0,0
1.73,0,0,0,1.49925E-06,0,0,0,0,-5.997E-06,2.9985E-06
1.8,4.49775E-06,-2.9985E-06,2.9985E-06,1.49925E-06,-1.49925E-06,0,0,0,1.49925E-06,-1.49925E-06
1.87,4.49775E-06,-2.9985E-06,1.49925E-06,-1.49925E-06,-4.49775E-06,5.69715E-06,0,0,-1.49925E-06,-1.49925E-06
1.93,0,0,2.9985E-06,0,0,0,0,1.49925E-06,-2.9985E-06,0
2,4.49775E-06,-1.49925E-06,2.9985E-06,8.9955E-06,1.49925E-06,-1.34933E-06,-1.49925E-06,0,4.49775E-06,0
2.07,-4.49775E-06,0,-5.997E-06,-1.49925E-06,0,0,2.9985E-06,1.49925E-06,0,0
2.13,-1.49925E-06,0,0,-1.49925E-06,-7.49625E-06,0,0,1.49925E-06,0,0
2.2,0,0,4.49775E-06,-4.49775E-06,0,0,0,0,5.997E-06,-1.49925E-06
2.27,0,0,4.49775E-06,1.49925E-06,1.49925E-06,0,4.49775E-06,0,1.49925E-06,0
2.33,1.04948E-05,4.49775E-06,-8.9955E-06,2.9985E-06,2.9985E-06,1.34933E-06,0,-1.49925E-06,1.49925E-06,0
2.4,-4.49775E-06,0,0,0,0,0,-2.9985E-06,-1.49925E-06,-2.9985E-06,0
2.47,-1.49925E-06,0,1.49925E-06,0,0,0,0,2.9985E-06,0,-1.49925E-06
2.53,-4.49775E-06,0,0,0,-5.997E-06,2.84858E-06,-1.49925E-06,0,4.49775E-06,-2.9985E-06
2.6,-4.49775E-06,2.9985E-06,-1.49925E-06,-1.49925E-06,0,2.84858E-06,0,0,1.49925E-06,2.9985E-06
2.67,-1.49925E-06,-5.997E-06,2.9985E-06,5.997E-06,0,0,0,0,-2.9985E-06,0
2.73,-4.49775E-06,1.49925E-06,1.49925E-06,1.49925E-06,4.49775E-06,2.69865E-06,-1.49925E-06,-1.49925E-06,0,0
2.8,4.49775E-06,5.997E-06,-1.49925E-06,0,-1.49925E-06,9.89505E-06,0,0,-1.49925E-06,2.9985E-06
2.87,-4.49775E-06,-4.49775E-06,0,7.49625E-06,0,0,0,0,0,1.49925E-06
2.93,4.49775E-06,5.997E-06,-1.49925E-06,0,0,-1.34933E-06,5.997E-06,0,1.49925E-06,1.49925E-06
3,0,2.9985E-06,0,0,1.49925E-06,2.84858E-06,0,-5.997E-06,5.997E-06,7.49625E-06
3.07,-1.49925E-06,-2.9985E-06,-1.49925E-06,0,0,0,-1.49925E-06,-1.49925E-06,-1.49925E-06,-1.04948E-05
3.13,5.997E-06,5.997E-06,0,1.49925E-06,-4.49775E-06,1.34933E-06,-1.49925E-06,5.997E-06,0,0
3.2,1.49925E-06,-1.49925E-06,2.9985E-06,2.9985E-06,2.9985E-06,-2.84858E-06,0,0,0,0
3.27,-1.49925E-06,4.49775E-06,2.9985E-06,1.49925E-06,0,-1.34933E-06,0,1.49925E-06,2.9985E-06,0
3.33,-2.9985E-06,-2.9985E-06,1.49925E-06,1.49925E-06,-2.9985E-06,0,-5.997E-06,0,0,5.997E-06
3.4,0,-7.49625E-06,1.49925E-06,1.49925E-06,0,2.84858E-06,2.9985E-06,0,1.49925E-06,5.997E-06
