X,Y
1,29
1.1,32
1.2,31
1.3,32
1.4,35
1.5,43
1.6,55
1.7,63
1.8,71
1.9,86
2,131
2.1,231
2.2,337
2.3,458
2.4,504
2.5,457
2.6,335
2.7,187
2.8,154
2.9,312
3,694
3.1,1185
3.2,1621
3.3,1771
3.4,1555
3.5,1075
3.6,425
3.7,189
3.8,352
3.9,1154
4,2020
4.1,2887
4.2,3299
4.3,3003
4.4,2142
4.5,1043
4.6,279
4.7,189
4.8,884
4.9,2026
5,3247
5.1,3870
5.2,3630
5.3,2717
5.4,1375
5.5,387
5.6,57
5.7,461
5.8,1393
5.9,2383
6,3008
6.05,3080
6.1,2983
6.2,2325
6.3,1374
6.4,558
6.5,98
6.6,148
6.7,577
6.8,1097
6.9,1463
6.95,1537
7,1507
7.1,1246
7.2,823
7.3,419
7.4,172
7.5,116
7.6,195
7.7,318
7.8,392
7.9,387
8,320
8.1,231
8.2,165
8.3,134
8.4,124
8.5,114
8.6,92
8.7,62
8.8,37
8.9,25
9,27
