X,Y,Std
3.3,232.3333333,6.18241233
3.4,602.6666667,14.07914139
3.5,1243.666667,23.57022604
3.6,2025,35.05234181
3.7,1939.333333,34.58644564
3.8,1307.333333,6.18241233
3.9,1779.666667,11.32352517
4,1385.666667,55.94243073
4.1,1605.333333,25.74662869
4.2,1627,48.52490769
4.3,1586,39.90822806
4.4,1577,25.66450207
4.5,1391.666667,30.40102337
4.6,1843,38.94440482
4.7,1331,27.94041279
4.8,1724.333333,61.72159716
4.9,2069.333333,28.11089152
5,1448,45.92022067
5.1,756.3333333,19.06713286
5.2,300,8.286535263
5.3,158.3333333,0.471404521
