X,Y,Std
1.00,3,1.414213562
1.20,3.666666667,0.942809042
1.40,4.333333333,0.471404521
1.60,2.666666667,1.247219129
1.80,6,1.414213562
2.00,4.333333333,0.942809042
2.20,5.666666667,0.471404521
2.40,11.33333333,1.699673171
2.60,15.33333333,2.494438258
2.80,16.66666667,0.942809042
3.00,24.33333333,0.942809042
3.20,32,5.354126135
3.40,41.33333333,4.921607687
3.60,50.33333333,9.741092797
3.80,48,2.160246899
4.00,52,12.08304597
4.20,63,9.626352719
4.40,68.33333333,2.867441756
4.60,66.66666667,8.178562764
4.80,62,2.828427125
5.00,79.33333333,8.653836657
5.20,76,10.23067284
5.40,62.33333333,4.109609335
5.60,57.66666667,7.133644853
5.80,56.33333333,2.357022604
6.00,50.66666667,5.249338583
6.20,39,2.943920289
6.40,25.33333333,1.247219129
6.60,20.66666667,0.942809042
6.80,19,4.082482905
7.00,12,0.816496581
7.20,13,0
7.40,11.67,3.091206165
