X,Y,Std
1.00,8.666666667,1.699673171
1.10,11.33333333,2.054804668
1.20,10.66666667,2.054804668
1.30,11,3.741657387
1.40,17,2.828427125
1.50,13.33333333,2.624669291
1.60,15.33333333,3.858612301
1.70,17.33333333,6.18241233
1.80,16.66666667,2.494438258
1.90,14.33333333,1.247219129
2.00,9.666666667,1.247219129
2.10,22.66666667,3.091206165
2.20,31.33333333,0.471404521
2.30,25.66666667,3.299831646
2.40,29.33333333,2.054804668
2.50,19.66666667,2.357022604
2.60,16.66666667,2.494438258
2.70,15.66666667,2.624669291
2.80,22,4.546060566
2.90,33,5.099019514
3.00,51,4.320493799
3.10,37,2.160246899
3.20,26.66666667,6.12825877
3.30,21.66666667,3.091206165
3.40,20.66666667,2.867441756
3.50,28.66666667,5.436502143
3.60,49.66666667,7.318166133
3.70,50.66666667,8.339997335
3.80,47.33333333,8.219218671
3.90,37,7.118052168
4.00,13.33333333,0.471404521
4.10,20,6.018490028
4.20,40.33,8.37987006
4.30,57.33,10.65624491
4.40,52,6.377042157
4.50,35,6.683312552
4.60,26,2.160246899
4.70,17.66666667,4.18993503
4.80,22.33333333,1.247219129
4.90,34,4.898979486
5.00,44,8.286535263
5.10,47.66666667,4.921607687
5.20,31.66666667,4.642796092
5.30,17,4.966554809
5.40,14.33333333,3.399346342
5.50,21.66666667,2.054804668
5.60,33,6.531972647
5.70,39,2.828427125
5.80,33.33333333,5.792715732
5.90,28,4.898979486
6.00,12,3.265986324
6.10,8.666666667,4.109609335
6.20,14.33333333,2.624669291
6.30,18.66666667,1.699673171
6.40,25.33333333,5.185449729
6.50,16.33333333,3.299831646
6.60,15.33333333,4.109609335
6.70,11,2.160246899
6.80,11,0.816496581
6.90,13.66666667,4.18993503
7.00,12.66666667,2.624669291
7.10,16.66666667,2.494438258
7.20,13.66666667,2.054804668
7.30,12.33333333,3.091206165
7.40,6.333333333,4.496912521
7.50,9.666666667,3.399346342
7.60,10.33333333,1.247219129
7.70,8,1.414213562
7.80,10,2.943920289
7.90,10,2.449489743
8.00,8,1.632993162
7.1,11.66666667,2.054804668
7.2,12.33333333,3.299831646
7.3,9.333333333,2.054804668
7.4,6.666666667,3.091206165
7.5,7,2.160246899
