X,Y
1.00,7
1.10,7
1.20,7
1.30,7
1.40,7
1.50,8
1.60,10
1.70,11
1.80,14
1.90,17
2.00,20
2.10,26
2.20,32
2.30,39
2.40,48
2.50,59
2.60,70
2.70,84
2.80,100
2.90,118
3.00,138
3.10,161
3.20,184
3.30,211
3.40,238
3.50,270
3.60,301
3.70,335
3.80,374
3.90,412
4.00,451
4.10,492
4.20,532
4.30,571
4.40,611
4.50,655
4.60,696
4.70,734.00
4.80,767.00
4.90,802
5.00,833
5.10,859
5.20,883
5.30,901
5.40,916
5.50,929
5.60,934
5.70,933
5.80,921
5.90,914
6.00,897
6.10,878
6.20,854
6.30,823
6.40,789
6.50,753
6.60,715
6.70,675
6.80,633
6.90,590
7.00,548
7.10,504
7.20,463
7.30,423
7.40,383
7.50,345
7.60,310
7.70,277
7.80,247
7.90,218
8.00,191
8.10,168
8.20,146
8.30,126
8.40,109
8.50,91
8.60,76
8.70,63
8.80,50
8.90,40
9.00,31
