index,wave,mag,width
0,   3300.00     4.134      16.0,,
1,   3316.00     4.129      16.0,,
2,   3332.00     4.120      16.0,,
3,   3348.00     4.112      16.0,,
4,   3364.00     4.102      16.0,,
5,   3380.00     4.109      16.0,,
6,   3396.00     4.104      16.0,,
7,   3412.00     4.114      16.0,,
8,   3428.00     4.122      16.0,,
9,   3444.00     4.129      16.0,,
10,   3460.00     4.129      16.0,,
11,   3476.00     4.127      16.0,,
12,   3492.00     4.122      16.0,,
13,   3508.00     4.111      16.0,,
14,   3524.00     4.105      16.0,,
15,   3540.00     4.099      16.0,,
16,   3556.00     4.094      16.0,,
17,   3572.00     4.083      16.0,,
18,   3588.00     4.081      16.0,,
19,   3604.00     4.079      16.0,,
20,   3620.00     4.073      16.0,,
21,   3636.00     4.069      16.0,,
22,   3652.00     4.067      16.0,,
23,   3668.00     4.070      16.0,,
24,   3684.00     4.061      16.0,,
25,   3700.00     4.023      16.0,,
26,   3716.00     3.938      16.0,,
27,   3732.00     3.818      16.0,,
28,   3748.00     3.697      16.0,,
29,   3764.00     3.591      16.0,,
30,   3780.00     3.457      16.0,,
31,   3796.00     3.463      16.0,,
32,   3812.00     3.275      16.0,,
33,   3828.00     3.409      16.0,,
34,   3844.00     3.275      16.0,,
35,   3860.00     3.112      16.0,,
36,   3876.00     3.281      16.0,,
37,   3892.00     3.374      16.0,,
38,   3908.00     3.105      16.0,,
39,   3924.00     3.053      16.0,,
40,   3940.00     3.087      16.0,,
41,   3956.00     3.276      16.0,,
42,   3972.00     3.412      16.0,,
43,   3988.00     3.141      16.0,,
44,   4004.00     3.074      16.0,,
45,   4020.00     3.060      16.0,,
46,   4036.00     3.042      16.0,,
47,   4052.00     3.042      16.0,,
48,   4068.00     3.073      16.0,,
49,   4084.00     3.214      16.0,,
50,   4100.00     3.465      16.0,,
51,   4116.00     3.222      16.0,,
52,   4132.00     3.105      16.0,,
53,   4148.00     3.081      16.0,,
54,   4164.00     3.082      16.0,,
55,   4180.00     3.087      16.0,,
56,   4196.00     3.087      16.0,,
57,   4212.00     3.090      16.0,,
58,   4228.00     3.095      16.0,,
59,   4244.00     3.101      16.0,,
60,   4260.00     3.113      16.0,,
61,   4276.00     3.118      16.0,,
62,   4292.00     3.128      16.0,,
63,   4308.00     3.161      16.0,,
64,   4324.00     3.303      16.0,,
65,   4340.00     3.542      16.0,,
66,   4356.00     3.278      16.0,,
67,   4372.00     3.171      16.0,,
68,   4388.00     3.164      16.0,,
69,   4404.00     3.155      16.0,,
70,   4420.00     3.157      16.0,,
71,   4436.00     3.158      16.0,,
72,   4452.00     3.161      16.0,,
73,   4468.00     3.181      16.0,,
74,   4484.00     3.189      16.0,,
75,   4500.00     3.178      16.0,,
76,   4516.00     3.185      16.0,,
77,   4532.00     3.184      16.0,,
78,   4548.00     3.193      16.0,,
79,   4564.00     3.195      16.0,,
80,   4580.00     3.200      16.0,,
81,   4596.00     3.204      16.0,,
82,   4612.00     3.207      16.0,,
83,   4628.00     3.216      16.0,,
84,   4644.00     3.214      16.0,,
85,   4660.00     3.219      16.0,,
86,   4676.00     3.226      16.0,,
87,   4692.00     3.227      16.0,,
88,   4708.00     3.234      16.0,,
89,   4724.00     3.239      16.0,,
90,   4740.00     3.245      16.0,,
91,   4756.00     3.251      16.0,,
92,   4772.00     3.256      16.0,,
93,   4788.00     3.260      16.0,,
94,   4804.00     3.263      16.0,,
95,   4820.00     3.279      16.0,,
96,   4836.00     3.327      16.0,,
97,   4852.00     3.557      16.0,,
98,   4868.00     3.600      16.0,,
99,   4884.00     3.342      16.0,,
100,   4900.00     3.287      16.0,,
101,   4916.00     3.284      16.0,,
102,   4932.00     3.282      16.0,,
