wave,inten,std
2636.204,-1.056,0.134
2642.851,0.800,0.125
2649.491,-0.500,0.124
2656.125,0.388,0.132
2662.753,0.276,0.129
2669.375,0.011,0.127
2675.991,-0.171,0.127
2682.601,-0.829,0.123
2689.205,-0.920,0.121
2695.804,0.486,0.119
2702.396,-0.245,0.127
2708.982,0.591,0.138
2715.562,0.151,0.125
2722.137,0.639,0.128
2728.705,-0.429,0.132
2735.268,1.337,0.144
2741.825,0.128,0.122
2748.375,-0.127,0.118
2754.920,-1.748,0.098
2761.459,1.010,0.132
2767.992,-0.480,0.129
2774.519,-0.746,0.119
2781.041,-0.492,0.125
2787.556,0.505,0.130
2794.066,0.366,0.126
2800.570,-0.450,0.129
2807.068,-1.202,0.121
2813.560,0.198,0.119
2820.046,-0.385,0.125
2826.527,1.761,0.132
2833.001,-0.132,0.126
2839.470,0.444,0.126
2845.934,0.463,0.125
2852.391,-0.241,0.123
2858.843,-0.792,0.126
2865.288,0.513,0.125
2871.729,-1.539,0.121
2878.163,0.411,0.129
2884.592,0.006,0.127
2891.015,0.170,0.126
2897.432,0.578,0.134
2903.843,0.871,0.130
2910.249,-0.568,0.122
2916.649,-0.566,0.126
2923.043,0.163,0.122
2929.432,-0.607,0.126
2935.815,-0.616,0.133
2942.193,-0.034,0.129
2948.564,0.702,0.124
2954.930,0.236,0.126
2961.291,0.754,0.133
2967.646,0.476,0.129
2973.995,0.488,0.132
2980.338,1.266,0.126
2986.676,0.591,0.139
2993.009,0.443,0.131
2999.335,-0.081,0.129
3005.657,-0.644,0.117
3011.972,-0.364,0.130
3018.282,1.768,0.134
3024.587,-0.694,0.123
3030.886,-0.163,0.126
3037.179,0.442,0.131
3043.467,-1.096,0.122
3049.749,1.019,0.130
3056.026,0.715,0.124
3062.297,-0.987,0.123
3068.563,0.591,0.122
3074.823,-0.671,0.120
3081.078,0.728,0.133
3087.327,-0.872,0.116
3093.571,0.659,0.126
3099.810,-0.264,0.138
3106.043,0.386,0.126
3112.270,1.950,0.155
3118.492,0.725,0.130
3124.709,0.230,0.136
3130.920,-0.458,0.128
3137.126,0.833,0.131
3143.326,-0.778,0.120
3149.521,-0.961,0.131
3155.710,0.628,0.123
3161.895,-0.842,0.123
3168.073,1.037,0.135
3174.247,0.578,0.129
3180.415,-0.466,0.124
3186.577,0.375,0.130
3192.735,0.522,0.125
3198.887,0.295,0.131
3205.034,-0.075,0.126
3211.175,-0.422,0.125
3217.311,-0.892,0.117
3223.442,0.778,0.132
3229.567,-0.471,0.120
3235.687,0.024,0.119
3241.802,0.675,0.126
3247.912,-0.400,0.120
3254.016,-0.245,0.117
3260.115,1.308,0.130
3266.209,0.978,0.132
3272.298,0.196,0.131
3278.381,0.573,0.131
3284.459,0.638,0.129
3290.532,0.286,0.134
3296.600,1.209,0.139
3302.662,-0.065,0.135
3308.719,1.826,0.138
3314.771,-0.136,0.120
3320.818,0.259,0.129
