wave,inten,std
1830.282,21.630,24.317
1834.857,-8.931,23.252
1839.430,6.504,23.036
1844.004,-44.251,23.818
1848.577,0.552,23.944
1853.149,3.577,24.583
1857.721,-22.269,23.614
1862.293,-29.507,23.614
1866.864,-40.131,24.846
1871.434,-4.077,24.886
1876.005,-22.935,24.069
1880.574,52.142,25.657
1885.144,-14.257,23.783
1889.713,23.540,23.888
1894.281,-3.988,24.684
1898.849,-19.338,24.886
1903.417,-32.295,24.846
1907.984,-21.505,24.562
1912.551,-4.788,23.762
1917.117,-17.589,23.636
1921.683,-24.793,23.720
1926.249,-8.917,24.501
1930.814,-13.293,24.317
1935.378,-4.056,24.583
1939.942,37.593,24.644
1944.506,-23.591,23.230
1949.069,44.492,24.034
1953.632,7.588,23.993
1958.195,-19.587,23.881
1962.757,1.720,24.440
1967.318,-1.762,24.522
1971.880,0.386,24.317
1976.440,-17.809,23.480
1981.001,-32.554,22.730
1985.561,-13.406,23.036
1990.120,17.337,23.530
1994.679,38.823,24.460
1999.238,26.519,24.378
2003.796,-60.284,24.234
2008.354,16.721,24.745
2012.911,-18.852,24.276
2017.468,-14.501,23.508
2022.025,35.058,24.055
2026.581,-23.246,23.551
2031.137,27.821,24.034
2035.692,-19.602,24.623
2040.247,-20.864,24.255
2044.801,0.060,24.805
2049.355,-11.108,24.069
2053.909,12.869,24.399
2058.462,29.273,24.296
2063.015,41.725,23.593
2067.567,22.474,23.593
2072.119,-4.126,23.316
2076.671,16.313,23.359
2081.222,-29.769,24.805
2085.773,48.957,24.986
2090.323,-18.719,24.358
2094.873,39.654,24.926
2099.422,-21.348,23.881
2103.971,27.460,24.460
2108.520,1.091,24.946
2113.068,-0.260,24.481
2117.616,4.652,24.603
2122.163,14.333,23.804
2126.710,-9.375,23.166
2131.257,5.410,24.096
2135.803,-28.448,22.970
2140.349,49.083,24.406
2144.894,-0.953,24.276
2149.439,-3.938,24.664
2153.984,-29.775,24.623
2158.528,-24.398,23.860
2163.072,10.106,24.337
2167.615,-25.677,24.172
2172.158,-28.986,24.603
2176.701,7.621,25.225
2181.243,24.405,24.603
2185.785,27.149,25.126
2190.326,-6.242,23.466
2194.867,45.297,24.283
2199.407,-29.453,23.423
2203.948,38.301,23.762
2208.487,15.094,23.846
2213.027,8.595,23.972
2217.566,53.792,24.303
2222.104,33.380,24.200
2226.642,-23.710,24.460
2231.180,20.756,25.363
2235.717,41.738,25.910
2240.254,51.406,24.684
2244.791,-22.209,24.562
2249.327,69.945,25.890
2253.863,49.878,25.599
2258.398,-36.493,25.026
2262.933,22.209,25.481
2267.468,39.502,24.946
2272.002,30.146,24.785
2276.536,13.010,24.886
2281.069,-26.419,24.481
2285.602,75.500,25.324
2290.135,-10.789,24.926
2294.667,-9.613,24.846
