wave,inten,std
1830.282,0.012,0.022
1834.857,0.126,0.030
1839.430,-0.015,0.020
1844.004,-0.040,0.022
1848.577,-0.002,0.022
1853.149,-0.009,0.023
1857.721,-0.035,0.021
1862.293,0.099,0.029
1866.864,-0.183,nan
1871.434,-0.052,0.018
1876.005,-0.050,0.021
1880.574,-0.065,0.018
1885.144,0.036,0.027
1889.713,0.012,0.024
1894.281,-0.041,0.020
1898.849,-0.007,0.024
1903.417,-0.036,0.020
1907.984,-0.102,0.016
1912.551,0.030,0.025
1917.117,-0.009,0.022
1921.683,-0.088,0.019
1926.249,0.062,0.028
1930.814,-0.018,0.022
1935.378,-0.013,0.024
1939.942,0.058,0.027
1944.506,-0.019,0.022
1949.069,-0.135,0.011
1953.632,-0.024,0.022
1958.195,-0.014,0.023
1962.757,0.098,0.028
1967.318,0.162,0.031
1971.880,-0.005,0.024
1976.440,0.110,0.031
1981.001,0.053,0.027
1985.561,0.384,0.044
1990.120,-0.030,0.021
1994.679,-0.030,0.022
1999.238,0.010,0.026
2003.796,0.079,0.030
2008.354,-0.072,0.020
2012.911,-0.072,0.019
2017.468,-0.085,0.019
2022.025,1.167,0.066
2026.581,0.014,0.025
2031.137,-0.020,0.024
2035.692,-0.083,0.018
2040.247,-0.066,0.017
2044.801,0.018,0.026
2049.355,0.062,0.028
2053.909,0.028,0.024
2058.462,-0.036,0.021
2063.015,-0.070,0.019
2067.567,-0.061,0.021
2072.119,-0.005,0.024
2076.671,-0.100,0.016
2081.222,0.055,0.028
2085.773,-0.089,0.016
2090.323,0.056,0.028
2094.873,0.001,0.024
2099.422,-0.037,0.024
2103.971,0.142,0.033
2108.520,0.034,0.025
2113.068,-0.021,0.024
2117.616,0.089,0.029
2122.163,-0.056,0.018
2126.710,-0.027,0.022
2131.257,-0.108,0.020
2135.803,-0.022,0.023
2140.349,0.045,0.027
2144.894,-0.135,0.012
2149.439,-0.063,0.020
2153.984,0.024,0.024
2158.528,0.027,0.028
2163.072,0.001,0.025
2167.615,0.008,0.022
2172.158,-0.004,0.024
2176.701,-0.041,0.020
2181.243,0.036,0.026
2185.785,-0.046,0.021
2190.326,-0.002,0.023
2194.867,0.084,0.028
2199.407,-0.033,0.020
2203.948,-0.051,0.021
2208.487,0.011,0.026
2213.027,0.022,0.024
2217.566,-0.141,0.016
2222.104,0.029,0.025
2226.642,0.060,0.028
2231.180,0.146,0.033
2235.717,-0.026,0.023
2240.254,0.005,0.023
2244.791,0.154,0.032
2249.327,0.060,0.028
2253.863,0.082,0.030
2258.398,0.079,0.029
2262.933,0.113,0.031
2267.468,-0.068,0.018
2272.002,-0.057,0.019
2276.536,0.038,0.026
2281.069,-0.007,0.024
2285.602,0.012,0.026
2290.135,0.062,0.026
2294.667,0.060,0.030
2299.199,-0.141,0.004
2303.730,-0.045,0.022
2308.261,0.046,0.028
2312.792,0.001,0.025
2317.322,0.095,0.030
2321.852,-0.015,0.025
2326.382,0.110,0.029
2330.911,0.057,0.027
