wave,flux,std
4002.017,0.00e+00,0.00e+00
4006.435,0.00e+00,0.00e+00
4010.854,0.00e+00,0.00e+00
4015.273,0.00e+00,0.00e+00
4019.691,0.00e+00,0.00e+00
4024.109,0.00e+00,0.00e+00
4028.527,0.00e+00,0.00e+00
4032.944,0.00e+00,0.00e+00
4037.362,0.00e+00,0.00e+00
4041.779,0.00e+00,0.00e+00
4046.196,0.00e+00,0.00e+00
4050.613,0.00e+00,0.00e+00
4055.03,0.00e+00,0.00e+00
4059.446,0.00e+00,0.00e+00
4063.863,0.00e+00,0.00e+00
4068.279,0.00e+00,0.00e+00
4072.695,0.00e+00,0.00e+00
4077.11,0.00e+00,0.00e+00
4081.526,0.00e+00,0.00e+00
4085.941,0.00e+00,0.00e+00
4090.356,0.00e+00,0.00e+00
4094.771,0.00e+00,0.00e+00
4099.186,0.00e+00,0.00e+00
4103.6,0.00e+00,0.00e+00
4108.015,0.00e+00,0.00e+00
4112.429,0.00e+00,0.00e+00
4116.843,0.00e+00,0.00e+00
4121.257,0.00e+00,0.00e+00
4125.67,0.00e+00,0.00e+00
4130.084,0.00e+00,0.00e+00
4134.497,0.00e+00,0.00e+00
4138.91,0.00e+00,0.00e+00
4143.323,0.00e+00,0.00e+00
4147.735,0.00e+00,0.00e+00
4152.148,0.00e+00,0.00e+00
4156.56,0.00e+00,0.00e+00
4160.972,0.00e+00,0.00e+00
4165.384,0.00e+00,0.00e+00
4169.796,0.00e+00,0.00e+00
4174.208,0.00e+00,0.00e+00
4178.619,0.00e+00,0.00e+00
4183.03,0.00e+00,0.00e+00
4187.441,0.00e+00,0.00e+00
4191.852,0.00e+00,0.00e+00
4196.263,0.00e+00,0.00e+00
4200.673,0.00e+00,0.00e+00
4205.083,0.00e+00,0.00e+00
4209.494,0.00e+00,0.00e+00
4213.903,0.00e+00,0.00e+00
4218.313,0.00e+00,0.00e+00
4222.723,0.00e+00,0.00e+00
4227.132,0.00e+00,0.00e+00
4231.541,0.00e+00,0.00e+00
4235.95,0.00e+00,0.00e+00
4240.359,0.00e+00,0.00e+00
4244.768,0.00e+00,0.00e+00
4249.177,0.00e+00,0.00e+00
4253.585,0.00e+00,0.00e+00
4257.993,0.00e+00,0.00e+00
4262.401,0.00e+00,0.00e+00
4266.809,0.00e+00,0.00e+00
4271.217,0.00e+00,0.00e+00
4275.624,0.00e+00,0.00e+00
4280.031,0.00e+00,0.00e+00
4284.438,0.00e+00,0.00e+00
4288.845,0.00e+00,0.00e+00
4293.252,0.00e+00,0.00e+00
4297.659,0.00e+00,0.00e+00
4302.065,0.00e+00,0.00e+00
4306.472,0.00e+00,0.00e+00
4310.878,0.00e+00,0.00e+00
4315.284,0.00e+00,0.00e+00
4319.69,0.00e+00,0.00e+00
4324.095,0.00e+00,0.00e+00
4328.501,0.00e+00,0.00e+00
4332.906,0.00e+00,0.00e+00
4337.311,0.00e+00,0.00e+00
4341.716,0.00e+00,0.00e+00
