wave,flux,std
4002.017,-4.91e-16,1.74e-16
4006.435,-1.99e-16,1.95e-16
4010.854,-6.89e-16,1.76e-16
4015.273,-3.36e-16,1.87e-16
4019.691,-6.98e-17,1.95e-16
4024.109,-3.03e-16,1.83e-16
4028.527,-6.81e-16,1.66e-16
4032.944,-3.96e-16,1.91e-16
4037.362,-4.97e-16,1.90e-16
4041.779,-8.70e-16,1.76e-16
4046.196,3.04e-16,1.96e-16
4050.613,-6.48e-17,1.81e-16
4055.03,-5.71e-16,1.53e-16
4059.446,4.24e-16,1.87e-16
4063.863,4.42e-17,1.86e-16
4068.279,9.14e-16,2.15e-16
4072.695,1.24e-16,1.95e-16
4077.11,-1.05e-16,1.91e-16
4081.526,-1.58e-17,2.03e-16
4085.941,-1.58e-17,1.95e-16
4090.356,-4.89e-16,1.74e-16
4094.771,1.42e-17,1.86e-16
4099.186,4.64e-16,1.90e-16
4103.6,-4.04e-16,1.54e-16
4108.015,-9.78e-17,1.55e-16
4112.429,-1.54e-16,1.47e-16
4116.843,-3.29e-16,1.24e-16
4121.257,4.04e-16,1.51e-16
4125.67,-3.38e-16,1.29e-16
4130.084,-1.71e-16,1.38e-16
4134.497,-1.06e-16,1.49e-16
4138.91,-5.92e-16,1.37e-16
4143.323,-3.47e-16,1.45e-16
4147.735,-6.64e-16,1.26e-16
4152.148,-7.78e-17,1.35e-16
4156.56,-1.58e-17,1.37e-16
4160.972,3.24e-16,1.54e-16
4165.384,-8.21e-16,1.17e-16
4169.796,2.94e-16,1.57e-16
4174.208,-1.81e-16,1.40e-16
4178.619,1.84e-16,1.57e-16
4183.03,-1.30e-16,1.35e-16
4187.441,-3.93e-16,1.27e-16
4191.852,-4.94e-16,1.20e-16
4196.263,-4.80e-16,1.26e-16
4200.673,-1.82e-16,1.37e-16
4205.083,-1.65e-16,1.40e-16
4209.494,-4.11e-16,1.32e-16
4213.903,4.24e-16,1.53e-16
4218.313,-1.90e-16,1.35e-16
4222.723,-3.58e-17,1.36e-16
4227.132,-1.54e-16,1.35e-16
4231.541,-3.36e-16,1.33e-16
4235.95,-6.86e-16,1.23e-16
