wave,inten,std
897.447,21.630,24.317
904.678,-8.931,23.252
911.904,6.504,23.036
919.124,-44.251,23.818
926.339,0.552,23.944
933.548,3.577,24.583
940.752,-22.269,23.614
947.951,-29.507,23.614
955.144,-40.131,24.846
962.331,-4.077,24.886
969.514,-22.935,24.069
976.691,52.142,25.657
983.862,-14.257,23.783
991.028,23.540,23.888
998.189,-3.988,24.684
1005.344,-19.338,24.886
1012.494,-32.295,24.846
1019.638,-21.505,24.562
1026.777,-4.788,23.762
1033.911,-17.589,23.636
1041.039,-24.793,23.720
1048.162,-8.917,24.501
1055.280,-13.293,24.317
1062.392,-4.056,24.583
1069.499,37.593,24.644
1076.601,-23.591,23.230
1083.697,44.492,24.034
1090.788,7.588,23.993
1097.873,-19.587,23.881
1104.954,1.720,24.440
1112.029,-1.762,24.522
1119.098,0.386,24.317
1126.163,-17.809,23.480
1133.222,-32.554,22.730
1140.275,-13.406,23.036
1147.324,17.337,23.530
1154.367,38.823,24.460
1161.405,26.519,24.378
1168.438,-60.284,24.234
1175.465,16.721,24.745
1182.487,-18.852,24.276
1189.504,-14.501,23.508
1196.515,35.058,24.055
1203.522,-23.246,23.551
1210.523,27.821,24.034
1217.519,-19.602,24.623
1224.509,-20.864,24.255
1231.495,0.060,24.805
1238.475,-11.108,24.069
1245.450,12.869,24.399
1252.420,29.273,24.296
1259.384,41.725,23.593
1266.344,22.474,23.593
1273.298,-4.126,23.316
1280.247,16.313,23.359
1287.191,-29.769,24.805
1294.129,48.957,24.986
1301.063,-18.719,24.358
1307.991,39.654,24.926
1314.914,-21.348,23.881
1321.832,27.460,24.460
1328.745,1.091,24.946
1335.652,-0.260,24.481
1342.555,4.652,24.603
1349.452,14.333,23.804
1356.345,-9.375,23.166
1363.232,5.410,24.096
1370.114,-28.448,22.970
1376.991,49.083,24.406
1383.862,-0.953,24.276
1390.729,-3.938,24.664
1397.591,-29.775,24.623
1404.447,-24.398,23.860
1411.298,10.106,24.337
1418.145,-25.677,24.172
1424.986,-28.986,24.603
1431.822,7.621,25.225
1438.653,24.405,24.603
1445.479,27.149,25.126
1452.300,-6.242,23.466
1459.116,45.297,24.283
1465.927,-29.453,23.423
1472.732,38.301,23.762
1479.533,15.094,23.846
1486.329,8.595,23.972
1493.120,53.792,24.303
1499.905,33.380,24.200
1506.686,-23.710,24.460
1513.462,20.756,25.363
1520.232,41.738,25.910
