wave,inten,std
2852.214,1.024,0.064
2857.995,-0.088,0.062
2863.773,0.222,0.060
2869.546,1.142,0.068
2875.316,-0.114,0.059
2881.082,0.500,0.063
2886.844,-0.359,0.059
2892.602,0.473,0.065
2898.357,0.373,0.062
2904.108,0.485,0.062
2909.856,0.348,0.061
2915.600,0.515,0.063
2921.340,0.554,0.059
2927.076,0.031,0.062
2932.809,0.657,0.063
2938.538,2.072,0.076
2944.263,0.063,0.060
2949.985,-0.072,0.061
2955.703,1.322,0.067
2961.417,0.012,0.063
2967.128,0.698,0.062
2972.835,0.277,0.059
2978.538,0.098,0.058
2984.238,0.718,0.064
2989.934,0.269,0.060
2995.626,0.641,0.062
3001.315,0.203,0.060
3007.001,0.265,0.062
3012.682,0.269,0.061
3018.360,0.218,0.060
3024.035,-0.156,0.058
3029.706,0.268,0.061
3035.373,0.209,0.061
3041.036,0.101,0.060
3046.697,-0.686,0.057
3052.353,-0.022,0.057
3058.006,-0.061,0.058
3063.655,0.076,0.060
3069.301,-0.374,0.059
3074.943,0.420,0.062
3080.582,0.294,0.062
3086.217,0.290,0.065
3091.849,-0.261,0.060
3097.477,0.322,0.059
3103.101,0.037,0.059
3108.722,0.584,0.061
3114.340,0.904,0.064
3119.954,-0.034,0.060
3125.564,-0.361,0.062
3131.171,-0.317,0.058
3136.775,0.116,0.063
3142.374,0.061,0.058
3147.971,0.084,0.059
3153.564,0.044,0.059
3159.153,-0.032,0.061
3164.739,0.172,0.061
3170.322,-0.187,0.058
3175.901,0.322,0.060
3181.476,1.013,0.066
3187.049,0.922,0.067
3192.617,-0.127,0.060
3198.182,0.335,0.061
3203.744,0.183,0.059
3209.303,0.242,0.061
3214.857,1.827,0.073
3220.409,0.103,0.061
3225.957,0.335,0.062
3231.502,-0.175,0.062
3237.043,-0.059,0.059
3242.581,-0.096,0.062
3248.115,0.401,0.059
3253.646,-0.768,0.058
3259.174,-0.194,0.058
3264.698,-0.424,0.060
3270.219,-0.031,0.059
3275.736,0.823,0.065
3281.250,-0.026,0.061
3286.761,-0.154,0.058
3292.269,-0.215,0.062
3297.773,-0.070,0.059
3303.273,0.795,0.065
3308.771,0.244,0.061
3314.265,-0.158,0.056
3319.755,0.649,0.060
3325.242,0.673,0.061
3330.726,0.263,0.062
3336.207,0.344,0.062
3341.684,0.769,0.062
3347.158,0.335,0.061
3352.629,0.378,0.066
3358.096,0.347,0.063
3363.561,1.547,0.074
3369.021,0.269,0.061
3374.479,-0.169,0.057
3379.933,0.286,0.060
3385.384,0.199,0.061
3390.832,0.258,0.061
3396.276,0.147,0.058
3401.717,0.141,0.059
3407.155,0.428,0.059
3412.590,0.294,0.061
3418.021,-0.360,0.058
3423.449,0.314,0.063
3428.874,-0.129,0.062
3434.296,-0.067,0.062
3439.714,0.202,0.062
3445.130,-0.017,0.062
3450.542,0.056,0.061
3455.950,0.068,0.062
3461.356,0.536,0.065
3466.758,0.561,0.062
3472.158,0.530,0.061
3477.554,0.459,0.061
3482.946,0.533,0.061
3488.336,0.748,0.061
3493.722,0.547,0.063
3499.106,0.060,0.060
3504.486,0.638,0.065
3509.863,0.409,0.063
3515.236,0.406,0.063
3520.607,0.146,0.063
3525.974,0.281,0.063
3531.339,1.356,0.071
3536.700,0.389,0.063
3542.058,0.547,0.064
3547.413,0.378,0.066
3552.765,0.405,0.063
3558.113,0.681,0.067
3563.459,0.617,0.066
3568.801,0.782,0.065
3574.141,0.941,0.067
3579.477,0.249,0.063
3584.810,0.096,0.064
3590.140,1.520,0.071
3595.467,0.801,0.068
3600.791,0.689,0.067
3606.112,0.813,0.070
3611.429,0.700,0.067
3616.744,0.548,0.067
3622.056,0.904,0.067
3627.364,0.324,0.066
3632.670,0.761,0.069
3637.972,0.353,0.067
3643.272,0.200,0.068
3648.568,1.130,0.071
3653.862,0.862,0.071
3659.152,0.488,0.068
3664.439,1.353,0.071
3669.724,0.932,0.070
3675.005,1.229,0.069
3680.283,0.853,0.070
3685.558,1.086,0.071
3690.831,0.866,0.069
3696.100,1.011,0.071
3701.366,2.120,0.077
3706.630,1.775,0.074
3711.890,1.131,0.071
3717.147,1.141,0.074
3722.402,1.261,0.074
3727.653,0.606,0.070
3732.902,1.572,0.074
3738.147,1.488,0.075
3743.390,1.550,0.077
3748.630,1.702,0.077
3753.867,2.354,0.080
3759.100,1.386,0.074
3764.331,1.529,0.077
3769.559,1.712,0.076
3774.784,1.304,0.073
3780.006,1.784,0.077
3785.226,1.610,0.078
3790.442,1.596,0.079
3795.655,1.298,0.075
3800.866,3.348,0.091
3806.074,1.054,0.074
3811.279,2.112,0.083
3816.480,2.018,0.079
3821.679,1.790,0.079
3826.876,2.535,0.082
3832.069,2.126,0.082
3837.259,1.980,0.082
3842.447,2.048,0.083
3847.632,2.213,0.085
3852.814,1.435,0.084
3857.993,3.752,0.094
3863.169,3.461,0.094
3868.343,2.039,0.089
3873.513,1.907,0.090
3878.681,2.010,0.091
3883.846,2.110,0.096
3889.008,1.801,0.098
3894.168,2.375,0.106
3899.324,1.630,0.101
3904.478,1.472,0.096
3909.629,2.377,0.094
3914.777,2.762,0.091
3919.923,2.165,0.088
3925.065,1.713,0.089
3930.205,2.244,0.092
3935.342,2.004,0.094
3940.477,2.801,0.096
3945.609,2.469,0.094
3950.737,2.295,0.090
3955.864,1.996,0.092
3960.987,1.529,0.091
3966.108,2.099,0.092
3971.226,2.141,0.094
3976.341,2.707,0.094
3981.453,2.103,0.094
3986.563,2.436,0.094
3991.670,2.798,0.097
3996.775,2.319,0.099
4001.877,2.177,0.096
4006.976,2.314,0.099
4012.072,3.266,0.102
4017.166,2.824,0.100
4022.257,2.379,0.100
4027.345,2.644,0.100
4032.431,2.872,0.104
4037.514,2.679,0.106
4042.594,2.672,0.106
4047.672,2.490,0.104
4052.747,3.130,0.106
4057.819,3.668,0.113
4062.889,3.522,0.111
4067.956,3.128,0.110
4073.020,3.171,0.113
4078.082,2.536,0.113
4083.142,2.398,0.111
4088.198,2.900,0.117
4093.252,2.542,0.116
4098.304,3.183,0.123
4103.353,2.725,0.122
4108.399,2.095,0.123
4113.443,3.026,0.129
4118.484,3.598,0.131
4123.522,2.633,0.133
4128.558,3.265,0.135
4133.592,2.687,0.137
4138.622,3.096,0.136
4143.651,2.318,0.137
4148.676,3.240,0.140
4153.699,2.942,0.142
4158.720,2.820,0.144
4163.738,3.629,0.151
4168.754,3.308,0.150
4173.767,4.687,0.156
4178.777,2.876,0.155
4183.785,4.450,0.164
4188.791,2.812,0.163
4193.794,2.784,0.164
4198.794,2.954,0.166
4203.792,4.212,0.175
4208.788,3.332,0.176
4213.781,4.845,0.177
4218.771,4.138,0.180
4223.759,4.212,0.182
4228.745,2.309,0.184
4233.728,4.290,0.190
4238.708,3.933,0.197
4243.687,5.598,0.205
4248.662,3.056,0.217
4253.636,2.933,0.246
4258.606,1.763,0.261
4263.575,4.638,0.256
4268.541,3.263,0.229
4273.504,4.584,0.223
4278.465,4.401,0.227
4283.424,3.947,0.231
4288.380,5.012,0.234
4293.334,4.983,0.237
4298.286,2.803,0.238
4303.235,4.262,0.245
4308.182,4.371,0.250
4313.126,5.146,0.254
4318.068,4.732,0.258
4323.007,4.230,0.263
4327.945,2.447,0.264
4332.879,3.931,0.278
4337.812,2.858,0.281
4342.742,6.365,0.290
4347.670,5.250,0.292
4352.595,3.573,0.294
4357.518,6.216,0.301
4362.439,3.806,0.302
4367.357,3.899,0.304
4372.273,7.979,0.314
4377.187,5.380,0.315
4382.098,9.492,0.326
4387.007,6.742,0.323
4391.914,7.872,0.327
4396.819,7.520,0.327
4401.721,6.726,0.334
4406.621,18.524,0.349
4411.518,15.114,0.347
4416.414,12.415,0.351
4421.307,14.113,0.357
4426.197,4.923,0.350
4431.086,15.499,0.360
4435.972,6.546,0.346
4440.856,9.347,0.349
4445.738,14.890,0.339
4450.617,11.533,0.331
4455.495,12.966,0.328
4460.370,8.489,0.320
4465.242,8.387,0.316
4470.113,5.797,0.312
4474.981,7.621,0.310
4479.847,5.926,0.304
4484.711,7.073,0.303
4489.573,3.767,0.294
4494.432,6.900,0.295
4499.290,6.091,0.290
4504.145,3.797,0.283
4508.998,3.569,0.278
4513.848,5.176,0.278
4518.697,4.759,0.277
4523.543,6.711,0.274
4528.388,4.743,0.267
4533.230,4.796,0.265
4538.069,4.131,0.262
4542.907,5.611,0.262
4547.743,5.066,0.257
4552.576,5.302,0.257
4557.408,5.547,0.253
4562.237,3.396,0.247
4567.064,5.365,0.247
4571.889,5.651,0.247
4576.711,4.762,0.249
4581.532,2.255,0.239
4586.351,6.802,0.248
4591.167,3.288,0.240
4595.982,5.371,0.242
4600.794,5.112,0.240
4605.604,5.742,0.240
4610.412,5.532,0.238
4615.218,5.885,0.237
4620.022,5.870,0.233
4624.824,4.076,0.229
4629.624,5.264,0.227
4634.422,6.699,0.229
4639.217,6.195,0.224
4644.011,4.891,0.221
4648.803,4.571,0.220
4653.592,6.101,0.220
4658.380,4.712,0.215
4663.165,5.089,0.214
4667.949,6.002,0.215
4672.730,5.469,0.214
4677.510,6.799,0.218
4682.287,6.665,0.217
4687.062,4.489,0.211
4691.836,5.235,0.209
4696.607,4.948,0.205
4701.377,5.721,0.202
4706.144,5.515,0.200
4710.910,5.310,0.197
4715.673,6.148,0.196
4720.435,4.709,0.191
4725.195,5.752,0.192
4729.952,3.975,0.191
4734.708,4.376,0.191
4739.462,5.248,0.192
4744.213,4.972,0.188
4748.963,5.156,0.191
4753.711,5.006,0.190
4758.457,4.999,0.189
4763.201,4.407,0.189
4767.943,5.251,0.190
4772.684,5.965,0.194
4777.422,6.122,0.193
4782.158,5.582,0.194
4786.893,6.448,0.196
