wave,inten,std
1830.282,-0.022,0.020
1834.857,0.015,0.023
1839.430,0.194,0.033
1844.004,0.134,0.033
1848.577,0.056,0.026
1853.149,-0.097,0.016
1857.721,-0.015,0.023
1862.293,0.014,0.023
1866.864,-0.048,0.020
1871.434,0.002,0.023
1876.005,0.044,0.028
1880.574,-0.017,0.022
1885.144,0.005,0.025
1889.713,0.180,0.034
1894.281,-0.001,0.024
1898.849,-0.118,0.015
1903.417,-0.021,0.021
1907.984,-0.037,0.022
1912.551,-0.009,0.023
1917.117,0.125,0.030
1921.683,-0.072,0.020
1926.249,-0.026,0.022
1930.814,-0.010,0.022
1935.378,-0.050,0.022
1939.942,0.024,0.025
1944.506,0.086,0.029
1949.069,-0.002,0.024
1953.632,0.049,0.027
1958.195,-0.029,0.022
1962.757,0.030,0.023
1967.318,0.118,0.028
1971.880,0.108,0.031
1976.440,-0.090,0.017
1981.001,0.007,0.024
1985.561,0.080,0.030
1990.120,-0.029,0.022
1994.679,0.052,0.027
1999.238,-0.043,0.023
2003.796,0.014,0.026
2008.354,-0.131,0.014
2012.911,0.047,0.028
2017.468,0.056,0.029
2022.025,0.043,0.026
2026.581,0.007,0.024
2031.137,0.095,0.031
2035.692,0.020,0.026
2040.247,0.028,0.025
2044.801,0.069,0.029
2049.355,-0.073,0.018
2053.909,-0.033,0.020
2058.462,-0.066,0.018
2063.015,-0.094,0.017
2067.567,0.044,0.028
2072.119,-0.053,0.020
2076.671,-0.098,0.016
2081.222,-0.088,0.017
2085.773,-0.048,0.019
2090.323,0.009,0.026
2094.873,-0.049,0.021
2099.422,-0.025,0.025
2103.971,0.002,0.026
2108.520,-0.057,0.018
2113.068,-0.180,0.008
2117.616,0.059,0.028
2122.163,0.123,0.030
2126.710,-0.039,0.020
2131.257,-0.057,0.023
2135.803,-0.089,0.017
2140.349,0.105,0.030
2144.894,0.065,0.028
2149.439,0.003,0.025
2153.984,0.027,0.025
2158.528,-0.077,0.022
2163.072,-0.054,0.021
2167.615,0.007,0.022
2172.158,-0.019,0.023
2176.701,0.101,0.030
2181.243,-0.017,0.023
2185.785,-0.102,0.016
2190.326,0.008,0.024
2194.867,-0.039,0.019
2199.407,-0.070,0.017
2203.948,0.007,0.025
2208.487,-0.050,0.021
2213.027,-0.039,0.019
2217.566,-0.118,0.018
2222.104,0.013,0.024
2226.642,0.073,0.029
2231.180,-0.092,0.017
2235.717,-0.019,0.023
2240.254,-0.034,0.020
2244.791,0.046,0.026
2249.327,-0.049,0.021
2253.863,0.081,0.030
2258.398,-0.049,0.021
2262.933,-0.049,0.021
2267.468,0.013,0.024
2272.002,0.016,0.025
2276.536,-0.094,0.016
2281.069,0.849,0.058
2285.602,0.042,0.027
2290.135,0.051,0.025
2294.667,-0.014,0.025
2299.199,0.083,0.028
2303.730,-0.068,0.020
2308.261,0.027,0.026
2312.792,0.001,0.025
2317.322,-0.015,0.023
2321.852,-0.013,0.024
2326.382,0.057,0.026
2330.911,0.046,0.027
2335.440,0.008,0.025
2339.968,-0.027,0.022
2344.496,0.003,0.024
2349.023,0.030,0.026
2353.551,-0.069,0.020
2358.077,-0.010,0.022
2362.604,0.017,0.023
2367.130,0.007,0.024
2371.656,0.060,0.028
2376.181,0.093,0.030
2380.706,0.034,0.027
2385.230,0.040,0.028
2389.754,0.055,0.030
2394.278,-0.026,0.022
2398.802,-0.029,0.023
2403.325,-0.075,0.017
2407.847,-0.116,0.017
2412.369,0.078,0.029
2416.891,-0.019,0.022
2421.413,0.009,0.025
2425.934,-0.064,0.018
2430.455,-0.019,0.026
2434.975,-0.014,0.022
2439.495,0.044,0.027
2444.015,0.025,0.024
2448.534,-0.011,0.024
2453.053,0.002,0.024
2457.571,0.004,0.024
2462.089,0.144,0.032
2466.607,0.000,0.026
2471.124,0.085,0.029
2475.641,-0.013,0.023
2480.158,0.010,0.024
2484.674,-0.030,0.023
2489.190,0.073,0.028
2493.706,-0.026,0.022
2498.221,-0.058,0.017
2502.736,-0.047,0.020
2507.250,-0.037,0.021
2511.764,-0.005,0.023
2516.278,0.021,0.025
2520.791,0.057,0.028
2525.304,0.038,0.025
2529.817,0.122,0.030
2534.329,0.111,0.028
2538.841,-0.002,0.026
2543.352,0.071,0.030
2547.864,-0.035,0.020
2552.374,-0.055,0.025
2556.885,0.148,0.032
2561.395,0.132,0.032
2565.904,0.034,0.025
2570.414,-0.039,0.021
2574.923,-0.006,0.024
2579.431,0.006,0.023
2583.940,0.013,0.024
2588.447,0.007,0.025
2592.955,0.090,0.030
2597.462,0.013,0.026
2601.969,0.036,0.026
2606.475,-0.036,0.023
2610.982,-0.017,0.024
2615.487,-0.019,0.025
2619.993,-0.123,0.013
2624.498,0.015,0.024
2629.002,-0.017,0.024
2633.507,0.309,0.040
2638.011,0.050,0.028
2642.514,0.042,0.027
2647.018,-0.060,0.019
2651.521,0.039,0.027
2656.023,0.149,0.032
2660.525,0.083,0.030
2665.027,0.014,0.025
2669.529,-0.011,0.023
2674.030,0.046,0.027
2678.531,0.014,0.026
2683.031,0.013,0.026
2687.531,0.160,0.033
2692.031,0.096,0.030
2696.531,-0.068,0.022
2701.030,0.006,0.026
2705.528,0.029,0.026
2710.027,0.045,0.028
2714.525,-0.060,0.021
2719.023,0.070,0.027
2723.520,0.023,0.026
2728.017,0.017,0.027
2732.514,-0.076,0.018
2737.010,-0.014,0.025
2741.506,-0.005,0.024
2746.002,-0.017,0.026
2750.497,-0.007,0.023
2754.992,0.079,0.028
2759.487,-0.044,0.020
2763.981,0.056,0.028
