wave,flux,std
4002.017,2.35e-15,2.52e-16
4006.435,2.47e-15,2.62e-16
4010.854,2.61e-15,2.69e-16
4015.273,2.42e-15,2.56e-16
4019.691,3.50e-15,2.88e-16
4024.109,2.51e-15,2.48e-16
4028.527,2.71e-15,2.58e-16
4032.944,2.76e-15,2.64e-16
4037.362,2.87e-15,2.75e-16
4041.779,4.00e-15,3.06e-16
4046.196,2.74e-15,2.45e-16
4050.613,2.40e-15,2.37e-16
4055.03,3.04e-15,2.44e-16
4059.446,2.70e-15,2.30e-16
4063.863,2.92e-15,2.46e-16
4068.279,3.20e-15,2.56e-16
4072.695,4.31e-15,3.02e-16
4077.11,4.55e-15,3.12e-16
4081.526,3.85e-15,2.99e-16
4085.941,4.19e-15,2.99e-16
4090.356,3.84e-15,2.86e-16
4094.771,4.97e-15,3.07e-16
4099.186,4.74e-15,2.92e-16
4103.6,4.42e-15,2.75e-16
4108.015,3.70e-15,2.45e-16
4112.429,3.22e-15,2.22e-16
4116.843,3.39e-15,2.13e-16
4121.257,2.75e-15,1.88e-16
4125.67,2.33e-15,1.81e-16
4130.084,2.91e-15,2.02e-16
4134.497,2.61e-15,2.05e-16
4138.91,2.59e-15,2.12e-16
4143.323,3.31e-15,2.27e-16
4147.735,2.94e-15,2.09e-16
4152.148,2.59e-15,1.88e-16
4156.56,3.01e-15,1.96e-16
4160.972,3.03e-15,2.02e-16
4165.384,3.37e-15,2.16e-16
4169.796,2.86e-15,2.07e-16
4174.208,3.53e-15,2.22e-16
4178.619,2.49e-15,1.94e-16
4183.03,2.99e-15,1.97e-16
4187.441,2.94e-15,1.95e-16
4191.852,2.33e-15,1.76e-16
4196.263,3.29e-15,2.06e-16
4200.673,3.52e-15,2.10e-16
4205.083,3.49e-15,2.14e-16
4209.494,2.95e-15,1.98e-16
4213.903,3.34e-15,2.03e-16
4218.313,3.83e-15,2.11e-16
4222.723,3.15e-15,1.94e-16
4227.132,3.18e-15,1.97e-16
4231.541,4.06e-15,2.19e-16
4235.95,3.59e-15,2.08e-16
4240.359,3.61e-15,2.09e-16
4244.768,3.24e-15,1.98e-16
4249.177,3.17e-15,1.98e-16
4253.585,3.20e-15,1.94e-16
4257.993,2.55e-15,1.81e-16
4262.401,3.90e-15,2.05e-16
4266.809,2.76e-15,1.84e-16
4271.217,3.43e-15,2.01e-16
4275.624,3.48e-15,2.03e-16
4280.031,3.13e-15,1.97e-16
4284.438,3.37e-15,2.03e-16
4288.845,3.09e-15,1.93e-16
4293.252,3.46e-15,1.97e-16
4297.659,3.29e-15,1.92e-16
4302.065,3.11e-15,1.87e-16
4306.472,3.20e-15,1.97e-16
4310.878,2.57e-15,1.91e-16
4315.284,3.71e-15,2.22e-16
4319.69,3.83e-15,2.24e-16
4324.095,4.68e-15,2.46e-16
4328.501,4.42e-15,2.42e-16
4332.906,4.77e-15,2.43e-16
4337.311,5.48e-15,2.56e-16
4341.716,6.55e-15,2.70e-16
4346.121,6.59e-15,2.72e-16
4350.525,5.75e-15,2.61e-16
4354.93,5.67e-15,2.47e-16
4359.334,4.59e-15,2.13e-16
4363.738,4.23e-15,2.04e-16
4368.142,4.76e-15,2.12e-16
4372.546,5.11e-15,2.32e-16
4376.95,4.70e-15,2.37e-16
4381.353,5.33e-15,2.51e-16
4385.757,3.75e-15,2.23e-16
4390.16,3.45e-15,2.08e-16
4394.563,3.13e-15,2.00e-16
4398.966,3.28e-15,2.00e-16
4403.369,3.64e-15,2.12e-16
4407.771,4.36e-15,2.33e-16
4412.174,4.87e-15,2.47e-16
4416.576,3.90e-15,2.31e-16
4420.978,3.78e-15,2.22e-16
4425.38,3.46e-15,2.13e-16
4429.782,3.48e-15,2.14e-16
4434.183,3.48e-15,2.17e-16
4438.585,3.72e-15,2.30e-16
4442.986,3.61e-15,2.34e-16
4447.387,3.57e-15,2.32e-16
4451.788,6.79e-15,2.71e-16
4456.189,4.09e-15,2.34e-16
4460.59,2.98e-15,2.20e-16
4464.99,4.85e-15,2.42e-16
4469.391,3.74e-15,2.32e-16
4473.791,3.88e-15,2.38e-16
4478.191,4.13e-15,2.37e-16
4482.591,3.69e-15,2.31e-16
4486.991,4.44e-15,2.42e-16
4491.391,3.84e-15,2.31e-16
4495.79,3.87e-15,2.29e-16
4500.19,4.26e-15,2.33e-16
4504.589,4.23e-15,2.34e-16
4508.988,3.64e-15,2.26e-16
4513.387,4.21e-15,2.30e-16
4517.786,4.41e-15,2.33e-16
4522.184,4.33e-15,2.30e-16
4526.583,4.30e-15,2.29e-16
4530.981,4.47e-15,2.28e-16
4535.379,4.74e-15,2.27e-16
4539.777,3.79e-15,2.15e-16
4544.175,3.48e-15,2.09e-16
4548.573,3.95e-15,2.11e-16
4552.971,4.52e-15,2.18e-16
4557.368,4.44e-15,2.15e-16
4561.766,3.71e-15,2.02e-16
4566.163,4.03e-15,2.04e-16
4570.56,4.27e-15,2.03e-16
4574.957,4.37e-15,2.04e-16
4579.354,4.76e-15,2.08e-16
4583.751,3.59e-15,1.89e-16
4588.147,4.51e-15,2.00e-16
4592.544,4.44e-15,1.96e-16
4596.94,4.03e-15,1.90e-16
4601.336,3.93e-15,1.86e-16
4605.732,4.12e-15,1.88e-16
4610.128,4.14e-15,1.87e-16
4614.524,3.70e-15,1.78e-16
4618.919,4.11e-15,1.81e-16
4623.315,4.62e-15,1.87e-16
4627.71,4.28e-15,1.82e-16
4632.105,4.16e-15,1.81e-16
4636.5,4.58e-15,1.82e-16
4640.895,5.48e-15,1.92e-16
4645.29,5.04e-15,1.86e-16
4649.685,4.17e-15,1.75e-16
4654.079,4.07e-15,1.72e-16
4658.474,4.43e-15,1.75e-16
4662.868,4.24e-15,1.72e-16
4667.262,4.75e-15,1.76e-16
4671.656,5.06e-15,1.80e-16
4676.05,4.58e-15,1.72e-16
4680.444,4.95e-15,1.78e-16
4684.838,5.60e-15,1.84e-16
4689.231,5.79e-15,1.84e-16
4693.625,6.50e-15,1.92e-16
4698.018,6.85e-15,1.94e-16
4702.411,6.32e-15,1.88e-16
4706.804,5.75e-15,1.80e-16
4711.197,5.23e-15,1.72e-16
4715.59,5.03e-15,1.69e-16
4719.983,4.16e-15,1.58e-16
4724.375,4.56e-15,1.62e-16
4728.768,4.78e-15,1.64e-16
4733.16,4.68e-15,1.63e-16
4737.552,4.96e-15,1.66e-16
4741.944,4.78e-15,1.61e-16
4746.336,4.69e-15,1.59e-16
4750.728,4.72e-15,1.58e-16
4755.12,4.76e-15,1.59e-16
4759.511,5.00e-15,1.60e-16
4763.903,4.46e-15,1.52e-16
4768.294,4.71e-15,1.56e-16
4772.685,4.53e-15,1.54e-16
4777.077,4.27e-15,1.50e-16
4781.468,4.69e-15,1.55e-16
4785.858,4.17e-15,1.47e-16
4790.249,4.08e-15,1.43e-16
4794.64,3.98e-15,1.41e-16
4799.031,4.65e-15,1.50e-16
4803.421,4.24e-15,1.45e-16
4807.811,4.44e-15,1.50e-16
4812.202,4.68e-15,1.53e-16
4816.592,4.42e-15,1.48e-16
4820.982,4.45e-15,1.47e-16
4825.372,4.29e-15,1.42e-16
4829.761,4.39e-15,1.44e-16
4834.151,4.42e-15,1.47e-16
4838.541,4.56e-15,1.49e-16
4842.93,4.49e-15,1.53e-16
4847.319,5.23e-15,1.63e-16
4851.709,5.29e-15,1.65e-16
4856.098,6.18e-15,1.76e-16
4860.487,6.68e-15,1.80e-16
4864.876,8.53e-15,1.99e-16
4869.265,9.48e-15,2.05e-16
4873.653,1.03e-14,2.12e-16
4878.042,9.83e-15,2.06e-16
4882.431,9.06e-15,1.95e-16
4886.819,7.38e-15,1.77e-16
4891.207,6.13e-15,1.62e-16
4895.595,5.25e-15,1.54e-16
4899.984,5.39e-15,1.56e-16
4904.372,4.83e-15,1.52e-16
4908.759,5.14e-15,1.56e-16
4913.147,4.98e-15,1.53e-16
4917.535,4.71e-15,1.47e-16
4921.923,4.47e-15,1.44e-16
4926.31,4.53e-15,1.44e-16
4930.698,4.54e-15,1.44e-16
4935.085,4.51e-15,1.46e-16
4939.472,5.22e-15,1.55e-16
4943.859,5.77e-15,1.60e-16
4948.246,7.51e-15,1.79e-16
4952.633,8.85e-15,1.91e-16
4957.02,1.61e-14,2.49e-16
4961.407,2.40e-14,2.99e-16
4965.793,2.92e-14,3.28e-16
4970.18,3.27e-14,3.45e-16
4974.566,3.55e-14,3.60e-16
4978.953,3.10e-14,3.37e-16
4983.339,2.42e-14,2.99e-16
4987.725,1.86e-14,2.64e-16
4992.111,1.71e-14,2.53e-16
4996.497,1.82e-14,2.61e-16
5000.883,2.37e-14,2.94e-16
5005.269,3.59e-14,3.56e-16
5009.655,5.32e-14,4.30e-16
5014.04,7.28e-14,5.02e-16
5018.426,8.84e-14,5.51e-16
5022.811,8.96e-14,5.53e-16
5027.197,7.32e-14,5.00e-16
5031.582,5.32e-14,4.27e-16
5035.967,3.43e-14,3.44e-16
5040.352,2.06e-14,2.70e-16
5044.737,1.39e-14,2.25e-16
5049.122,6.99e-15,1.66e-16
5053.507,5.23e-15,1.48e-16
5057.892,4.56e-15,1.42e-16
5062.277,4.60e-15,1.41e-16
5066.661,4.52e-15,1.41e-16
5071.046,4.73e-15,1.42e-16
5075.43,4.66e-15,1.42e-16
5079.814,4.86e-15,1.44e-16
5084.199,3.93e-15,1.34e-16
5088.583,4.06e-15,1.36e-16
5092.967,3.88e-15,1.33e-16
5097.351,4.10e-15,1.35e-16
5101.735,3.69e-15,1.30e-16
5106.119,4.03e-15,1.33e-16
5110.503,4.02e-15,1.33e-16
5114.886,4.08e-15,1.33e-16
5119.27,4.28e-15,1.36e-16
5123.654,4.11e-15,1.33e-16
5128.037,4.63e-15,1.40e-16
5132.421,4.09e-15,1.33e-16
5136.804,4.20e-15,1.33e-16
5141.187,4.40e-15,1.37e-16
5145.57,3.88e-15,1.32e-16
5149.954,4.46e-15,1.38e-16
5154.337,4.57e-15,1.38e-16
5158.72,4.25e-15,1.34e-16
5163.102,4.30e-15,1.34e-16
5167.485,4.64e-15,1.39e-16
5171.868,4.70e-15,1.39e-16
5176.251,6.89e-15,1.61e-16
5180.633,4.19e-15,1.33e-16
5185.016,4.38e-15,1.36e-16
5189.398,3.84e-15,1.28e-16
5193.781,3.70e-15,1.28e-16
5198.163,4.14e-15,1.31e-16
5202.545,3.99e-15,1.29e-16
5206.928,4.71e-15,1.37e-16
5211.31,4.95e-15,1.40e-16
5215.692,5.21e-15,1.42e-16
5220.074,5.34e-15,1.43e-16
5224.456,4.97e-15,1.39e-16
5228.838,4.68e-15,1.36e-16
5233.22,4.47e-15,1.34e-16
5237.601,4.36e-15,1.32e-16
5241.983,4.48e-15,1.34e-16
5246.365,4.41e-15,1.33e-16
5250.746,4.68e-15,1.35e-16
5255.128,4.43e-15,1.33e-16
5259.509,4.49e-15,1.33e-16
5263.891,4.10e-15,1.29e-16
5268.272,4.34e-15,1.31e-16
5272.653,4.25e-15,1.30e-16
5277.034,4.13e-15,1.29e-16
5281.416,5.02e-15,1.38e-16
5285.797,4.43e-15,1.32e-16
5290.178,4.48e-15,1.31e-16
5294.559,4.17e-15,1.30e-16
5298.94,4.77e-15,1.34e-16
5303.32,4.76e-15,1.36e-16
5307.701,4.41e-15,1.31e-16
5312.082,5.18e-15,1.38e-16
5316.463,5.00e-15,1.37e-16
5320.843,4.67e-15,1.34e-16
5325.224,4.86e-15,1.36e-16
5329.604,4.90e-15,1.36e-16
5333.985,4.94e-15,1.36e-16
5338.365,4.87e-15,1.36e-16
5342.746,4.34e-15,1.30e-16
5347.126,4.80e-15,1.36e-16
5351.506,4.56e-15,1.34e-16
5355.886,4.58e-15,1.35e-16
5360.267,4.74e-15,1.36e-16
5364.647,4.83e-15,1.35e-16
5369.027,6.20e-15,1.48e-16
5373.407,4.63e-15,1.34e-16
5377.787,4.67e-15,1.34e-16
5382.167,4.76e-15,1.35e-16
5386.547,5.00e-15,1.36e-16
5390.926,4.44e-15,1.31e-16
5395.306,4.59e-15,1.33e-16
5399.686,4.68e-15,1.34e-16
5404.066,4.30e-15,1.29e-16
5408.445,4.67e-15,1.33e-16
5412.825,4.46e-15,1.32e-16
5417.205,4.24e-15,1.30e-16
5421.584,4.25e-15,1.30e-16
5425.964,4.23e-15,1.29e-16
5430.343,4.54e-15,1.32e-16
5434.722,4.43e-15,1.31e-16
5439.102,4.76e-15,1.34e-16
5443.481,4.68e-15,1.34e-16
5447.86,4.52e-15,1.32e-16
5452.24,4.48e-15,1.34e-16
5456.619,4.79e-15,1.39e-16
5460.998,4.37e-15,1.39e-16
5465.377,4.65e-15,1.40e-16
5469.756,4.27e-15,1.32e-16
5474.135,4.56e-15,1.32e-16
5478.514,4.49e-15,1.30e-16
5482.893,4.07e-15,1.26e-16
5487.272,4.23e-15,1.28e-16
5491.651,4.45e-15,1.29e-16
5496.03,4.26e-15,1.26e-16
5500.409,4.16e-15,1.25e-16
5504.788,4.42e-15,1.28e-16
5509.166,4.39e-15,1.26e-16
5513.545,4.50e-15,1.28e-16
5517.924,4.64e-15,1.30e-16
5522.302,4.52e-15,1.28e-16
5526.681,4.24e-15,1.25e-16
5531.06,4.36e-15,1.25e-16
5535.438,4.68e-15,1.28e-16
5539.817,4.85e-15,1.30e-16
5544.195,4.49e-15,1.26e-16
5548.574,4.52e-15,1.26e-16
5552.952,4.62e-15,1.27e-16
5557.331,4.98e-15,1.30e-16
5561.709,4.56e-15,1.26e-16
5566.087,7.11e-15,1.50e-16
5570.466,4.81e-15,1.29e-16
5574.844,4.42e-15,1.27e-16
5579.222,4.47e-15,1.28e-16
5583.601,4.17e-15,1.24e-16
5587.979,4.25e-15,1.24e-16
5592.357,4.48e-15,1.25e-16
5596.735,4.14e-15,1.21e-16
5601.114,4.23e-15,1.22e-16
5605.492,4.11e-15,1.20e-16
5609.87,4.47e-15,1.25e-16
5614.248,4.12e-15,1.21e-16
5618.626,4.23e-15,1.22e-16
5623.004,4.63e-15,1.25e-16
5627.382,4.37e-15,1.23e-16
5631.76,4.53e-15,1.24e-16
5636.138,4.38e-15,1.23e-16
5640.516,4.40e-15,1.23e-16
5644.894,4.46e-15,1.23e-16
5649.272,4.10e-15,1.20e-16
5653.65,4.01e-15,1.20e-16
5658.028,4.39e-15,1.22e-16
5662.406,4.10e-15,1.20e-16
