wave,flux,std
4002.017,-7.71e-16,1.96e-16
4006.435,-2.33e-16,2.23e-16
4010.854,2.27e-16,2.41e-16
4015.273,-1.43e-16,2.24e-16
4019.691,-1.33e-16,2.21e-16
4024.109,4.73e-17,2.23e-16
4028.527,7.73e-17,2.24e-16
4032.944,-3.27e-17,2.30e-16
4037.362,2.73e-17,2.35e-16
4041.779,-5.13e-16,2.16e-16
4046.196,8.67e-16,2.40e-16
4050.613,-4.93e-16,1.91e-16
4055.03,-7.13e-16,1.74e-16
4059.446,-1.23e-16,1.91e-16
4063.863,-2.43e-16,1.99e-16
4068.279,3.07e-16,2.15e-16
4072.695,7.07e-16,2.43e-16
4077.11,5.47e-16,2.42e-16
4081.526,6.17e-16,2.49e-16
4085.941,6.87e-16,2.44e-16
4090.356,-4.27e-17,2.18e-16
4094.771,7.73e-17,2.14e-16
4099.186,5.37e-16,2.17e-16
4103.6,7.73e-17,1.96e-16
4108.015,-4.23e-16,1.67e-16
4112.429,3.97e-16,1.86e-16
4116.843,-1.53e-16,1.57e-16
4121.257,-6.27e-17,1.54e-16
4125.67,-4.13e-16,1.47e-16
4130.084,-5.83e-16,1.44e-16
4134.497,-5.53e-16,1.56e-16
4138.91,2.97e-16,1.91e-16
4143.323,-9.27e-17,1.77e-16
4147.735,6.47e-16,1.92e-16
4152.148,-3.23e-16,1.48e-16
4156.56,-1.03e-16,1.55e-16
4160.972,-2.27e-17,1.63e-16
4165.384,4.73e-17,1.71e-16
4169.796,-1.13e-16,1.67e-16
4174.208,2.07e-16,1.76e-16
4178.619,-3.63e-16,1.60e-16
4183.03,-4.53e-16,1.47e-16
4187.441,-6.98e-16,1.38e-16
4191.852,-1.23e-16,1.54e-16
4196.263,-3.83e-16,1.51e-16
4200.673,3.17e-16,1.72e-16
4205.083,-7.13e-16,1.43e-16
4209.494,-4.43e-16,1.52e-16
4213.903,-3.93e-16,1.47e-16
4218.313,-3.27e-17,1.57e-16
4222.723,-1.03e-16,1.54e-16
4227.132,6.73e-17,1.59e-16
4231.541,-1.43e-16,1.57e-16
4235.95,2.37e-16,1.70e-16
4240.359,1.97e-16,1.69e-16
4244.768,1.27e-16,1.64e-16
4249.177,-1.43e-16,1.57e-16
4253.585,-3.23e-16,1.49e-16
4257.993,4.37e-16,1.69e-16
4262.401,-4.13e-16,1.46e-16
4266.809,-6.88e-16,1.40e-16
4271.217,-2.73e-16,1.55e-16
4275.624,-2.70e-18,1.61e-16
4280.031,-2.63e-16,1.55e-16
4284.438,-4.63e-16,1.54e-16
4288.845,7.73e-17,1.64e-16
4293.252,-1.03e-16,1.55e-16
4297.659,1.17e-16,1.60e-16
4302.065,-4.63e-16,1.45e-16
4306.472,-6.92e-16,1.49e-16
4310.878,-4.03e-16,1.62e-16
4315.284,-3.83e-16,1.70e-16
4319.69,-2.33e-16,1.74e-16
4324.095,-8.32e-16,1.65e-16
4328.501,7.30e-18,1.89e-16
4332.906,6.27e-16,1.98e-16
4337.311,7.17e-16,2.00e-16
4341.716,7.47e-16,2.02e-16
4346.121,3.67e-16,2.01e-16
4350.525,3.17e-16,2.04e-16
4354.93,-1.53e-16,1.85e-16
4359.334,-4.73e-16,1.58e-16
4363.738,-1.93e-16,1.57e-16
4368.142,3.77e-16,1.68e-16
4372.546,-3.83e-16,1.70e-16
4376.95,5.87e-16,1.96e-16
4381.353,8.87e-16,2.08e-16
4385.757,4.73e-17,1.89e-16
4390.16,-1.33e-16,1.77e-16
4394.563,-1.03e-16,1.74e-16
4398.966,-1.43e-16,1.71e-16
4403.369,4.07e-16,1.87e-16
4407.771,-4.27e-17,1.91e-16
4412.174,-4.13e-16,1.92e-16
4416.576,-1.13e-16,1.95e-16
4420.978,2.73e-17,1.89e-16
4425.38,-1.93e-16,1.84e-16
4429.782,-8.27e-17,1.87e-16
4434.183,-8.27e-17,1.89e-16
4438.585,1.27e-16,2.02e-16
4442.986,-2.73e-16,2.02e-16
4447.387,-3.43e-16,1.98e-16
4451.788,1.87e-16,2.07e-16
4456.189,1.73e-17,2.01e-16
4460.59,6.73e-17,2.04e-16
4464.99,3.37e-16,2.05e-16
4469.391,-9.27e-17,2.01e-16
4473.791,2.73e-17,2.07e-16
4478.191,-4.27e-17,2.03e-16
4482.591,-1.43e-16,2.03e-16
4486.991,-1.53e-16,2.03e-16
4491.391,7.07e-16,2.11e-16
4495.79,7.17e-16,2.10e-16
4500.19,1.37e-16,2.00e-16
4504.589,2.07e-16,2.03e-16
4508.988,9.73e-17,2.02e-16
4513.387,-2.70e-18,1.96e-16
4517.786,-3.27e-17,1.96e-16
4522.184,-1.27e-17,1.95e-16
4526.583,-4.53e-16,1.87e-16
4530.981,-1.83e-16,1.89e-16
4535.379,1.87e-16,1.88e-16
4539.777,4.07e-16,1.92e-16
4544.175,-3.63e-16,1.78e-16
4548.573,-2.03e-16,1.77e-16
4552.971,-2.43e-16,1.75e-16
4557.368,-1.63e-16,1.74e-16
4561.766,-6.27e-17,1.73e-16
4566.163,5.07e-16,1.78e-16
4570.56,8.77e-16,1.80e-16
4574.957,4.07e-16,1.73e-16
4579.354,4.17e-16,1.70e-16
4583.751,5.57e-16,1.69e-16
4588.147,7.73e-17,1.62e-16
4592.544,-9.27e-17,1.55e-16
4596.94,3.87e-16,1.61e-16
4601.336,4.77e-16,1.60e-16
4605.732,2.73e-17,1.52e-16
4610.128,2.47e-16,1.54e-16
4614.524,3.57e-16,1.54e-16
4618.919,1.17e-16,1.47e-16
4623.315,2.57e-16,1.48e-16
4627.71,2.87e-16,1.48e-16
4632.105,5.57e-16,1.53e-16
4636.5,6.57e-16,1.51e-16
4640.895,5.67e-16,1.47e-16
4645.29,9.67e-16,1.53e-16
4649.685,-4.27e-17,1.35e-16
4654.079,1.87e-16,1.39e-16
4658.474,-1.13e-16,1.32e-16
4662.868,5.73e-17,1.33e-16
4667.262,1.87e-16,1.32e-16
4671.656,1.67e-16,1.33e-16
4676.05,2.27e-16,1.32e-16
4680.444,3.37e-16,1.36e-16
4684.838,2.57e-16,1.31e-16
4689.231,8.67e-16,1.40e-16
4693.625,3.77e-16,1.31e-16
4698.018,1.07e-16,1.24e-16
4702.411,4.57e-16,1.31e-16
4706.804,4.17e-16,1.29e-16
4711.197,-3.23e-16,1.14e-16
4715.59,-3.83e-16,1.10e-16
4719.983,6.73e-17,1.20e-16
4724.375,-7.27e-17,1.16e-16
4728.768,1.27e-16,1.20e-16
4733.16,1.73e-17,1.18e-16
4737.552,3.73e-17,1.16e-16
4741.944,3.25e-15,1.63e-16
4746.336,-2.53e-16,1.09e-16
4750.728,-5.93e-16,1.01e-16
4755.12,1.47e-16,1.15e-16
4759.511,3.73e-17,1.11e-16
4763.903,1.27e-16,1.10e-16
4768.294,-9.27e-17,1.07e-16
4772.685,-2.70e-18,1.09e-16
4777.077,-1.33e-16,1.06e-16
4781.468,-6.27e-17,1.07e-16
4785.858,-1.73e-16,1.03e-16
4790.249,-7.27e-17,1.04e-16
4794.64,-4.27e-17,1.04e-16
4799.031,-1.23e-16,1.03e-16
4803.421,-2.13e-16,1.01e-16
4807.811,1.37e-16,1.09e-16
4812.202,-6.27e-17,1.04e-16
4816.592,7.73e-17,1.06e-16
4820.982,1.47e-16,1.08e-16
4825.372,3.97e-16,1.08e-16
4829.761,2.57e-16,1.08e-16
4834.151,-5.27e-17,1.03e-16
4838.541,2.47e-16,1.09e-16
4842.93,5.73e-17,1.12e-16
4847.319,1.67e-16,1.12e-16
4851.709,3.67e-16,1.19e-16
4856.098,2.07e-16,1.14e-16
4860.487,1.77e-16,1.13e-16
4864.876,7.27e-16,1.22e-16
4869.265,7.37e-16,1.20e-16
4873.653,7.57e-16,1.20e-16
4878.042,9.27e-16,1.21e-16
4882.431,2.67e-16,1.08e-16
4886.819,-8.27e-17,1.02e-16
4891.207,1.73e-17,1.02e-16
4895.595,-3.73e-16,9.59e-17
4899.984,1.17e-16,1.05e-16
4904.372,1.17e-16,1.07e-16
4908.759,2.17e-16,1.09e-16
4913.147,3.27e-16,1.11e-16
4917.535,4.77e-16,1.11e-16
4921.923,-1.27e-17,1.02e-16
4926.31,1.37e-16,1.05e-16
4930.698,2.17e-16,1.06e-16
4935.085,-2.63e-16,1.00e-16
