inten,std
21.630,24.317
-8.931,23.252
6.504,23.036
-44.251,23.818
0.552,23.944
3.577,24.583
-22.269,23.614
-29.507,23.614
-40.131,24.846
-4.077,24.886
-22.935,24.069
52.142,25.657
-14.257,23.783
23.540,23.888
-3.988,24.684
-19.338,24.886
-32.295,24.846
-21.505,24.562
-4.788,23.762
-17.589,23.636
-24.793,23.720
-8.917,24.501
-13.293,24.317
-4.056,24.583
37.593,24.644
-23.591,23.230
44.492,24.034
7.588,23.993
-19.587,23.881
1.720,24.440
-1.762,24.522
0.386,24.317
-17.809,23.480
-32.554,22.730
-13.406,23.036
17.337,23.530
38.823,24.460
26.519,24.378
-60.284,24.234
16.721,24.745
-18.852,24.276
-14.501,23.508
35.058,24.055
-23.246,23.551
27.821,24.034
-19.602,24.623
-20.864,24.255
0.060,24.805
-11.108,24.069
12.869,24.399
29.273,24.296
41.725,23.593
22.474,23.593
-4.126,23.316
16.313,23.359
-29.769,24.805
48.957,24.986
-18.719,24.358
39.654,24.926
-21.348,23.881
27.460,24.460
1.091,24.946
-0.260,24.481
4.652,24.603
14.333,23.804
-9.375,23.166
5.410,24.096
-28.448,22.970
49.083,24.406
-0.953,24.276
-3.938,24.664
-29.775,24.623
-24.398,23.860
10.106,24.337
-25.677,24.172
-28.986,24.603
7.621,25.225
24.405,24.603
27.149,25.126
-6.242,23.466
45.297,24.283
-29.453,23.423
38.301,23.762
15.094,23.846
8.595,23.972
53.792,24.303
33.380,24.200
-23.710,24.460
20.756,25.363
41.738,25.910
51.406,24.684
-22.209,24.562
69.945,25.890
49.878,25.599
-36.493,25.026
22.209,25.481
39.502,24.946
30.146,24.785
13.010,24.886
-26.419,24.481
75.500,25.324
-10.789,24.926
-9.613,24.846
42.400,25.146
-11.519,24.603
36.671,24.365
27.088,24.013
41.473,24.344
32.181,24.262
20.304,24.200
52.265,24.426
40.173,24.610
26.308,24.772
3.869,25.252
0.622,23.825
58.915,24.138
7.065,24.406
45.828,24.792
28.147,24.447
29.777,25.013
45.121,24.610
-9.073,23.636
-42.777,24.542
32.831,25.205
55.122,24.986
9.220,25.579
27.405,25.579
-7.562,25.086
46.395,25.363
36.591,25.521
-1.646,24.886
17.117,25.442
34.672,25.026
-23.868,24.846
10.781,24.866
-38.397,24.152
53.955,25.481
83.584,26.140
-29.156,24.501
19.439,25.146
10.217,25.205
58.412,25.006
-2.838,24.906
21.846,25.638
24.645,25.146
66.501,25.521
0.801,24.603
64.364,25.462
-8.226,25.126
36.484,24.986
22.647,25.403
51.450,25.205
4.519,25.225
19.741,25.481
15.469,25.774
53.459,25.774
55.129,25.026
51.756,26.274
40.907,26.140
62.853,25.540
58.595,25.540
-1.410,25.481
31.104,25.344
28.899,26.006
22.660,24.906
15.765,24.906
9.489,25.716
22.238,25.324
87.948,26.501
40.372,25.579
-2.923,25.618
8.757,25.046
55.601,25.871
45.660,25.755
13.939,25.126
69.621,25.527
11.628,24.303
50.950,24.406
63.259,25.429
58.619,25.390
61.557,24.973
35.365,25.013
54.051,24.872
52.253,24.772
-29.519,23.572
84.214,24.671
0.106,24.426
76.584,25.073
-23.530,24.650
-0.000,24.488
95.594,25.212
0.671,24.589
-20.028,24.221
-31.602,23.846
-18.451,24.406
73.229,25.212
-18.051,24.241
73.490,24.691
-1.768,24.283
-38.656,24.671
23.529,24.426
130.498,26.726
69.529,25.696
17.806,25.794
43.877,25.929
76.244,26.044
37.584,25.423
25.392,25.794
-31.039,24.886
74.000,26.217
-10.395,25.755
71.534,25.481
44.891,25.910
35.289,25.560
48.694,26.331
