wave,inten,std
2636.204,26.643,29.461
2642.851,90.270,30.199
2649.491,16.927,29.410
2656.125,70.306,29.410
2662.753,49.853,29.308
2669.375,37.112,29.580
2675.991,9.647,29.478
2682.601,28.588,29.120
2689.205,75.639,29.040
2695.804,1.420,28.518
2702.396,24.850,28.606
2708.982,43.193,28.988
2715.562,58.584,29.748
2722.137,25.551,29.597
2728.705,18.885,28.844
2735.268,92.029,30.132
2741.825,31.204,29.698
2748.375,7.586,29.410
2754.920,75.103,29.832
2761.459,54.812,29.681
2767.992,7.011,29.291
2774.519,36.996,29.546
2781.041,48.241,29.325
2787.556,52.189,29.563
2794.066,53.651,29.529
2800.570,18.381,28.343
2807.068,63.024,29.005
2813.560,59.013,28.676
2820.046,76.919,28.693
2826.527,45.177,28.953
2833.001,47.150,30.016
2839.470,97.497,30.364
2845.934,84.795,30.314
2852.391,93.065,30.446
2858.843,107.961,30.463
2865.288,73.409,29.478
2871.729,53.984,29.546
2878.163,81.192,29.732
2884.592,53.954,29.849
2891.015,54.403,29.832
2897.432,39.227,29.664
2903.843,92.410,30.347
2910.249,11.208,29.291
2916.649,32.453,29.748
2923.043,25.414,29.782
2929.432,73.061,30.215
2935.815,40.637,29.427
2942.193,48.911,29.342
2948.564,45.541,29.427
2954.930,81.578,29.715
2961.291,33.476,28.902
2967.646,55.088,28.518
2973.995,19.406,28.254
2980.338,31.478,28.658
2986.676,63.772,28.798
2993.009,44.639,28.641
2999.335,34.947,28.588
3005.657,20.817,28.588
3011.972,83.111,29.005
3018.282,59.162,28.832
3024.587,99.505,30.166
3030.886,70.928,29.715
3037.179,65.491,29.698
3043.467,66.752,29.949
3049.749,90.689,30.281
3056.026,106.182,29.899
3062.297,102.014,30.033
3068.563,42.497,29.664
3074.823,54.180,29.883
3081.078,75.464,29.899
3087.327,96.008,30.132
3093.571,131.700,30.083
3099.810,66.863,30.446
3106.043,135.720,30.512
3112.270,96.280,30.314
3118.492,70.557,30.215
3124.709,138.577,30.610
3130.920,122.213,30.983
3137.126,194.894,30.805
3143.326,56.690,30.397
3149.521,88.434,30.331
3155.710,144.017,31.032
3161.895,209.239,31.748
3168.073,166.690,31.511
3174.247,209.826,31.984
3180.415,157.099,31.480
3186.577,202.984,32.295
3192.735,264.608,33.045
3198.887,213.629,32.465
3205.034,260.489,33.451
3211.175,266.887,33.540
3217.311,315.945,33.451
3223.442,294.393,34.234
3229.567,371.059,33.999
3235.687,327.679,34.698
3241.802,386.479,34.741
3247.912,429.550,35.637
3254.016,453.502,35.665
3260.115,517.100,36.235
3266.209,425.298,35.930
3272.298,508.260,37.134
3278.381,586.271,37.682
3284.459,557.348,37.549
3290.532,659.567,38.366
3296.600,712.022,39.711
3302.662,720.831,39.433
3308.719,757.513,40.336
3314.771,853.979,40.865
3320.818,934.936,42.201
3326.860,992.414,42.626
3332.897,1070.448,43.577
3338.928,1132.419,44.362
3344.954,1257.915,45.945
3350.976,1269.555,46.368
3356.992,1506.422,48.610
3363.003,1606.397,49.285
3369.008,1811.075,51.390
3375.009,1983.033,52.830
3381.005,2081.202,53.842
3386.995,2299.663,56.089
3392.980,2610.754,58.395
3398.961,2692.174,59.598
3404.936,2951.652,61.343
3410.906,3130.755,62.984
3416.871,3393.551,65.130
3422.831,3907.243,68.717
3428.787,4362.274,72.097
3434.737,4695.941,74.471
3440.682,4910.565,75.743
3446.622,4873.033,75.637
3452.557,5150.403,77.369
3458.487,5810.991,81.461
3464.412,6276.454,84.445
3470.332,7099.130,89.022
3476.247,7633.384,92.244
3482.157,7900.436,93.557
3488.062,8409.406,96.088
3493.962,8885.701,98.377
3499.857,9256.313,100.548
3505.748,9458.161,101.558
3511.633,9625.681,102.499
3517.514,10272.122,105.328
3523.389,10924.499,108.522
3529.260,11494.239,111.085
3535.126,12280.875,114.429
3540.987,13668.329,120.466
3546.843,15261.400,126.878
3552.694,16790.267,132.714
3558.540,18063.152,137.615
3564.381,18229.661,138.137
3570.218,18014.429,137.426
3576.050,17057.809,133.667
3581.877,16503.045,131.780
3587.699,16346.324,131.133
3593.516,16535.332,131.924
3599.329,17052.744,133.877
3605.136,18636.435,139.624
3610.939,21079.671,148.098
3616.737,23924.639,157.432
3622.531,26247.404,164.618
3628.319,27960.398,169.847
3634.103,29503.176,174.267
3639.882,30412.792,176.850
3645.657,31212.435,179.271
3651.426,32773.144,183.396
3657.191,33261.562,184.751
3662.951,33956.078,186.647
3668.707,34356.071,187.694
3674.457,34570.342,188.329
3680.203,33622.558,185.828
3685.945,32091.699,181.587
3691.681,29941.025,175.531
3697.413,27533.003,168.544
3703.141,27137.337,167.266
3708.863,28410.581,171.175
3714.582,31468.228,179.872
3720.295,36666.123,193.716
3726.004,42663.824,208.655
3731.708,48708.793,222.717
3737.407,53588.393,233.360
3743.102,56783.080,240.156
3748.793,57288.914,241.261
3754.478,59762.580,246.201
3760.160,61046.107,248.938
3765.836,62928.637,252.618
3771.508,63288.513,253.397
3777.176,65565.160,257.802
3782.839,67162.276,260.875
3788.497,67807.307,262.113
3794.151,69374.772,265.094
3799.800,71735.223,269.422
3805.445,71949.155,269.852
3811.085,74463.683,274.592
3816.721,74805.033,275.180
3822.352,76174.198,277.588
3827.979,76205.917,277.707
3833.601,77432.199,279.884
3839.219,78086.743,281.039
3844.833,77782.008,280.532
3850.442,76479.113,278.128
3856.046,73821.693,273.346
3861.646,68448.451,263.348
3867.242,59630.300,245.927
3872.833,51057.441,227.838
3878.420,50440.624,226.390
3884.002,57580.375,241.767
3889.580,70703.407,267.444
3895.153,79278.983,283.041
3900.723,85682.933,294.135
3906.287,88263.679,298.450
3911.848,90600.472,302.427
3917.404,91579.339,304.096
3922.956,93018.631,306.374
3928.503,96101.251,311.372
3934.046,96623.027,312.226
3939.585,98385.298,314.991
3945.119,99615.032,316.975
3950.649,100671.165,318.590
3956.175,102407.445,321.366
3961.697,102542.409,321.562
3967.214,102451.080,321.422
3972.727,103780.050,323.455
3978.235,104472.607,324.594
3983.740,106281.209,327.361
3989.240,106618.283,327.825
3994.736,107990.155,329.916
4000.227,109159.460,331.763
4005.715,109584.354,332.421
4011.198,110693.460,334.118
4016.677,111981.651,336.064
4022.152,112736.003,337.142
4027.622,113335.183,338.030
4033.089,114465.241,339.687
4038.551,115169.607,340.758
4044.009,115696.539,341.504
4049.463,115957.787,341.865
4054.912,117602.468,344.308
4060.358,117242.572,343.783
4065.799,118387.383,345.398
4071.236,119192.565,346.624
4076.669,120406.506,348.365
4082.098,119951.911,347.674
4087.523,121683.713,350.230
4092.944,121748.844,350.326
4098.361,123397.534,352.616
4103.773,122927.284,351.962
4109.182,124321.463,353.987
4114.586,124289.005,353.915
4119.986,124766.267,354.560
4125.383,126185.649,356.551
4130.775,125976.479,356.232
4136.163,126147.509,356.525
4141.547,126462.967,357.007
4146.927,125289.937,355.234
4152.303,124525.454,354.219
4157.676,120538.190,348.558
4163.044,110881.443,334.432
4168.408,95316.521,310.379
4173.768,80318.416,285.060
4179.124,75469.279,276.499
4184.476,88322.552,298.829
4189.824,106707.614,328.169
4195.169,119862.057,347.599
4200.509,128106.316,359.306
4205.845,132170.576,364.903
4211.178,135913.588,370.015
4216.506,137413.691,371.981
4221.831,139349.988,374.582
4227.152,138214.372,373.078
4232.468,137896.937,372.702
4237.781,138497.584,373.425
4243.090,139584.451,374.921
4248.395,140601.873,376.307
4253.697,142587.813,378.873
4258.994,141772.123,377.848
4264.288,142339.352,378.574
4269.577,143666.234,380.345
4274.863,143558.836,380.234
4280.145,143028.798,379.479
4285.424,145020.989,382.166
4290.698,145106.113,382.234
4295.969,144517.066,381.416
4301.235,144749.789,381.737
4306.498,143509.279,380.222
4311.758,145011.446,382.186
4317.013,144129.213,381.021
4322.265,145242.073,382.450
4327.513,144525.105,381.544
4332.757,144320.536,381.202
4337.998,143652.470,380.376
4343.234,141228.656,377.148
4348.467,142402.678,378.652
4353.697,142421.777,378.723
4358.922,146646.087,384.290
4364.144,148371.394,386.513
4369.362,147351.520,385.199
4374.577,147886.390,385.790
4379.788,148665.226,386.849
4384.995,148644.738,386.849
4390.198,149176.231,387.476
4395.398,149827.558,388.311
4400.594,149805.939,388.303
4405.787,151341.317,390.273
4410.976,150418.494,389.090
4416.161,151189.167,390.040
4421.343,151211.667,390.097
4426.521,152159.160,391.356
4431.696,151535.126,390.567
4436.866,152344.354,391.574
4442.034,153335.605,392.787
4447.198,154765.869,394.600
4452.358,155686.383,395.786
4457.514,156788.571,397.141
4462.668,156522.932,396.856
4467.817,155443.959,395.508
4472.963,156113.550,396.361
4478.106,157289.360,397.802
4483.245,159314.196,400.363
4488.380,159354.130,400.356
4493.512,160556.565,401.871
4498.640,159975.033,401.110
4503.765,161608.800,403.188
4508.887,162832.037,404.821
4514.005,162559.613,404.463
4519.120,162520.119,404.369
4524.231,161687.102,403.340
4529.338,163862.148,406.014
4534.443,164869.217,407.284
4539.543,167193.663,410.130
4544.641,166325.870,409.068
4549.735,167588.412,410.624
4554.825,168519.541,411.790
4559.912,168768.643,412.034
4564.996,167112.763,410.034
4570.077,168657.140,411.925
4575.154,168823.776,412.102
4580.227,170179.402,413.778
