wave,inten,std
1830.282,0.062,0.026
1834.857,-0.041,0.019
1839.430,0.397,0.042
1844.004,-0.167,0.009
1848.577,0.121,0.030
1853.149,0.000,0.000
1857.721,0.000,0.000
1862.293,0.000,0.000
1866.864,0.000,0.000
1871.434,0.000,0.000
1876.005,0.000,0.000
1880.574,0.000,0.000
1885.144,0.000,0.000
1889.713,0.000,0.000
1894.281,0.000,0.000
1898.849,0.000,0.000
1903.417,0.000,0.000
1907.984,0.000,0.000
1912.551,0.000,0.000
1917.117,0.000,0.000
1921.683,0.000,0.000
1926.249,0.000,0.000
1930.814,0.000,0.000
1935.378,0.000,0.000
1939.942,0.000,0.000
1944.506,0.000,0.000
1949.069,0.000,0.000
1953.632,0.000,0.000
1958.195,0.000,0.000
1962.757,0.043,0.024
1967.318,0.162,0.031
1971.880,0.038,0.027
1976.440,-0.129,0.012
1981.001,0.127,0.032
1985.561,-0.066,0.021
1990.120,0.113,0.031
1994.679,-0.047,0.020
1999.238,0.054,0.029
2003.796,-0.113,0.016
2008.354,-0.065,0.021
2012.911,-0.006,0.024
2017.468,-0.014,0.025
2022.025,-0.103,0.013
2026.581,-0.019,0.022
2031.137,-0.018,0.024
2035.692,0.046,0.027
2040.247,0.011,0.023
2044.801,-0.023,0.023
2049.355,0.022,0.026
2053.909,-0.064,0.017
2058.462,0.061,0.028
2063.015,0.000,0.000
2067.567,0.000,0.000
2072.119,0.000,0.000
2076.671,0.000,0.000
2081.222,0.000,0.000
2085.773,0.000,0.000
2090.323,0.000,0.000
2094.873,0.000,0.000
2099.422,0.000,0.000
2103.971,0.000,0.000
2108.520,0.000,0.000
2113.068,0.000,0.000
2117.616,0.000,0.000
2122.163,0.000,0.000
2126.710,0.000,0.000
2131.257,0.000,0.000
2135.803,0.064,0.028
2140.349,-0.071,0.018
2144.894,0.009,0.025
2149.439,-0.026,0.023
2153.984,0.004,0.023
2158.528,-0.104,0.020
2163.072,0.026,0.027
2167.615,0.040,0.024
2172.158,-0.055,0.020
2176.701,-0.052,0.019
2181.243,0.067,0.028
2185.785,0.001,0.025
2190.326,0.073,0.029
2194.867,0.000,0.000
2199.407,0.000,0.000
2203.948,0.000,0.000
2208.487,0.000,0.000
