wave,flux,std
4002.017,1.13e-15,2.02e-16
4006.435,3.51e-16,1.67e-16
4010.854,1.40e-15,2.25e-16
4015.273,1.42e-15,2.19e-16
4019.691,9.15e-16,1.95e-16
4024.109,1.23e-15,2.03e-16
4028.527,1.85e-15,2.29e-16
4032.944,9.58e-16,2.05e-16
4037.362,1.83e-15,2.40e-16
4041.779,2.07e-15,2.51e-16
4046.196,1.81e-15,2.11e-16
4050.613,1.16e-15,1.91e-16
4055.03,1.07e-15,1.79e-16
4059.446,1.67e-15,1.96e-16
4063.863,8.94e-16,1.77e-16
4068.279,1.51e-15,2.01e-16
4072.695,1.28e-15,1.99e-16
4077.11,4.08e-16,1.66e-16
4081.526,2.10e-15,2.44e-16
4085.941,1.95e-15,2.29e-16
4090.356,9.20e-16,1.89e-16
4094.771,1.05e-15,1.86e-16
4099.186,1.44e-15,1.90e-16
4103.6,2.00e-15,2.04e-16
4108.015,7.03e-16,1.44e-16
4112.429,1.08e-15,1.54e-16
4116.843,1.29e-15,1.47e-16
4121.257,1.06e-15,1.36e-16
4125.67,1.48e-15,1.56e-16
4130.084,1.46e-15,1.57e-16
4134.497,1.28e-15,1.63e-16
4138.91,1.13e-15,1.62e-16
4143.323,1.00e-15,1.56e-16
4147.735,9.59e-16,1.49e-16
4152.148,1.25e-15,1.44e-16
4156.56,1.52e-15,1.52e-16
4160.972,5.66e-16,1.23e-16
4165.384,1.66e-15,1.68e-16
4169.796,9.08e-16,1.44e-16
4174.208,1.52e-15,1.63e-16
4178.619,1.52e-15,1.66e-16
4183.03,6.99e-16,1.29e-16
4187.441,7.12e-16,1.30e-16
4191.852,1.73e-15,1.60e-16
4196.263,9.23e-16,1.40e-16
4200.673,1.32e-15,1.52e-16
4205.083,1.15e-15,1.49e-16
4209.494,1.20e-15,1.49e-16
4213.903,8.60e-16,1.33e-16
4218.313,1.41e-15,1.51e-16
4222.723,1.94e-15,1.65e-16
4227.132,1.42e-15,1.51e-16
4231.541,1.32e-15,1.52e-16
4235.95,7.89e-16,1.36e-16
4240.359,1.43e-15,1.56e-16
4244.768,1.11e-15,1.43e-16
4249.177,1.32e-15,1.51e-16
4253.585,1.09e-15,1.41e-16
4257.993,1.51e-15,1.54e-16
4262.401,1.46e-15,1.51e-16
4266.809,1.24e-15,1.48e-16
4271.217,1.31e-15,1.53e-16
4275.624,1.69e-15,1.61e-16
4280.031,1.05e-15,1.45e-16
4284.438,8.98e-16,1.44e-16
4288.845,1.34e-15,1.52e-16
4293.252,1.14e-15,1.44e-16
4297.659,8.02e-16,1.36e-16
4302.065,6.91e-16,1.31e-16
4306.472,1.18e-15,1.53e-16
4310.878,1.20e-15,1.60e-16
4315.284,9.54e-16,1.63e-16
4319.69,1.64e-15,1.79e-16
4324.095,1.18e-15,1.75e-16
4328.501,1.68e-15,1.89e-16
4332.906,1.96e-15,1.91e-16
4337.311,1.70e-15,1.86e-16
4341.716,1.37e-15,1.81e-16
4346.121,8.59e-16,1.79e-16
4350.525,1.28e-15,1.92e-16
4354.93,1.41e-15,1.83e-16
4359.334,1.33e-15,1.62e-16
4363.738,1.52e-15,1.59e-16
4368.142,1.30e-15,1.53e-16
4372.546,1.20e-15,1.68e-16
4376.95,1.45e-15,1.81e-16
4381.353,1.92e-15,1.97e-16
4385.757,1.22e-15,1.79e-16
4390.16,9.96e-16,1.67e-16
4394.563,9.59e-16,1.63e-16
4398.966,1.50e-15,1.71e-16
4403.369,1.54e-15,1.78e-16
4407.771,1.35e-15,1.85e-16
4412.174,1.16e-15,1.90e-16
4416.576,1.36e-15,1.91e-16
4420.978,1.81e-15,1.91e-16
4425.38,1.21e-15,1.78e-16
4429.782,1.34e-15,1.81e-16
4434.183,1.33e-15,1.84e-16
4438.585,1.34e-15,1.94e-16
4442.986,1.71e-15,2.08e-16
4447.387,1.47e-15,2.00e-16
4451.788,1.50e-15,2.01e-16
4456.189,1.32e-15,1.96e-16
4460.59,1.21e-15,1.95e-16
4464.99,1.70e-15,2.01e-16
4469.391,1.53e-15,2.01e-16
4473.791,7.12e-16,1.93e-16
4478.191,8.75e-16,1.92e-16
4482.591,1.20e-15,1.97e-16
4486.991,9.79e-16,1.96e-16
4491.391,1.68e-15,2.01e-16
4495.79,1.96e-15,2.03e-16
4500.19,2.06e-15,2.03e-16
4504.589,1.85e-15,2.03e-16
4508.988,1.13e-15,1.92e-16
4513.387,1.64e-15,1.96e-16
4517.786,1.74e-15,1.97e-16
4522.184,1.41e-15,1.91e-16
4526.583,1.51e-15,1.92e-16
4530.981,1.59e-15,1.91e-16
4535.379,2.03e-15,1.92e-16
4539.777,2.04e-15,1.91e-16
4544.175,1.40e-15,1.79e-16
4548.573,1.16e-15,1.72e-16
4552.971,1.44e-15,1.75e-16
4557.368,1.28e-15,1.69e-16
4561.766,1.70e-15,1.75e-16
4566.163,1.83e-15,1.74e-16
4570.56,1.78e-15,1.68e-16
4574.957,1.90e-15,1.70e-16
4579.354,1.79e-15,1.66e-16
4583.751,1.39e-15,1.57e-16
4588.147,1.22e-15,1.53e-16
4592.544,1.46e-15,1.53e-16
4596.94,1.18e-15,1.48e-16
4601.336,1.79e-15,1.54e-16
4605.732,1.76e-15,1.53e-16
4610.128,1.25e-15,1.42e-16
4614.524,1.25e-15,1.41e-16
4618.919,1.74e-15,1.46e-16
4623.315,2.05e-15,1.51e-16
4627.71,1.54e-15,1.41e-16
4632.105,1.79e-15,1.46e-16
4636.5,1.67e-15,1.39e-16
4640.895,1.84e-15,1.41e-16
4645.29,1.57e-15,1.36e-16
4649.685,1.81e-15,1.38e-16
4654.079,1.45e-15,1.32e-16
4658.474,1.68e-15,1.35e-16
4662.868,1.44e-15,1.29e-16
4667.262,1.54e-15,1.27e-16
4671.656,1.45e-15,1.26e-16
4676.05,1.41e-15,1.24e-16
4680.444,1.22e-15,1.21e-16
4684.838,1.68e-15,1.27e-16
4689.231,1.42e-15,1.19e-16
4693.625,1.62e-15,1.23e-16
4698.018,1.70e-15,1.22e-16
4702.411,1.37e-15,1.16e-16
4706.804,1.49e-15,1.18e-16
4711.197,1.34e-15,1.14e-16
4715.59,1.55e-15,1.16e-16
4719.983,1.62e-15,1.19e-16
4724.375,1.50e-15,1.14e-16
4728.768,1.68e-15,1.18e-16
4733.16,1.18e-15,1.08e-16
4737.552,1.54e-15,1.14e-16
4741.944,1.08e-15,1.03e-16
4746.336,1.52e-15,1.10e-16
4750.728,9.72e-16,9.82e-17
4755.12,1.29e-15,1.05e-16
4759.511,1.70e-15,1.09e-16
4763.903,1.42e-15,1.03e-16
4768.294,1.48e-15,1.05e-16
4772.685,1.46e-15,1.06e-16
4777.077,1.41e-15,1.03e-16
4781.468,1.61e-15,1.07e-16
4785.858,1.45e-15,1.03e-16
4790.249,1.57e-15,1.04e-16
4794.64,1.70e-15,1.06e-16
4799.031,1.59e-15,1.03e-16
4803.421,1.40e-15,9.98e-17
4807.811,1.46e-15,1.02e-16
4812.202,1.52e-15,1.02e-16
4816.592,1.78e-15,1.08e-16
4820.982,1.50e-15,1.02e-16
4825.372,1.62e-15,1.00e-16
4829.761,1.83e-15,1.06e-16
4834.151,1.45e-15,9.99e-17
4838.541,1.65e-15,1.04e-16
4842.93,1.39e-15,1.06e-16
4847.319,1.68e-15,1.08e-16
4851.709,1.11e-15,1.00e-16
4856.098,1.69e-15,1.12e-16
4860.487,1.41e-15,1.05e-16
4864.876,2.04e-15,1.16e-16
4869.265,1.88e-15,1.10e-16
4873.653,1.83e-15,1.10e-16
4878.042,1.54e-15,1.03e-16
4882.431,1.65e-15,1.04e-16
4886.819,1.28e-15,9.50e-17
4891.207,1.17e-15,9.20e-17
4895.595,1.73e-15,1.03e-16
4899.984,1.47e-15,9.91e-17
4904.372,1.54e-15,1.04e-16
4908.759,1.75e-15,1.06e-16
