wave,flux,std
4002.017,-1.25e-15,2.30e-16
4006.435,-3.29e-17,2.79e-16
4010.854,-1.17e-15,2.41e-16
4015.273,-1.21e-15,2.35e-16
4019.691,1.03e-15,3.03e-16
4024.109,-1.41e-15,2.18e-16
4028.527,-3.33e-16,2.53e-16
4032.944,-1.00e-15,2.44e-16
4037.362,-1.03e-16,2.75e-16
4041.779,3.71e-17,2.81e-16
4046.196,1.67e-16,2.60e-16
4050.613,-1.01e-15,2.23e-16
4055.03,-1.11e-15,2.09e-16
4059.446,-6.43e-16,2.17e-16
4063.863,-1.16e-15,2.12e-16
4068.279,4.17e-16,2.65e-16
4072.695,2.67e-16,2.67e-16
4077.11,1.03e-15,2.97e-16
4081.526,1.20e-15,3.09e-16
4085.941,4.17e-16,2.79e-16
4090.356,6.57e-16,2.81e-16
4094.771,2.67e-16,2.61e-16
4099.186,8.27e-16,2.66e-16
4103.6,3.47e-16,2.46e-16
4108.015,-1.83e-16,2.17e-16
4112.429,-6.83e-16,1.93e-16
4116.843,3.77e-16,2.13e-16
4121.257,-7.03e-16,1.76e-16
4125.67,-8.33e-16,1.78e-16
4130.084,-6.53e-16,1.86e-16
4134.497,-5.53e-16,1.98e-16
4138.91,-1.63e-16,2.16e-16
4143.323,-1.23e-16,2.16e-16
4147.735,-3.43e-16,2.02e-16
4152.148,-3.53e-16,1.88e-16
4156.56,-1.09e-15,1.67e-16
4160.972,-8.33e-16,1.78e-16
4165.384,-9.03e-16,1.84e-16
4169.796,-8.23e-16,1.87e-16
4174.208,-2.13e-16,2.02e-16
4178.619,-5.73e-16,1.91e-16
4183.03,-9.33e-16,1.73e-16
4187.441,-3.23e-16,1.89e-16
4191.852,-1.11e-15,1.65e-16
4196.263,-7.33e-16,1.80e-16
4200.673,-4.33e-16,1.87e-16
4205.083,-1.43e-16,1.96e-16
4209.494,-6.33e-16,1.84e-16
4213.903,-6.73e-16,1.78e-16
4218.313,-3.43e-16,1.84e-16
4222.723,-1.29e-17,1.89e-16
4227.132,-4.53e-16,1.81e-16
4231.541,-9.29e-17,1.92e-16
4235.95,1.47e-16,2.00e-16
4240.359,-4.63e-16,1.85e-16
4244.768,-6.63e-16,1.77e-16
4249.177,-7.43e-16,1.74e-16
4253.585,-4.93e-16,1.79e-16
4257.993,-3.93e-16,1.81e-16
4262.401,1.71e-17,1.88e-16
4266.809,-1.43e-16,1.86e-16
4271.217,1.57e-16,1.94e-16
4275.624,3.71e-17,1.93e-16
4280.031,-2.23e-16,1.87e-16
4284.438,-1.63e-16,1.93e-16
4288.845,-1.03e-16,1.88e-16
4293.252,-1.83e-16,1.83e-16
4297.659,-6.13e-16,1.74e-16
4302.065,-3.63e-16,1.78e-16
4306.472,-6.93e-16,1.78e-16
4310.878,-6.23e-16,1.86e-16
4315.284,1.17e-16,2.10e-16
4319.69,2.37e-16,2.14e-16
4324.095,-1.29e-17,2.13e-16
4328.501,2.87e-16,2.22e-16
4332.906,1.26e-15,2.36e-16
4337.311,4.77e-16,2.22e-16
4341.716,7.87e-16,2.28e-16
4346.121,1.42e-15,2.41e-16
4350.525,1.17e-15,2.38e-16
4354.93,1.44e-15,2.31e-16
4359.334,4.57e-16,1.97e-16
4363.738,-5.29e-17,1.84e-16
4368.142,3.47e-16,1.90e-16
4372.546,4.37e-16,2.08e-16
4376.95,1.51e-15,2.35e-16
4381.353,7.47e-16,2.27e-16
4385.757,7.71e-17,2.12e-16
4390.16,3.67e-16,2.08e-16
4394.563,-1.08e-15,1.79e-16
4398.966,-2.53e-16,1.91e-16
4403.369,7.13e-18,2.02e-16
4407.771,2.47e-16,2.17e-16
4412.174,1.97e-16,2.23e-16
4416.576,-4.43e-16,2.11e-16
4420.978,3.27e-16,2.16e-16
4425.38,-2.33e-16,2.04e-16
4429.782,-6.53e-16,1.97e-16
4434.183,3.07e-16,2.15e-16
4438.585,4.27e-16,2.26e-16
4442.986,-4.73e-16,2.19e-16
4447.387,2.87e-16,2.28e-16
4451.788,2.87e-16,2.27e-16
4456.189,5.07e-16,2.27e-16
4460.59,1.37e-16,2.22e-16
4464.99,3.37e-16,2.24e-16
4469.391,1.97e-16,2.24e-16
4473.791,2.07e-16,2.29e-16
4478.191,4.97e-16,2.30e-16
4482.591,4.71e-17,2.24e-16
4486.991,3.87e-16,2.28e-16
4491.391,6.07e-16,2.27e-16
4495.79,9.37e-16,2.29e-16
4500.19,1.27e-16,2.19e-16
4504.589,1.17e-16,2.20e-16
4508.988,-2.33e-16,2.16e-16
4513.387,5.27e-16,2.22e-16
4517.786,1.27e-16,2.16e-16
4522.184,9.97e-16,2.27e-16
4526.583,7.37e-16,2.21e-16
4530.981,5.17e-16,2.16e-16
4535.379,8.57e-16,2.17e-16
4539.777,3.67e-16,2.09e-16
4544.175,9.67e-16,2.16e-16
4548.573,4.37e-16,2.04e-16
4552.971,7.13e-18,1.98e-16
4557.368,2.07e-16,1.99e-16
4561.766,7.37e-16,2.04e-16
4566.163,1.17e-16,1.91e-16
4570.56,6.07e-16,1.95e-16
4574.957,7.87e-16,1.97e-16
4579.354,6.17e-16,1.92e-16
4583.751,7.77e-16,1.92e-16
4588.147,1.08e-15,1.96e-16
4592.544,1.07e-16,1.78e-16
4596.94,3.67e-16,1.81e-16
4601.336,4.07e-16,1.78e-16
4605.732,2.67e-16,1.76e-16
4610.128,5.77e-16,1.78e-16
4614.524,6.07e-16,1.78e-16
4618.919,1.18e-15,1.83e-16
4623.315,3.77e-16,1.70e-16
4627.71,1.30e-15,1.82e-16
4632.105,8.47e-16,1.76e-16
4636.5,1.03e-15,1.75e-16
4640.895,1.02e-15,1.74e-16
4645.29,8.77e-16,1.71e-16
4649.685,5.47e-16,1.65e-16
4654.079,5.07e-16,1.64e-16
4658.474,8.77e-16,1.68e-16
4662.868,1.04e-15,1.69e-16
4667.262,8.67e-16,1.64e-16
4671.656,6.87e-16,1.62e-16
4676.05,8.27e-16,1.62e-16
4680.444,1.25e-15,1.68e-16
4684.838,1.22e-15,1.66e-16
4689.231,1.75e-15,1.72e-16
4693.625,1.09e-15,1.62e-16
4698.018,1.13e-15,1.61e-16
4702.411,1.01e-15,1.59e-16
4706.804,5.67e-16,1.51e-16
4711.197,6.57e-16,1.52e-16
4715.59,6.71e-17,1.42e-16
4719.983,-1.23e-16,1.40e-16
4724.375,1.71e-17,1.40e-16
4728.768,2.57e-16,1.43e-16
4733.16,3.07e-16,1.44e-16
4737.552,4.77e-16,1.45e-16
4741.944,4.87e-16,1.43e-16
4746.336,2.27e-16,1.39e-16
4750.728,1.77e-16,1.37e-16
4755.12,3.97e-16,1.41e-16
4759.511,2.17e-16,1.35e-16
4763.903,2.27e-16,1.35e-16
4768.294,3.57e-16,1.37e-16
4772.685,-1.03e-16,1.30e-16
4777.077,3.87e-16,1.36e-16
4781.468,1.47e-16,1.34e-16
4785.858,5.07e-16,1.37e-16
4790.249,4.71e-17,1.29e-16
4794.64,-2.53e-16,1.23e-16
4799.031,-7.29e-17,1.27e-16
4803.421,2.87e-16,1.32e-16
4807.811,4.37e-16,1.36e-16
4812.202,5.37e-16,1.36e-16
4816.592,1.07e-16,1.30e-16
4820.982,1.87e-16,1.30e-16
4825.372,7.17e-16,1.34e-16
4829.761,1.67e-16,1.27e-16
4834.151,5.17e-16,1.34e-16
4838.541,4.47e-16,1.34e-16
4842.93,3.77e-16,1.39e-16
4847.319,6.27e-16,1.40e-16
4851.709,1.05e-15,1.49e-16
4856.098,1.18e-15,1.50e-16
4860.487,1.67e-15,1.56e-16
4864.876,2.39e-15,1.64e-16
4869.265,2.80e-15,1.66e-16
4873.653,3.01e-15,1.68e-16
4878.042,2.89e-15,1.65e-16
4882.431,2.55e-15,1.59e-16
4886.819,1.80e-15,1.48e-16
4891.207,1.43e-15,1.42e-16
4895.595,5.97e-16,1.32e-16
4899.984,5.17e-16,1.32e-16
4904.372,7.67e-16,1.38e-16
4908.759,8.17e-16,1.39e-16
4913.147,6.07e-16,1.35e-16
4917.535,5.27e-16,1.32e-16
4921.923,4.37e-16,1.30e-16
4926.31,6.71e-17,1.24e-16
4930.698,4.57e-16,1.30e-16
4935.085,2.47e-16,1.30e-16
4939.472,2.27e-16,1.29e-16
4943.859,1.05e-15,1.39e-16
4948.246,1.44e-15,1.44e-16
4952.633,2.27e-15,1.53e-16
4957.02,3.24e-15,1.64e-16
4961.407,5.91e-15,1.90e-16
4965.793,1.26e-14,2.44e-16
4970.18,1.62e-14,2.70e-16
4974.566,1.86e-14,2.84e-16
4978.953,1.56e-14,2.64e-16
4983.339,1.39e-14,2.53e-16
4987.725,6.53e-15,1.95e-16
4992.111,4.38e-15,1.75e-16
4996.497,4.79e-15,1.79e-16
5000.883,7.60e-15,2.02e-16
5005.269,1.43e-14,2.53e-16
5009.655,2.20e-14,3.00e-16
5014.04,3.31e-14,3.57e-16
5018.426,4.55e-14,4.11e-16
5022.811,4.93e-14,4.25e-16
5027.197,4.35e-14,4.01e-16
5031.582,3.21e-14,3.49e-16
5035.967,2.23e-14,2.98e-16
5040.352,1.28e-14,2.39e-16
5044.737,4.86e-15,1.76e-16
5049.122,2.42e-15,1.51e-16
5053.507,1.02e-15,1.33e-16
5057.892,6.47e-16,1.30e-16
5062.277,7.67e-16,1.31e-16
5066.661,2.67e-16,1.25e-16
5071.046,1.37e-16,1.24e-16
5075.43,5.27e-16,1.29e-16
5079.814,5.87e-16,1.29e-16
5084.199,3.57e-16,1.27e-16
5088.583,5.27e-16,1.29e-16
5092.967,-3.83e-16,1.17e-16
5097.351,-2.93e-16,1.17e-16
5101.735,5.77e-16,1.29e-16
5106.119,-4.23e-16,1.14e-16
5110.503,5.07e-16,1.26e-16
5114.886,-1.53e-16,1.18e-16
5119.27,-2.73e-16,1.16e-16
5123.654,-2.03e-16,1.18e-16
5128.037,-1.29e-17,1.20e-16
5132.421,-4.83e-16,1.13e-16
5136.804,-7.29e-17,1.18e-16
5141.187,-3.23e-16,1.15e-16
5145.57,-5.63e-16,1.13e-16
5149.954,-3.43e-16,1.16e-16
5154.337,-2.23e-16,1.17e-16
5158.72,-1.63e-16,1.17e-16
5163.102,5.37e-16,1.25e-16
5167.485,-1.33e-16,1.18e-16
5171.868,-3.43e-16,1.14e-16
5176.251,6.71e-17,1.19e-16
5180.633,-2.13e-16,1.15e-16
5185.016,-3.83e-16,1.14e-16
5189.398,-6.13e-16,1.10e-16
5193.781,-5.29e-17,1.18e-16
5198.163,-1.73e-16,1.15e-16
5202.545,-2.87e-18,1.17e-16
5206.928,-1.29e-17,1.18e-16
5211.31,-2.87e-18,1.18e-16
5215.692,2.47e-16,1.20e-16
5220.074,-3.29e-17,1.17e-16
5224.456,3.47e-16,1.20e-16
5228.838,2.47e-16,1.19e-16
5233.22,-4.29e-17,1.16e-16
5237.601,-2.87e-18,1.17e-16
5241.983,-8.29e-17,1.15e-16
5246.365,-2.13e-16,1.14e-16
5250.746,-1.03e-16,1.15e-16
5255.128,-4.29e-17,1.16e-16
5259.509,8.71e-17,1.17e-16
5263.891,1.37e-16,1.18e-16
5268.272,-1.23e-16,1.14e-16
5272.653,2.57e-16,1.19e-16
5277.034,-4.29e-17,1.15e-16
5281.416,-1.43e-16,1.13e-16
5285.797,-4.43e-16,1.10e-16
5290.178,1.27e-16,1.15e-16
5294.559,-3.63e-16,1.11e-16
5298.94,-8.29e-17,1.14e-16
5303.32,2.71e-17,1.16e-16
5307.701,6.47e-16,1.23e-16
5312.082,5.47e-16,1.20e-16
5316.463,1.17e-16,1.16e-16
5320.843,7.77e-16,1.24e-16
5325.224,2.47e-16,1.18e-16
5329.604,3.07e-16,1.19e-16
5333.985,2.77e-16,1.18e-16
5338.365,4.37e-16,1.20e-16
5342.746,2.67e-16,1.18e-16
5347.126,-1.23e-16,1.15e-16
5351.506,4.37e-16,1.22e-16
5355.886,-1.03e-16,1.16e-16
5360.267,1.67e-16,1.19e-16
5364.647,2.47e-16,1.19e-16
5369.027,1.07e-16,1.16e-16
5373.407,3.77e-16,1.20e-16
5377.787,5.17e-16,1.22e-16
5382.167,3.17e-16,1.20e-16
5386.547,3.47e-16,1.19e-16
5390.926,-1.29e-17,1.16e-16
5395.306,-2.29e-17,1.15e-16
