"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,-0.002,,,-3.7500E-5,,,,,,,,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,-0.003,,,-7.5000E-5,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,,0.000,0.000,,,0.0000,,
0.050,0.000,-0.016,,0.0000,-3.750E-4,,0.050,0.000,0.000,,0.0000,0.000,,0.050,-0.022,-0.393,,-5.2500E-4,-0.009,,,,,,,,,0.050,0.000,0.000,,0.0000,0.000,,0.050,-0.025,-0.298,,-6.0000E-4,-0.007,,0.050,0.000,0.031,,0.0000,7.500E-4,,0.050,0.003,0.141,,7.5000E-5,0.003,,0.050,-0.055,-1.555,,-0.0013,-0.037,,0.050,0.000,-0.063,,0.0000,-0.002,,0.050,-0.030,-1.319,,-7.1250E-4,-0.032,,0.050,-0.011,-0.220,,-2.6250E-4,-0.005,
0.100,-0.002,-0.058,-1.047,-3.7500E-5,-0.001,-0.025,0.100,0.000,-0.037,-0.785,0.0000,-8.750E-4,-0.019,0.100,-0.041,-0.319,1.676,-9.7500E-4,-0.008,0.040,,,,,,,,0.100,0.000,-0.016,-0.314,0.0000,-3.750E-4,-0.008,0.100,-0.030,-0.026,3.875,-7.1250E-4,-6.250E-4,0.093,0.100,0.003,0.147,2.723,7.5000E-5,0.003,0.065,0.100,0.014,0.278,2.618,3.3750E-4,0.007,0.062,0.100,-0.159,-2.241,-10.734,-0.0038,-0.054,-0.256,0.100,-0.006,-0.293,-5.184,-1.5000E-4,-0.007,-0.124,0.100,-0.132,-1.864,-10.210,-0.0032,-0.044,-0.244,0.100,-0.022,-0.220,0.157,-5.2500E-4,-0.005,0.004
0.150,-0.005,-0.120,-1.431,-1.1250E-4,-0.003,-0.034,0.150,-0.003,-0.079,-0.890,-7.5000E-5,-0.002,-0.021,0.150,-0.055,-0.225,2.286,-0.0013,-0.005,0.055,,,,,,,,0.150,-0.002,-0.031,-0.122,-3.7500E-5,-7.500E-4,-0.003,0.150,-0.022,0.089,-1.169,-5.2500E-4,0.002,-0.028,0.150,0.013,0.304,3.875,3.0000E-4,0.007,0.093,0.150,0.031,0.403,1.798,7.5000E-4,0.010,0.043,0.150,-0.294,-2.628,-2.880,-0.0070,-0.063,-0.069,0.150,-0.025,-0.581,-5.899,-6.0000E-4,-0.014,-0.141,0.150,-0.242,-2.340,-15.045,-0.0058,-0.056,-0.359,0.150,-0.033,-0.204,0.628,-7.8750E-4,-0.005,0.015
0.200,-0.013,-0.204,-1.710,-3.0000E-4,-0.005,-0.041,0.200,-0.008,-0.126,-0.995,-1.8750E-4,-0.003,-0.024,0.200,-0.064,-0.094,2.827,-0.0015,-0.002,0.067,,,,,,,,0.200,-0.003,-0.037,0.227,-7.5000E-5,-8.750E-4,0.005,0.200,-0.011,-0.105,-6.266,-2.6250E-4,-0.002,-0.150,0.200,0.031,0.529,4.939,7.5000E-4,0.013,0.118,0.200,0.055,0.487,0.279,0.0013,0.012,0.007,0.200,-0.437,-2.571,5.079,-0.0104,-0.061,0.121,0.200,-0.063,-0.911,-5.882,-0.0015,-0.022,-0.140,0.200,-0.347,-3.115,-21.712,-0.0083,-0.074,-0.518,0.200,-0.044,-0.162,1.169,-0.0011,-0.004,0.028
0.250,-0.025,-0.298,-1.833,-6.0000E-4,-0.007,-0.044,0.250,-0.016,-0.178,-1.082,-3.7500E-4,-0.004,-0.026,0.250,-0.066,0.068,3.089,-0.0016,0.002,0.074,,,,,,,,0.250,-0.006,-0.016,0.733,-1.5000E-4,-3.750E-4,0.017,0.250,-0.017,-0.571,-11.100,-4.1250E-4,-0.014,-0.265,0.250,0.063,0.812,5.515,0.0015,0.019,0.132,0.250,0.083,0.471,-2.164,0.0020,0.011,-0.052,0.250,-0.565,-2.089,12.479,-0.0135,-0.050,0.298,0.250,-0.118,-1.215,-4.712,-0.0028,-0.029,-0.113,0.250,-0.517,-4.581,-25.360,-0.0123,-0.109,-0.605,0.250,-0.050,-0.089,1.815,-0.0012,-0.002,0.043
0.300,-0.042,-0.393,-1.780,-0.0010,-0.009,-0.042,0.300,-0.025,-0.236,-1.100,-6.0000E-4,-0.006,-0.026,0.300,-0.058,0.236,2.880,-0.0014,0.006,0.069,,,,,,,,0.300,-0.006,0.037,1.274,-1.5000E-4,8.750E-4,0.030,0.300,-0.066,-1.246,-14.643,-0.0016,-0.030,-0.350,0.300,0.112,1.121,3.438,0.0027,0.027,0.082,0.300,0.108,0.293,-5.061,0.0026,0.007,-0.121,0.300,-0.658,-1.257,17.942,-0.0157,-0.030,0.428,0.300,-0.187,-1.424,-2.286,-0.0045,-0.034,-0.055,0.300,-0.792,-6.137,-19.600,-0.0189,-0.146,-0.468,0.300,-0.053,0.016,2.496,-0.0013,3.750E-4,0.060
0.350,-0.064,-0.482,-1.553,-0.0015,-0.011,-0.037,0.350,-0.039,-0.293,-0.977,-9.3750E-4,-0.007,-0.023,0.350,-0.041,0.372,2.286,-9.7500E-4,0.009,0.055,,,,,,,,0.350,-0.003,0.115,1.780,-7.5000E-5,0.003,0.042,0.350,-0.138,-2.100,-16.127,-0.0033,-0.050,-0.385,0.350,0.176,1.367,-3.683,0.0042,0.033,-0.088,0.350,0.119,-0.052,-7.610,0.0029,-0.001,-0.182,0.350,-0.699,-0.199,20.682,-0.0167,-0.005,0.494,0.350,-0.265,-1.482,1.047,-0.0063,-0.035,0.025,0.350,-1.172,-6.927,-5.637,-0.0280,-0.165,-0.135,0.350,-0.050,0.162,3.019,-0.0012,0.004,0.072
0.400,-0.091,-0.555,-1.152,-0.0022,-0.013,-0.028,0.400,-0.055,-0.340,-0.698,-0.0013,-0.008,-0.017,0.400,-0.019,0.466,1.518,-4.5000E-4,0.011,0.036,,,,,,,,0.400,0.005,0.215,2.269,1.1250E-4,0.005,0.054,0.400,-0.264,-2.969,-14.800,-0.0063,-0.071,-0.353,0.400,0.254,1.005,-14.486,0.0061,0.024,-0.346,0.400,0.107,-0.508,-9.180,0.0026,-0.012,-0.219,0.400,-0.680,0.922,18.274,-0.0162,0.022,0.436,0.400,-0.342,-1.330,4.608,-0.0082,-0.032,0.110,0.400,-1.533,-6.650,8.029,-0.0366,-0.159,0.192,0.400,-0.039,0.335,3.177,-9.3750E-4,0.008,0.076
0.450,-0.121,-0.602,-0.611,-0.0029,-0.014,-0.015,0.450,-0.074,-0.367,-0.332,-0.0018,-0.009,-0.008,0.450,0.006,0.524,0.663,1.5000E-4,0.013,0.016,,,,,,,,0.450,0.017,0.340,2.723,4.1250E-4,0.008,0.065,0.450,-0.449,-3.686,-10.751,-0.0107,-0.088,-0.257,0.450,0.330,-0.178,-22.707,0.0079,-0.004,-0.542,0.450,0.069,-1.011,-9.564,0.0017,-0.024,-0.228,0.450,-0.603,1.937,6.999,-0.0144,0.046,0.167,0.450,-0.407,-0.995,7.383,-0.0097,-0.024,0.176,0.450,-1.854,-5.760,14.870,-0.0442,-0.138,0.355,0.450,-0.016,0.497,3.002,-3.7500E-4,0.012,0.072
