TIME,CH1,CH2,,TIME,MATH
0.00E+00,0.49,0.15,,0.00E+00,0.860531
5.00E+03,0.49,0.15,,1.00E+05,0.687063
1.00E+04,0.49,0.15,,2.00E+05,0.513594
1.50E+04,0.49,0.15,,3.00E+05,0.257937
2.00E+04,0.49,0.15,,4.00E+05,0.0023125
2.50E+04,0.49,0.13,,5.00E+05,0.0600312
3.00E+04,0.49,0.13,,6.00E+05,0.11775
3.50E+04,0.49,0.13,,7.00E+05,0.175625
4.00E+04,0.49,0.13,,8.00E+05,0.2335
4.50E+04,0.49,0.13,,9.00E+05,0.156375
5.00E+04,0.49,0.13,,1.00E+06,0.0792812
5.50E+04,0.51,0.11,,1.10E+06,0.0400625
6.00E+04,0.51,0.13,,1.20E+06,0.00084375
6.50E+04,0.51,0.13,,1.30E+06,0.00171875
7.00E+04,0.51,0.13,,1.40E+06,0.00259375
7.50E+04,0.51,0.11,,1.50E+06,0.00171875
8.00E+04,0.51,0.11,,1.60E+06,0.00084375
8.50E+04,0.51,0.11,,1.70E+06,0.00140625
9.00E+04,0.49,0.11,,1.80E+06,0.002
9.50E+04,0.49,0.11,,1.90E+06,0.00184375
1.00E+05,0.49,0.09,,2.00E+06,0.00171875
1.05E+05,0.51,0.09,,2.10E+06,0.0060625
1.10E+05,0.51,0.09,,2.20E+06,0.0104062
1.15E+05,0.51,0.09,,2.30E+06,0.014
1.20E+05,0.51,0.09,,2.40E+06,0.017625
1.25E+05,0.51,0.09,,2.50E+06,0.0100938
1.30E+05,0.51,0.09,,2.60E+06,0.00259375
1.35E+05,0.49,0.07,,2.70E+06,0.00171875
1.40E+05,0.49,0.09,,2.80E+06,0.00084375
1.45E+05,0.49,0.07,,2.90E+06,0.00171875
1.50E+05,0.51,0.07,,3.00E+06,0.00259375
1.55E+05,0.51,0.05,,3.10E+06,0.001875
1.60E+05,0.51,0.07,,3.20E+06,0.00115625
1.65E+05,0.51,0.05,,3.30E+06,0.00128125
1.70E+05,0.51,0.07,,3.40E+06,0.0014375
1.75E+05,0.53,0.05,,3.50E+06,0.001
1.80E+05,0.53,0.07,,3.60E+06,0.0005625
1.85E+05,0.53,0.05,,3.70E+06,0.00184375
1.90E+05,0.55,0.05,,3.80E+06,0.00315625
1.95E+05,0.53,0.03,,3.90E+06,0.00415625
2.00E+05,0.53,0.03,,4.00E+06,0.0051875
2.05E+05,0.53,0.03,,4.10E+06,0.00271875
2.10E+05,0.53,0.05,,4.20E+06,0.00028125
2.15E+05,0.53,0.05,,4.30E+06,0.00040625
2.20E+05,0.53,0.05,,4.40E+06,0.0005625
2.25E+05,0.53,0.05,,4.50E+06,0.00084375
2.30E+05,0.53,0.05,,4.60E+06,0.00115625
2.35E+05,0.53,0.03,,4.70E+06,0.001
2.40E+05,0.53,0.03,,4.80E+06,0.00084375
2.45E+05,0.53,0.03,,4.90E+06,0.0006875
2.50E+05,0.55,0.03,,5.00E+06,0.0005625
2.55E+05,0.55,0.03,,5.10E+06,0.001
2.60E+05,0.55,0.01,,5.20E+06,0.0014375
2.65E+05,0.55,0.01,,5.30E+06,0.001
2.70E+05,0.55,0.01,,5.40E+06,0.0005625
2.75E+05,0.55,0.01,,5.50E+06,0.0014375
2.80E+05,0.55,0.01,,5.60E+06,0.0023125
2.85E+05,0.55,0.01,,5.70E+06,0.0015625
2.90E+05,0.55,0.01,,5.80E+06,0.00084375
2.95E+05,0.55,0.01,,5.90E+06,0.00084375
3.00E+05,0.55,0.01,,6.00E+06,0.00084375
3.05E+05,0.55,0.01,,6.10E+06,0.00084375
3.10E+05,0.55,0.01,,6.20E+06,0.00084375
3.15E+05,0.55,-0.03,,6.30E+06,0.001125
3.20E+05,0.55,-0.01,,6.40E+06,0.0014375
3.25E+05,0.57,-0.01,,6.50E+06,0.001125
3.30E+05,0.55,0.01,,6.60E+06,0.00084375
3.35E+05,0.57,-0.01,,6.70E+06,0.001
3.40E+05,0.57,-0.01,,6.80E+06,0.00115625
3.45E+05,0.57,-0.01,,6.90E+06,0.00071875
3.50E+05,0.57,-0.01,,7.00E+06,0.00028125
3.55E+05,0.57,-0.03,,7.10E+06,0.00071875
3.60E+05,0.57,-0.03,,7.20E+06,0.00115625
3.65E+05,0.57,-0.03,,7.30E+06,0.00084375
3.70E+05,0.57,-0.03,,7.40E+06,0.0005625
3.75E+05,0.57,-0.03,,7.50E+06,0.0006875
3.80E+05,0.57,-0.03,,7.60E+06,0.00084375
3.85E+05,0.57,-0.03,,7.70E+06,0.0006875
3.90E+05,0.57,-0.03,,7.80E+06,0.0005625
3.95E+05,0.57,-0.05,,7.90E+06,0.0005625
4.00E+05,0.57,-0.05,,8.00E+06,0.0005625
4.05E+05,0.57,-0.07,,8.10E+06,0.00084375
4.10E+05,0.59,-0.07,,8.20E+06,0.00115625
4.15E+05,0.59,-0.05,,8.30E+06,0.001
4.20E+05,0.59,-0.05,,8.40E+06,0.00084375
4.25E+05,0.59,-0.05,,8.50E+06,0.00084375
4.30E+05,0.59,-0.07,,8.60E+06,0.00084375
4.35E+05,0.59,-0.07,,8.70E+06,0.00084375
4.40E+05,0.59,-0.07,,8.80E+06,0.00084375
4.45E+05,0.59,-0.07,,8.90E+06,0.001
4.50E+05,0.61,-0.05,,9.00E+06,0.00115625
4.55E+05,0.61,-0.07,,9.10E+06,0.001
4.60E+05,0.61,-0.07,,9.20E+06,0.00084375
4.65E+05,0.61,-0.07,,9.30E+06,0.00128125
4.70E+05,0.61,-0.07,,9.40E+06,0.00171875
4.75E+05,0.63,-0.07,,9.50E+06,0.0014375
4.80E+05,0.61,-0.07,,9.60E+06,0.00115625
4.85E+05,0.61,-0.09,,9.70E+06,0.00128125
4.90E+05,0.61,-0.09,,9.80E+06,0.0014375
4.95E+05,0.61,-0.09,,9.90E+06,0.001125
5.00E+05,0.61,-0.09,,1.00E+07,0.00084375
5.05E+05,0.63,-0.09,,1.01E+07,0.0006875
5.10E+05,0.61,-0.09,,1.02E+07,0.0005625
5.15E+05,0.61,-0.11,,1.03E+07,0.0005625
5.20E+05,0.61,-0.11,,1.04E+07,0.0005625
5.25E+05,0.63,-0.11,,1.05E+07,0.0005625
5.30E+05,0.63,-0.13,,1.06E+07,0.0005625
5.35E+05,0.63,-0.13,,1.07E+07,0.0006875
5.40E+05,0.63,-0.13,,1.08E+07,0.00084375
5.45E+05,0.63,-0.13,,1.09E+07,0.00084375
5.50E+05,0.63,-0.13,,1.10E+07,0.00084375
5.55E+05,0.63,-0.13,,1.11E+07,0.0005625
5.60E+05,0.63,-0.13,,1.12E+07,0.00028125
5.65E+05,0.63,-0.13,,1.13E+07,0.00071875
5.70E+05,0.63,-0.13,,1.14E+07,0.00115625
5.75E+05,0.65,-0.13,,1.15E+07,0.00084375
5.80E+05,0.65,-0.13,,1.16E+07,0.0005625
5.85E+05,0.65,-0.15,,1.17E+07,0.00084375
5.90E+05,0.63,-0.15,,1.18E+07,0.00115625
5.95E+05,0.65,-0.15,,1.19E+07,0.001
6.00E+05,0.63,-0.15,,1.20E+07,0.00084375
6.05E+05,0.63,-0.15,,1.21E+07,0.0006875
6.10E+05,0.63,-0.17,,1.22E+07,0.0005625
6.15E+05,0.65,-0.15,,1.23E+07,0.00084375
6.20E+05,0.65,-0.17,,1.24E+07,0.00115625
6.25E+05,0.65,-0.15,,1.25E+07,0.001
6.30E+05,0.65,-0.17,,1.26E+07,0.00084375
6.35E+05,0.67,-0.15,,1.27E+07,0.0006875
6.40E+05,0.65,-0.15,,1.28E+07,0.0005625
6.45E+05,0.67,-0.15,,1.29E+07,0.00040625
6.50E+05,0.65,-0.17,,1.30E+07,0.00028125
6.55E+05,0.67,-0.17,,1.31E+07,0.0005625
6.60E+05,0.65,-0.17,,1.32E+07,0.00084375
6.65E+05,0.67,-0.19,,1.33E+07,0.0006875
6.70E+05,0.65,-0.17,,1.34E+07,0.0005625
6.75E+05,0.67,-0.19,,1.35E+07,0.0006875
6.80E+05,0.67,-0.19,,1.36E+07,0.00084375
6.85E+05,0.67,-0.19,,1.37E+07,0.0006875
6.90E+05,0.65,-0.19,,1.38E+07,0.0005625
6.95E+05,0.67,-0.19,,1.39E+07,0.001
7.00E+05,0.67,-0.19,,1.40E+07,0.0014375
7.05E+05,0.67,-0.19,,1.41E+07,0.00084375
7.10E+05,0.67,-0.19,,1.42E+07,0.00028125
7.15E+05,0.67,-0.21,,1.43E+07,0.00084375
7.20E+05,0.67,-0.21,,1.44E+07,0.0014375
7.25E+05,0.69,-0.21,,1.45E+07,0.00084375
7.30E+05,0.69,-0.21,,1.46E+07,0.00028125
7.35E+05,0.69,-0.21,,1.47E+07,0.0005625
7.40E+05,0.67,-0.21,,1.48E+07,0.00084375
7.45E+05,0.69,-0.21,,1.49E+07,0.00040625
7.50E+05,0.69,-0.21,,1.50E+07,0
7.55E+05,0.69,-0.21,,1.51E+07,0.00040625
7.60E+05,0.69,-0.21,,1.52E+07,0.00084375
7.65E+05,0.69,-0.21,,1.53E+07,0.0006875
7.70E+05,0.69,-0.21,,1.54E+07,0.0005625
7.75E+05,0.71,-0.23,,1.55E+07,0.0006875
7.80E+05,0.69,-0.21,,1.56E+07,0.00084375
7.85E+05,0.71,-0.23,,1.57E+07,0.0006875
7.90E+05,0.69,-0.23,,1.58E+07,0.0005625
