TIME,CH1,CH2,,TIME,MATH
0.00E+00,0.98,-0.039,,0.00E+00,0.00171875
2.50E+03,0.94,-0.037,,5.00E+04,0.002875
5.00E+03,0.94,-0.035,,1.00E+05,0.00403125
7.50E+03,0.94,-0.033,,1.50E+05,0.141469
1.00E+04,0.94,-0.033,,2.00E+05,0.278937
1.25E+04,0.98,-0.033,,2.50E+05,0.459469
1.50E+04,0.98,-0.033,,3.00E+05,0.640031
1.75E+04,0.98,-0.035,,3.50E+05,0.449906
2.00E+04,0.98,-0.037,,4.00E+05,0.259812
2.25E+04,0.98,-0.035,,4.50E+05,0.132219
2.50E+04,0.98,-0.037,,5.00E+05,0.004625
2.75E+04,0.98,-0.035,,5.50E+05,0.00721875
3.00E+04,0.98,-0.037,,6.00E+05,0.0098125
3.25E+04,0.98,-0.037,,6.50E+05,0.00721875
3.50E+04,0.98,-0.035,,7.00E+05,0.004625
3.75E+04,0.98,-0.035,,7.50E+05,0.017625
4.00E+04,0.98,-0.037,,8.00E+05,0.0306562
4.25E+04,0.98,-0.037,,8.50E+05,0.045125
4.50E+04,0.98,-0.037,,9.00E+05,0.0595938
4.75E+04,0.98,-0.037,,9.50E+05,0.0425
5.00E+04,0.98,-0.037,,1.00E+06,0.0254375
5.25E+04,0.98,-0.039,,1.05E+06,0.013
5.50E+04,0.98,-0.037,,1.10E+06,0.0005625
5.75E+04,0.98,-0.035,,1.15E+06,0.00403125
6.00E+04,0.98,-0.037,,1.20E+06,0.0075
6.25E+04,0.98,-0.037,,1.25E+06,0.00403125
6.50E+04,0.98,-0.039,,1.30E+06,0.0005625
6.75E+04,0.98,-0.039,,1.35E+06,0.00459375
7.00E+04,0.98,-0.037,,1.40E+06,0.00865625
7.25E+04,0.98,-0.037,,1.45E+06,0.015875
7.50E+04,0.98,-0.037,,1.50E+06,0.023125
7.75E+04,0.98,-0.037,,1.55E+06,0.0141562
8.00E+04,0.98,-0.037,,1.60E+06,0.0051875
8.25E+04,0.98,-0.035,,1.65E+06,0.0034375
8.50E+04,0.98,-0.037,,1.70E+06,0.00171875
8.75E+04,0.98,-0.037,,1.75E+06,0.00315625
9.00E+04,0.98,-0.039,,1.80E+06,0.004625
9.25E+04,0.98,-0.039,,1.85E+06,0.00315625
9.50E+04,0.98,-0.039,,1.90E+06,0.00171875
9.75E+04,0.98,-0.037,,1.95E+06,0.002875
1.00E+05,0.98,-0.037,,2.00E+06,0.00403125
1.03E+05,1.02,-0.037,,2.05E+06,0.00690625
1.05E+05,1.02,-0.037,,2.10E+06,0.0098125
1.08E+05,1.02,-0.037,,2.15E+06,0.00634375
1.10E+05,1.02,-0.039,,2.20E+06,0.002875
1.13E+05,1.02,-0.039,,2.25E+06,0.002875
1.15E+05,1.02,-0.041,,2.30E+06,0.002875
1.18E+05,1.02,-0.039,,2.35E+06,0.00171875
1.20E+05,1.02,-0.037,,2.40E+06,0.0005625
1.23E+05,0.98,-0.039,,2.45E+06,0.00084375
1.25E+05,0.98,-0.037,,2.50E+06,0.00115625
1.28E+05,1.02,-0.037,,2.55E+06,0.002875
1.30E+05,1.02,-0.037,,2.60E+06,0.004625
1.33E+05,1.02,-0.039,,2.65E+06,0.00315625
1.35E+05,1.02,-0.039,,2.70E+06,0.00171875
1.38E+05,1.02,-0.041,,2.75E+06,0.002875
1.40E+05,1.02,-0.041,,2.80E+06,0.00403125
1.43E+05,1.02,-0.037,,2.85E+06,0.00228125
1.45E+05,0.98,-0.037,,2.90E+06,0.0005625
1.48E+05,1.02,-0.039,,2.95E+06,0.002
1.50E+05,1.02,-0.039,,3.00E+06,0.00346875
1.53E+05,1.02,-0.039,,3.05E+06,0.002
1.55E+05,1.02,-0.039,,3.10E+06,0.0005625
1.58E+05,1.02,-0.039,,3.15E+06,0.00171875
1.60E+05,1.02,-0.041,,3.20E+06,0.002875
1.63E+05,1.02,-0.041,,3.25E+06,0.00403125
1.65E+05,1.02,-0.041,,3.30E+06,0.0051875
1.68E+05,1.02,-0.039,,3.35E+06,0.00403125
1.70E+05,1.02,-0.039,,3.40E+06,0.002875
1.73E+05,1.02,-0.039,,3.45E+06,0.00228125
1.75E+05,1.02,-0.041,,3.50E+06,0.00171875
1.78E+05,1.02,-0.041,,3.55E+06,0.00228125
1.80E+05,1.02,-0.041,,3.60E+06,0.002875
1.83E+05,1.02,-0.041,,3.65E+06,0.002
1.85E+05,1.02,-0.041,,3.70E+06,0.00115625
1.88E+05,1.02,-0.039,,3.75E+06,0.00084375
1.90E+05,1.02,-0.037,,3.80E+06,0.0005625
1.93E+05,1.02,-0.035,,3.85E+06,0.00171875
1.95E+05,1.02,-0.037,,3.90E+06,0.002875
1.98E+05,1.02,-0.039,,3.95E+06,0.002
2.00E+05,1.02,-0.041,,4.00E+06,0.00115625
