TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
0.00E+00,1.66,1.66,-0.94,-0.98,,0.00E+00,0.00171875
1.56E+02,1.66,1.66,-0.98,-0.94,,3.13E+03,0.00375
3.13E+02,1.66,1.66,-0.94,-0.94,,6.25E+03,0.00578125
4.69E+02,1.66,1.66,-0.94,-0.94,,9.38E+03,0.0749219
6.25E+02,1.66,1.66,-0.94,-0.94,,1.25E+04,0.144062
7.81E+02,1.66,1.66,-0.94,-0.94,,1.56E+04,0.586172
9.38E+02,1.66,1.62,-0.98,-0.98,,1.88E+04,1.02836
1.09E+03,1.62,1.66,-0.98,-0.94,,2.19E+04,1.03297
1.25E+03,1.66,1.66,-0.98,-0.98,,2.50E+04,1.03758
1.41E+03,1.66,1.66,-0.98,-0.94,,2.81E+04,0.584453
1.56E+03,1.62,1.62,-0.94,-0.98,,3.13E+04,0.131328
1.72E+03,1.66,1.66,-0.98,-0.94,,3.44E+04,0.0664844
1.88E+03,1.66,1.66,-0.98,-0.98,,3.75E+04,0.00171875
2.03E+03,1.66,1.66,-0.94,-0.94,,4.06E+04,0.0075
2.19E+03,1.66,1.62,-0.94,-0.94,,4.38E+04,0.0132812
2.34E+03,1.62,1.66,-0.94,-0.94,,4.69E+04,0.0124219
2.50E+03,1.66,1.66,-0.94,-0.94,,5.00E+04,0.0115625
2.66E+03,1.66,1.66,-0.94,-0.94,,5.31E+04,0.0117969
2.81E+03,1.66,1.62,-0.94,-0.98,,5.63E+04,0.0121094
2.97E+03,1.62,1.66,-0.98,-0.94,,5.94E+04,0.0100781
3.13E+03,1.62,1.62,-0.94,-0.98,,6.25E+04,0.00804688
3.28E+03,1.62,1.66,-0.98,-0.94,,6.56E+04,0.00945313
3.44E+03,1.62,1.62,-0.94,-0.94,,6.88E+04,0.0109375
3.59E+03,1.66,1.66,-0.94,-0.94,,7.19E+04,0.00945313
3.75E+03,1.66,1.66,-0.94,-0.94,,7.50E+04,0.00804688
3.91E+03,1.66,1.66,-0.94,-0.94,,7.81E+04,0.00773438
4.06E+03,1.66,1.66,-0.94,-0.98,,8.13E+04,0.0075
4.22E+03,1.66,1.66,-0.98,-0.94,,8.44E+04,0.0071875
4.38E+03,1.66,1.66,-0.98,-0.98,,8.75E+04,0.006875
4.53E+03,1.66,1.66,-0.98,-0.94,,9.06E+04,0.006875
4.69E+03,1.66,1.66,-0.98,-0.98,,9.38E+04,0.006875
4.84E+03,1.66,1.66,-0.98,-0.94,,9.69E+04,0.00632813
5.00E+03,1.66,1.66,-0.98,-0.98,,1.00E+05,0.00578125
5.16E+03,1.66,1.66,-0.98,-0.98,,1.03E+05,0.00515625
5.31E+03,1.66,1.62,-0.98,-0.98,,1.06E+05,0.00460938
5.47E+03,1.62,1.66,-0.98,-0.94,,1.09E+05,0.00484375
5.63E+03,1.62,1.62,-0.98,-0.98,,1.13E+05,0.00515625
5.78E+03,1.62,1.66,-0.98,-0.94,,1.16E+05,0.00453125
5.94E+03,1.66,1.66,-0.98,-0.98,,1.19E+05,0.00398437
6.09E+03,1.66,1.66,-0.94,-0.94,,1.22E+05,0.00398437
6.25E+03,1.66,1.62,-0.98,-0.98,,1.25E+05,0.00398437
6.41E+03,1.62,1.66,-0.98,-0.94,,1.28E+05,0.0034375
6.56E+03,1.62,1.62,-0.98,-0.98,,1.31E+05,0.00289063
6.72E+03,1.62,1.66,-0.98,-0.94,,1.34E+05,0.003125
6.88E+03,1.62,1.62,-0.98,-0.98,,1.38E+05,0.0034375
7.03E+03,1.62,1.66,-0.98,-0.94,,1.41E+05,0.003125
7.19E+03,1.66,1.62,-0.98,-0.98,,1.44E+05,0.00289063
7.34E+03,1.62,1.66,-0.94,-0.94,,1.47E+05,0.00289063
7.50E+03,1.62,1.62,-0.94,-0.94,,1.50E+05,0.00289063
7.66E+03,1.62,1.66,-0.94,-0.9,,1.53E+05,0.00257812
7.81E+03,1.62,1.62,-0.94,-0.94,,1.56E+05,0.00226562
7.97E+03,1.62,1.66,-0.94,-0.94,,1.59E+05,0.00226562
8.13E+03,1.58,1.58,-0.98,-0.98,,1.63E+05,0.00226562
8.28E+03,1.62,1.62,-0.98,-0.94,,1.66E+05,0.00226562
8.44E+03,1.62,1.62,-0.98,-0.98,,1.69E+05,0.00226562
8.59E+03,1.66,1.66,-0.98,-0.94,,1.72E+05,0.003125
8.75E+03,1.62,1.62,-0.98,-0.98,,1.75E+05,0.00398437
8.91E+03,1.62,1.62,-0.98,-0.94,,1.78E+05,0.0028125
9.06E+03,1.62,1.62,-0.94,-0.98,,1.81E+05,0.00171875
9.22E+03,1.62,1.66,-0.98,-0.94,,1.84E+05,0.00171875
9.38E+03,1.62,1.62,-0.98,-0.98,,1.88E+05,0.00171875
9.53E+03,1.62,1.62,-0.98,-0.94,,1.91E+05,0.00140625
9.69E+03,1.62,1.62,-0.98,-0.98,,1.94E+05,0.00109375
9.84E+03,1.66,1.66,-0.98,-0.94,,1.97E+05,0.00164063
1.00E+04,1.66,1.62,-0.98,-0.98,,2.00E+05,0.00226562
1.02E+04,1.66,1.66,-0.98,-0.94,,2.03E+05,0.00226562
1.03E+04,1.66,1.66,-0.98,-0.98,,2.06E+05,0.00226562
1.05E+04,1.66,1.66,-0.98,-0.94,,2.09E+05,0.00195312
1.06E+04,1.62,1.62,-0.94,-0.94,,2.13E+05,0.00171875
1.08E+04,1.62,1.66,-0.94,-0.94,,2.16E+05,0.00109375
1.09E+04,1.62,1.62,-0.98,-0.98,,2.19E+05,0.000546875
1.11E+04,1.62,1.66,-0.98,-0.94,,2.22E+05,0.00078125
1.13E+04,1.62,1.62,-0.98,-0.98,,2.25E+05,0.00109375
1.14E+04,1.62,1.66,-0.98,-0.94,,2.28E+05,0.00109375
1.16E+04,1.62,1.62,-0.94,-0.98,,2.31E+05,0.00109375
1.17E+04,1.62,1.62,-0.98,-0.94,,2.34E+05,0.00140625
1.19E+04,1.62,1.62,-0.94,-0.94,,2.38E+05,0.00171875
