x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,0,0,0,0,0,0,0,0,0
-1.14E-07,3.4268E-07,9.404E-08,-1.8807E-07,-9.403E-08,4.70176E-07,-2.821E-07,9.403E-08,-3.7614E-07,-9.403E-08
-1.14E-07,-2.2845E-07,9.404E-08,0,-1.8807E-07,4.70176E-07,-2.821E-07,9.403E-08,-4.7017E-07,-9.403E-08
1.14E-07,3.4268E-07,9.404E-08,0,-1.8807E-07,4.70176E-07,-2.821E-07,9.403E-08,9.404E-08,-7.5228E-07
-5.71E-07,1.1422E-07,9.404E-08,0,1.8807E-07,8.46317E-07,-2.821E-07,9.403E-08,-6.5824E-07,-7.5228E-07
-2.28E-07,0,0,1.8807E-07,1.8807E-07,8.46317E-07,-1.8807E-07,-9.404E-08,-1.12842E-06,-6.5824E-07
-3.43E-07,1.1422E-07,1.8807E-07,2.8211E-07,1.8807E-07,8.46317E-07,-1.8807E-07,-9.404E-08,-1.03438E-06,-6.5824E-07
-6.85E-07,2.2845E-07,4.7018E-07,4.7018E-07,-9.403E-08,4.70176E-07,-2.821E-07,-9.404E-08,-1.12842E-06,-6.5824E-07
-2.28E-07,1.1422E-07,6.5825E-07,5.6421E-07,-9.403E-08,4.70176E-07,-3.7614E-07,-9.404E-08,-1.12842E-06,9.404E-08
-6.85E-07,4.569E-07,1.22246E-06,1.3165E-06,-9.403E-08,4.70176E-07,-3.7614E-07,-9.404E-08,-1.12842E-06,9.404E-08
-6.85E-07,-3.4268E-07,8.4632E-07,9.4035E-07,-9.403E-08,4.70176E-07,-9.403E-08,9.403E-08,-1.03438E-06,-3.7614E-07
-6.85E-07,7.9958E-07,4.7018E-07,5.6421E-07,-3.7614E-07,4.70176E-07,-9.403E-08,9.403E-08,-4.7017E-07,-9.403E-08
-4.57E-07,7.9958E-07,7.5228E-07,6.5825E-07,-3.7614E-07,4.70176E-07,-1.8807E-07,9.403E-08,-8.4631E-07,2.8211E-07
-1.14E-07,1.1422E-07,7.5228E-07,6.5825E-07,-3.7614E-07,4.70176E-07,-6.5825E-07,0,-9.4035E-07,3.7614E-07
-3.43E-07,1.1422E-07,6.5825E-07,8.4632E-07,-3.7614E-07,4.70176E-07,-6.5825E-07,0,-6.5824E-07,-9.403E-08
-3.43E-07,1.1422E-07,3.7614E-07,8.4632E-07,-7.5228E-07,5.64211E-07,-6.5825E-07,0,-5.6421E-07,-9.403E-08
-8.00E-07,-2.2845E-07,9.404E-08,8.4632E-07,-7.5228E-07,5.64211E-07,-6.5825E-07,0,9.404E-08,1.8807E-07
-6.85E-07,-1.1423E-07,9.404E-08,8.4632E-07,-1.8807E-07,8.46317E-07,-2.821E-07,-9.404E-08,2.8211E-07,1.8807E-07
-6.85E-07,-1.1423E-07,-9.403E-08,-9.403E-08,-2.821E-07,8.46317E-07,-3.7614E-07,-9.404E-08,4.7018E-07,9.404E-08
-6.85E-07,-1.1423E-07,2.8211E-07,4.7018E-07,-2.821E-07,8.46317E-07,-4.7018E-07,-9.404E-08,5.6421E-07,9.404E-08
-4.57E-07,0,2.8211E-07,4.7018E-07,3.7614E-07,8.46317E-07,-4.7018E-07,-9.404E-08,4.7018E-07,9.404E-08
-2.28E-07,-5.7113E-07,4.7018E-07,4.7018E-07,3.7614E-07,9.40352E-07,-4.7018E-07,-9.404E-08,0,9.404E-08
-3.43E-07,-4.569E-07,4.7018E-07,6.5825E-07,9.404E-08,1.22246E-06,-3.7614E-07,-9.404E-08,1.8807E-07,7.5228E-07
-6.85E-07,-5.7113E-07,5.6421E-07,1.03439E-06,9.404E-08,1.41053E-06,-3.7614E-07,-9.404E-08,-9.403E-08,6.5825E-07
