X,Y
1,22.8
1.1,26.7
1.2,34
1.3,46.8
1.4,63.8
1.5,68.2
1.6,62.4
1.7,51.3
1.8,52.3
1.9,98.6
2,168.8
2.1,262.8
2.2,306.2
2.3,297.9
2.4,226.8
2.5,119.6
2.6,108.5
2.7,193.9
2.8,418
2.9,661
3,797
3.1,744
3.2,516
3.3,249.8
3.4,148.9
3.5,290
3.6,679
3.7,1121
3.8,1413
3.9,1344
4,905
4.1,460
4.2,184.7
4.3,335.5
4.4,792
4.5,1438
4.6,1884
4.7,1840
4.8,1343
4.9,631
5,197.7
5.1,236
5.2,756
5.3,1495
5.4,1984
5.45,2069
5.5,1976
5.6,1495
5.7,765
5.8,215.6
5.9,146.6
6,575
6.1,1197
6.2,1694
6.3,1745
6.4,1348
6.5,700
6.6,203.8
6.7,65.6
6.8,306.9
6.9,745
7,1138
7.1,1200
7.2,955
7.3,560
7.4,191.1
7.5,47.9
7.6,143.5
7.7,368.3
7.8,577
7.9,625
8,512
8.1,327
8.2,146
8.3,59.9
8.4,79.6
8.5,146.3
8.6,206.8
8.7,216.2
8.8,176.8
8.9,118.8
9,77.8
