X,Y,Std
0.00,23,2.160246899
0.10,17.66666667,1.699673171
0.20,10.66666667,1.885618083
0.30,14.66666667,0.471404521
0.40,10,1.632993162
0.50,12,2.828427125
0.60,10.33333333,3.399346342
0.70,13.33333333,6.342099197
0.80,18.33333333,5.557777334
0.90,19.33333333,1.247219129
1.00,21,4.320493799
1.10,21.66666667,5.436502143
1.20,35,2.449489743
1.30,48.33333333,4.921607687
1.40,55.33333333,2.054804668
1.50,54.33333333,7.40870359
1.60,41.66666667,6.944222219
1.70,27.66666667,2.867441756
1.80,28.66666667,2.624669291
1.90,46.66666667,7.318166133
2.00,90.66666667,8.219218671
2.10,125.6666667,3.858612301
2.20,154,0.816496581
2.30,125.3333333,4.109609335
2.40,72,5.887840578
2.50,34.33333333,1.699673171
2.60,25,0.816496581
2.70,74,6.976149845
2.80,166,8.164965809
2.90,254,19.13112647
3.00,279.3333333,13.02134999
3.10,225.3333333,11.6714276
3.20,129,12.0277457
3.30,45.33,4.027681991
3.40,34.67,2.054804668
3.50,104.3333333,2.494438258
3.60,224.3333333,15.41283736
3.70,307.3333333,10.65624491
3.80,331,11.77568116
3.90,262.6666667,3.091206165
4.00,139.6666667,10.14341604
4.10,44.66666667,10.20892855
4.20,42,2.160246899
4.30,96.33333333,24.60803843
4.40,188.6666667,6.599663291
4.50,249.6666667,14.05544576
4.60,271.3333333,22.06555888
4.70,192,11.34313302
4.80,98.66666667,3.858612301
4.90,47.33333333,2.624669291
5.00,41.33333333,7.586537784
5.10,83,8.286535263
5.20,120.6666667,8.219218671
5.30,150.3333333,8.055363982
5.40,144.3333333,9.285592185
5.50,106.6666667,7.930251502
5.60,57.66666667,4.642796092
5.70,29,2.449489743
5.80,25.33333333,1.699673171
5.90,36.66666667,3.299831646
6.00,50,3.741657387
6.10,56.33333333,2.054804668
6.20,56.33333333,11.4406682
6.30,33.66666667,4.642796092
6.40,24,4.320493799
6.50,15.66666667,6.649979114
6.60,13.33333333,4.18993503
6.70,9,2.160246899
6.80,13.33333333,4.496912521
6.90,14,2.449489743
7.00,11.33333333,1.885618083
7.10,11.66666667,2.054804668
7.20,12.33333333,3.299831646
7.30,9.333333333,2.054804668
7.40,6.666666667,3.091206165
7.50,7,2.160246899
