X,Y
1.00,16.8
1.10,20.4
1.20,25.5
1.30,31.7
1.40,39.7
1.50,49.9
1.60,59.9
1.70,72.2
1.80,86.5
1.90,102.5
2.00,121.1
2.10,139.5
2.20,159.5
2.30,181.2
2.40,205.1
2.50,231.5
2.60,256
2.70,283.2
2.80,312.4
2.90,338.5
3.00,369.3
3.10,397
3.20,425
3.30,456
3.40,484
3.50,514
3.60,540
3.70,569
3.80,593
3.90,618
4.00,642
4.10,663
4.20,684
4.30,702
4.40,718
4.50,732
4.60,741
4.70,750.00
4.80,755.00
4.90,757
5.00,756
5.10,752
5.20,745
5.30,736
5.40,724
5.50,709
5.60,692
5.70,674
5.80,653
5.90,626
6.00,605
6.10,581
6.20,556
6.30,530
6.40,501
6.50,472
6.60,444
6.70,415
6.80,386
6.90,357.3
7.00,328.6
7.10,301
7.20,273.2
7.30,247.2
7.40,221.3
7.50,196.2
7.60,173.7
7.70,152.5
7.80,132.4
7.90,114.3
8.00,97.4
8.10,82.4
8.20,68.8
8.30,56.5
8.40,46.4
8.50,37.3
8.60,29.9
8.70,23.7
8.80,18.8
8.90,15.7
9.00,13.7
