X,Y
1.00,30
1.10,39
1.20,40
1.30,35
1.40,26
1.50,22
1.60,33
1.70,65
1.80,115
1.90,173
2.00,227
2.10,260
2.20,269
2.30,257
2.40,243
2.50,245
2.60,283
2.70,365
2.80,478
2.90,603
3.00,715
3.10,800
3.20,840
3.30,842
3.40,820
3.50,801
3.60,810
3.70,860
3.80,955
3.90,1074
4.00,1200
4.10,1297
4.20,1353
4.30,1357
4.40,1319
4.50,1255
4.60,1191
4.70,1148.00
4.80,1137.00
4.90,1159
5.00,1203
5.10,1246
5.20,1273
5.30,1263
5.40,1218
5.50,1136
5.60,1038
5.70,929
5.80,835
5.90,766
6.00,720
6.10,693
6.20,673
6.30,649
6.40,618
6.50,569
6.60,508
6.70,437
6.80,364
6.90,295
7.00,236
7.10,190
7.20,158
7.30,137
7.40,120
7.50,106
7.60,91
7.70,76
7.80,59
7.90,44
8.00,30
8.10,21
8.20,16
8.30,14
8.40,15
8.50,15
8.60,17
8.70,17
8.80,17
8.90,17
9.00,19
