"Time (s) Run #1","Angle (rad) Run #1","Angular Velocity (rad/s) Run #1","Angular Acceleration (rad/s²) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.000,,,0.0000,,
0.050,-0.014,-0.204,,-3.3750E-4,-0.005,
0.100,-0.020,-0.037,3.246,-4.8750E-4,-8.750E-4,0.077
0.150,-0.017,0.120,2.897,-4.1250E-4,0.003,0.069
0.200,-0.008,0.262,2.356,-1.8750E-4,0.006,0.056
0.250,0.009,0.367,1.553,2.2500E-4,0.009,0.037
0.300,0.031,0.424,0.576,7.5000E-4,0.010,0.014
0.350,0.053,0.424,-0.419,0.0013,0.010,-0.010
0.400,0.075,0.377,-1.326,0.0018,0.009,-0.032
0.450,0.093,0.288,-2.059,0.0022,0.007,-0.049
0.500,0.105,0.162,-2.548,0.0025,0.004,-0.061
0.550,0.110,0.021,-2.705,0.0026,5.000E-4,-0.065
0.600,0.107,-0.120,-2.513,0.0026,-0.003,-0.060
0.650,0.097,-0.241,-2.025,0.0023,-0.006,-0.048
0.700,0.082,-0.330,-1.309,0.0020,-0.008,-0.031
0.750,0.063,-0.377,-0.454,0.0015,-0.009,-0.011
0.800,0.042,-0.377,0.454,0.0010,-0.009,0.011
0.850,0.024,-0.330,1.292,5.6250E-4,-0.008,0.031
0.900,0.008,-0.241,1.920,1.8750E-4,-0.006,0.046
0.950,-0.002,-0.126,2.251,-3.7500E-5,-0.003,0.054
1.000,-0.005,-0.005,2.304,-1.1250E-4,-1.250E-4,0.055
1.050,-0.002,0.110,2.129,-3.7500E-5,0.003,0.051
1.100,0.006,0.215,1.728,1.5000E-4,0.005,0.041
1.150,0.020,0.293,1.082,4.8750E-4,0.007,0.026
1.200,0.038,0.330,0.297,9.0000E-4,0.008,0.007
1.250,0.055,0.319,-0.454,0.0013,0.008,-0.011
1.300,0.071,0.278,-1.100,0.0017,0.007,-0.026
1.350,0.083,0.209,-1.815,0.0020,0.005,-0.043
1.400,0.093,0.110,-3.107,0.0022,0.003,-0.074
1.450,0.096,-0.058,-5.306,0.0023,-0.001,-0.127
