TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
0.00E+00,-1.18,-1.18,-0.2,-0.2,,0.00E+00,0.00398437
7.81E+01,-1.18,-1.18,-0.2,-0.2,,1.56E+03,0.108437
1.56E+02,-1.18,-1.18,-0.2,-0.22,,3.13E+03,0.212891
2.34E+02,-1.18,-1.14,-0.22,-0.2,,4.69E+03,0.828359
3.13E+02,-1.18,-1.18,-0.18,-0.2,,6.25E+03,1.44383
3.91E+02,-1.18,-1.14,-0.2,-0.18,,7.81E+03,1.45508
4.69E+02,-1.18,-1.18,-0.2,-0.2,,9.38E+03,1.46641
5.47E+02,-1.18,-1.18,-0.2,-0.2,,1.09E+04,0.821406
6.25E+02,-1.18,-1.18,-0.2,-0.2,,1.25E+04,0.176484
7.03E+02,-1.18,-1.18,-0.2,-0.2,,1.41E+04,0.0951563
7.81E+02,-1.18,-1.18,-0.2,-0.2,,1.56E+04,0.0138281
8.59E+02,-1.18,-1.18,-0.2,-0.18,,1.72E+04,0.0196094
9.38E+02,-1.18,-1.18,-0.2,-0.2,,1.88E+04,0.0253906
1.02E+03,-1.18,-1.18,-0.2,-0.2,,2.03E+04,0.0242187
1.09E+03,-1.18,-1.18,-0.2,-0.2,,2.19E+04,0.023125
1.17E+03,-1.18,-1.14,-0.2,-0.18,,2.34E+04,0.0242187
1.25E+03,-1.18,-1.18,-0.18,-0.2,,2.50E+04,0.0253906
1.33E+03,-1.18,-1.18,-0.2,-0.18,,2.66E+04,0.0233594
1.41E+03,-1.22,-1.22,-0.2,-0.2,,2.81E+04,0.0214063
1.48E+03,-1.18,-1.18,-0.18,-0.18,,2.97E+04,0.0202344
1.56E+03,-1.18,-1.22,-0.2,-0.2,,3.13E+04,0.0190625
1.64E+03,-1.22,-1.18,-0.2,-0.18,,3.28E+04,0.0178906
1.72E+03,-1.18,-1.18,-0.2,-0.22,,3.44E+04,0.0167187
1.80E+03,-1.18,-1.14,-0.2,-0.2,,3.59E+04,0.0184375
1.88E+03,-1.18,-1.18,-0.2,-0.22,,3.75E+04,0.0202344
1.95E+03,-1.18,-1.14,-0.22,-0.2,,3.91E+04,0.0164062
2.03E+03,-1.18,-1.18,-0.2,-0.2,,4.06E+04,0.0126563
2.11E+03,-1.18,-1.14,-0.2,-0.18,,4.22E+04,0.0138281
