TIME,CH1,CH2,,TIME,MATH
0.00E+00,1.98,-0.94,,0.00E+00,0.00578125
6.25E+02,1.98,-0.98,,1.25E+04,0.0528906
1.25E+03,1.98,-0.94,,2.50E+04,0.100078
1.88E+03,2.02,-0.98,,3.75E+04,0.547109
2.50E+03,1.98,-0.94,,5.00E+04,0.994219
3.13E+03,2.02,-0.98,,6.25E+04,1.12117
3.75E+03,1.98,-0.94,,7.50E+04,1.2482
4.38E+03,2.02,-0.94,,8.75E+04,0.733125
5.00E+03,1.98,-0.94,,1.00E+05,0.218125
5.63E+03,2.02,-0.94,,1.13E+05,0.113672
6.25E+03,1.98,-0.94,,1.25E+05,0.00921875
6.88E+03,2.02,-0.94,,1.38E+05,0.0167187
7.50E+03,1.98,-0.94,,1.50E+05,0.0242969
8.13E+03,1.98,-0.94,,1.63E+05,0.0260156
8.75E+03,1.98,-0.94,,1.75E+05,0.0277344
9.38E+03,1.98,-0.94,,1.88E+05,0.0435937
1.00E+04,1.98,-0.94,,2.00E+05,0.0595313
1.06E+04,1.98,-0.94,,2.13E+05,0.0389844
1.13E+04,1.98,-0.94,,2.25E+05,0.0185156
1.19E+04,1.98,-0.94,,2.38E+05,0.0173437
1.25E+04,1.98,-0.94,,2.50E+05,0.0161719
1.31E+04,2.02,-0.94,,2.63E+05,0.0138281
1.38E+04,1.98,-0.94,,2.75E+05,0.0115625
1.44E+04,2.02,-0.94,,2.88E+05,0.015
1.50E+04,1.98,-0.94,,3.00E+05,0.0185156
1.56E+04,2.02,-0.94,,3.13E+05,0.0115625
1.63E+04,1.98,-0.94,,3.25E+05,0.00460938
1.69E+04,1.98,-0.94,,3.38E+05,0.0115625
1.75E+04,1.98,-0.94,,3.50E+05,0.0185156
1.81E+04,1.98,-0.94,,3.63E+05,0.0146875
1.88E+04,1.98,-0.94,,3.75E+05,0.0109375
1.94E+04,1.98,-0.94,,3.88E+05,0.00976562
2.00E+04,1.94,-0.94,,4.00E+05,0.00867187
2.06E+04,1.98,-0.94,,4.13E+05,0.00953125
2.13E+04,1.94,-0.94,,4.25E+05,0.0103906
2.19E+04,1.98,-0.94,,4.38E+05,0.00835937
2.25E+04,1.94,-0.94,,4.50E+05,0.00632813
2.31E+04,1.98,-0.94,,4.63E+05,0.00945313
2.38E+04,1.98,-0.9,,4.75E+05,0.0126563
2.44E+04,1.98,-0.94,,4.88E+05,0.0100781
2.50E+04,1.98,-0.94,,5.00E+05,0.0075
2.56E+04,1.98,-0.94,,5.13E+05,0.0075
2.63E+04,1.94,-0.94,,5.25E+05,0.0075
2.69E+04,1.98,-0.94,,5.38E+05,0.0075
2.75E+04,1.98,-0.94,,5.50E+05,0.0075
2.81E+04,1.98,-0.94,,5.63E+05,0.00773438
2.88E+04,1.98,-0.94,,5.75E+05,0.00804688
2.94E+04,1.98,-0.94,,5.88E+05,0.0071875
3.00E+04,1.98,-0.94,,6.00E+05,0.00632813
3.06E+04,1.98,-0.94,,6.13E+05,0.0065625
3.13E+04,1.98,-0.94,,6.25E+05,0.006875
3.19E+04,1.98,-0.94,,6.38E+05,0.0071875
3.25E+04,1.98,-0.94,,6.50E+05,0.0075
3.31E+04,1.98,-0.94,,6.63E+05,0.00664062
3.38E+04,1.98,-0.94,,6.75E+05,0.00578125
3.44E+04,1.98,-0.94,,6.88E+05,0.00601562
