X,Y,Std
1,762,19.8158186
1.1,818,23.25224004
1.2,884.3333333,11.11555467
1.3,990.6666667,13.29995823
1.4,975.3333333,24.22578975
1.5,1114.666667,38.13426572
1.6,1134.333333,34.96982827
1.7,1229,19.8158186
1.8,1249,21.92411154
1.9,1296.333333,24.28076514
2,1374,18.38477631
2.1,1465.333333,19.2930615
2.2,1524.666667,14.81740718
2.3,1570,21.60246899
2.4,1647,12.9614814
2.5,1683.666667,29.57852074
2.6,1720.333333,17.93197021
2.7,1803.333333,2.494438258
2.8,1839.333333,11.55662388
2.9,1865.333333,17.4610678
3,1887.333333,18.55322673
3.1,1903,11.43095213
3.2,1890,44.14370472
3.3,2017.333333,32.71425106
3.4,1999.333333,43.09936839
3.5,2009,11.34313302
3.6,1948.333333,45.05798733
3.7,1974.333333,19.77091017
3.8,1917,38.8415585
3.9,1888.666667,34.31552936
4,1868.666667,25.03774928
4.1,1825.666667,58.44845783
4.2,1809.666667,17.55625878
4.3,1787.666667,26.66249967
4.4,1773.333333,6.649979114
4.5,1668.666667,29.63481436
4.6,1670,36.72419729
4.7,1608.666667,25.03774928
4.8,1560,41.43267632
4.9,1537.666667,25.19700159
5,1466,3.559026084
5.1,1350,19.59591794
5.2,1340,6.976149845
5.3,1262.666667,24.45858177
5.4,1224,16.32993162
5.5,1115.666667,11.8977122
5.6,1061.333333,35.92894222
5.7,1017,20.39607805
5.8,944.6666667,6.12825877
5.9,880.6666667,16.81930108
6,838.3333333,28.24102611
6.1,774.3333333,27.77688887
6.2,706.6666667,44.84293577
6.3,676.3333333,4.784233365
6.4,643.6666667,8.37987006
6.5,564,8.524474568
6.6,546.6666667,29.78067979
6.7,497,17.2819752
6.8,451.6666667,4.784233365
6.9,403.3333333,15.62761089
7,387.3333333,22.42518426
7.1,372.3333333,18.06162291
7.2,342.6666667,15.79732748
7.3,327.3333333,24.85066509
7.4,305.6666667,18.19035153
7.5,289.3333333,13.57284871
7.6,277.6666667,21.8225164
7.7,258,7.257180352
7.8,251.3333333,15.4344492
7.9,229.6666667,17.78263822
8,171.3333333,85.7995079
