X,Y
1.00,14
1.10,17
1.20,21
1.30,28
1.40,38
1.50,47
1.60,64
1.70,82
1.80,98
1.90,122
2.00,145
2.10,173
2.20,204
2.30,245
2.40,275
2.50,315
2.60,360
2.70,410
2.80,468
2.90,510
3.00,569
3.10,623
3.20,683
3.30,750
3.40,810
3.50,872
3.60,942
3.70,994
3.80,1050
3.90,1103
4.00,1149
4.10,1195
4.20,1234
4.30,1264
4.40,1290
4.50,1310
4.60,1316
4.70,1317.00
4.80,1307.00
4.90,1291
5.00,1269
5.10,1233
5.20,1199
5.30,1152
5.40,1105
5.50,1049
5.60,993
5.70,932
5.80,863
5.90,802
6.00,742
6.10,682
6.20,621
6.30,559
6.40,504
6.50,445
6.60,392
6.70,345
6.80,301
6.90,259
7.00,222
7.10,185
7.20,156
7.30,129
7.40,107
7.50,86
7.60,69
7.70,54
7.80,43
7.90,33
8.00,25
8.10,20
8.20,16
8.30,13
8.40,11
8.50,11
8.60,10
8.70,10
8.80,10
8.90,14
9.00,16
