X,Y
2.00,5
2.10,5.1
2.20,5.2
2.30,5.7
2.40,7.3
2.50,9.6
2.60,12.3
2.70,15.8
2.80,20
2.90,25.1
3.00,31.2
3.10,38
3.20,45.7
3.30,54.6
3.40,64.6
3.50,76.2
3.60,88.7
3.70,102.7
3.80,117.5
3.90,133.7
4.00,151.4
4.10,170
4.20,190.3
4.30,210.5
4.40,233.5
4.50,256.1
4.60,280
4.70,305.10
4.80,328.70
4.90,352.9
5.00,378.4
5.10,402
5.20,426
5.30,450
5.40,472
5.50,495
5.60,514
5.70,531
5.80,547
5.90,562
6.00,574
6.10,585
6.20,592
6.30,595
6.40,597
6.50,595
6.60,591
6.70,584
6.80,576
6.90,563
7.00,548
7.10,531
7.20,512
7.30,492
7.40,470
7.50,447
7.60,423
7.70,399
7.80,373.9
7.90,348.9
8.00,322.8
8.10,299
8.20,274.4
8.30,250.8
8.40,227.5
8.50,204.3
8.60,181
8.70,157.4
8.80,134.7
8.90,114
9.00,95.9
9.10,81.4
9.20,65.1
9.30,49.5
9.40,34.6
